checkup_bin,condition_count,hgb_k2_mae,hgb_minus_prior_slope_mae,hgb_wins_fraction,horizon_checkups,n_rows,prior_delta_abs_bin,prior_slope_mae,soh_bin,split_name,target
checkup_8_12,1,0.20778752301485737,0.03148702301485751,0.0,2,2,prior_abs_ge_0_05,0.17630049999999986,soh_lt_0_70,c_rate_holdout_fold,capacity_Ah_kh
checkup_0_3,3,0.5762345963921471,-0.2210544036078531,0.5,3,4,prior_abs_ge_0_05,0.7972890000000002,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_0_3,6,0.24127260091506023,-0.002679721665584972,0.5161290322580645,3,31,prior_abs_ge_0_05,0.2439523225806452,soh_ge_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_0_3,7,0.15166353024876825,-0.3468947554655174,1.0,3,21,prior_abs_lt_0_005,0.4985582857142857,soh_ge_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_13_plus,1,0.693115921260895,-0.06586707873910491,1.0,3,1,prior_abs_ge_0_05,0.758983,soh_0_70_0_80,c_rate_holdout_fold,capacity_Ah_kh
checkup_4_7,1,0.4659289605305974,-0.09100903946940253,1.0,3,1,prior_abs_ge_0_05,0.5569379999999999,soh_0_70_0_80,c_rate_holdout_fold,capacity_Ah_kh
checkup_4_7,2,0.06643777356454317,-0.012470476435456845,0.5,3,4,prior_abs_0_02_0_05,0.07890825000000001,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_4_7,2,0.2385348154772783,0.1135653539388166,0.23076923076923078,3,13,prior_abs_ge_0_05,0.12496946153846171,soh_0_80_0_90,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,1,0.1456860325440188,-0.08245596745598127,0.5,3,2,prior_abs_0_02_0_05,0.22814200000000007,soh_0_70_0_80,c_rate_holdout_fold,capacity_Ah_kh
checkup_8_12,2,0.10970117121412956,-0.03420525735729893,0.5714285714285714,3,7,prior_abs_ge_0_05,0.1439064285714285,soh_0_70_0_80,c_rate_holdout_fold,capacity_Ah_kh
