aging_mode,feature_group,horizon_checkups,mae,mean_checkup_k,mean_soh_k,model_level,n_rows,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,target,voltage_window_family
cyclic,K3_oracle_exposure_diagnostic,1,0.1570113279075609,0.5,0.9307462519237027,MH2_ridge,6,1.67,1.0,10.0,32,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.4284404450587093,0.5,0.9307462519237027,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,32,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.3510421761142215,0.5,0.9307462519237027,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,32,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.25329253560438303,0.5,0.9307462519237027,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,32,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.2516362552538763,0.5,0.9307462519237027,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,32,0,capacity_Ah_kh,approx_0_100
cyclic,persistence,1,0.5571718333333334,0.5,0.9625169705698472,MH0_persistence,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,prior_slope,1,0.44640266666666667,0.5,0.9625169705698472,MH1_prior_slope_linear,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.49412838586102725,0.5,0.9625169705698472,MH2_ridge,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.3376543004962504,0.5,0.9625169705698472,MH2_ridge,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.2532129781550472,0.5,0.9625169705698472,MH2_ridge,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.19002583275661164,0.5,0.9625169705698472,MH2_ridge,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.3713358560910529,0.5,0.9625169705698472,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.3847134901042856,0.5,0.9625169705698472,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.3445579640085111,0.5,0.9625169705698472,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.31122819335041024,0.5,0.9625169705698472,MH3_hist_gradient_boosting,6,1.67,1.0,10.0,36,0,capacity_Ah_kh,approx_10_100
cyclic,persistence,1,0.309043,2.0,0.8628638941775892,MH0_persistence,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,prior_slope,1,0.12566266666666667,2.0,0.8628638941775892,MH1_prior_slope_linear,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,1,0.20161676566378983,2.0,0.8628638941775892,MH2_ridge,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,1,0.08995702839886527,2.0,0.8628638941775892,MH2_ridge,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,1,0.0897350015397786,2.0,0.8628638941775892,MH2_ridge,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,1,0.1376991372910761,2.0,0.8628638941775892,MH2_ridge,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,1,0.11680746094880665,2.0,0.8628638941775892,MH3_hist_gradient_boosting,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,1,0.08173081889633814,2.0,0.8628638941775892,MH3_hist_gradient_boosting,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,1,0.06857314348635986,2.0,0.8628638941775892,MH3_hist_gradient_boosting,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,1,0.045769063652348084,2.0,0.8628638941775892,MH3_hist_gradient_boosting,15,1.67,1.0,10.0,40,0,capacity_Ah_kh,approx_10_90
cyclic,persistence,1,0.4149285,0.5,0.9545980520445977,MH0_persistence,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,prior_slope,1,0.2815478333333333,0.5,0.9545980520445977,MH1_prior_slope_linear,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.3449432253866483,0.5,0.9545980520445977,MH2_ridge,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.18578851020384576,0.5,0.9545980520445977,MH2_ridge,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.14063514662132545,0.5,0.9545980520445977,MH2_ridge,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.0818606648527443,0.5,0.9545980520445977,MH2_ridge,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.2452034332091093,0.5,0.9545980520445977,MH3_hist_gradient_boosting,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.17275056059416993,0.5,0.9545980520445977,MH3_hist_gradient_boosting,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.11113758833329775,0.5,0.9545980520445977,MH3_hist_gradient_boosting,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.09757032040602942,0.5,0.9545980520445977,MH3_hist_gradient_boosting,6,1.67,1.0,25.0,44,0,capacity_Ah_kh,approx_0_100
cyclic,persistence,1,0.16491580000000003,1.2,0.9518184605871743,MH0_persistence,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,prior_slope,1,0.0881272000000001,1.2,0.9518184605871743,MH1_prior_slope_linear,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.09854901880477973,1.2,0.9518184605871743,MH2_ridge,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.07141465752673617,1.2,0.9518184605871743,MH2_ridge,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.0829140646797645,1.2,0.9518184605871743,MH2_ridge,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.12358291971487079,1.2,0.9518184605871743,MH2_ridge,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.05227923370676475,1.2,0.9518184605871743,MH3_hist_gradient_boosting,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.05117371103456305,1.2,0.9518184605871743,MH3_hist_gradient_boosting,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.039916400628696544,1.2,0.9518184605871743,MH3_hist_gradient_boosting,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.035108580555820224,1.2,0.9518184605871743,MH3_hist_gradient_boosting,10,1.67,1.0,25.0,48,0,capacity_Ah_kh,approx_10_100
cyclic,persistence,1,0.15170839285714285,4.75,0.8464125555674954,MH0_persistence,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,prior_slope,1,0.06745985714285718,4.75,0.8464125555674954,MH1_prior_slope_linear,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,1,0.07779321310475043,4.75,0.8464125555674954,MH2_ridge,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,1,0.05682686062942231,4.75,0.8464125555674954,MH2_ridge,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,1,0.08998272766166474,4.75,0.8464125555674954,MH2_ridge,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,1,0.12429423162877277,4.75,0.8464125555674954,MH2_ridge,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,1,0.07737625555482129,4.75,0.8464125555674954,MH3_hist_gradient_boosting,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,1,0.06877959603418846,4.75,0.8464125555674954,MH3_hist_gradient_boosting,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,1,0.06565042165538285,4.75,0.8464125555674954,MH3_hist_gradient_boosting,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,1,0.06426786940995313,4.75,0.8464125555674954,MH3_hist_gradient_boosting,28,1.67,1.0,25.0,52,0,capacity_Ah_kh,approx_10_90
cyclic,persistence,1,0.30324830769230765,1.6923076923076923,0.8829013135377904,MH0_persistence,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,prior_slope,1,0.20568307692307689,1.6923076923076923,0.8829013135377904,MH1_prior_slope_linear,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.20556296542365088,1.6923076923076923,0.8829013135377904,MH2_ridge,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.23739099599650054,1.6923076923076923,0.8829013135377904,MH2_ridge,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.2353890130508599,1.6923076923076923,0.8829013135377904,MH2_ridge,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.1869496478686752,1.6923076923076923,0.8829013135377904,MH2_ridge,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.18693404942674632,1.6923076923076923,0.8829013135377904,MH3_hist_gradient_boosting,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.17880359070060795,1.6923076923076923,0.8829013135377904,MH3_hist_gradient_boosting,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.13843899745392044,1.6923076923076923,0.8829013135377904,MH3_hist_gradient_boosting,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.12868546272102765,1.6923076923076923,0.8829013135377904,MH3_hist_gradient_boosting,13,1.67,1.0,40.0,56,0,capacity_Ah_kh,approx_0_100
cyclic,persistence,1,0.266787875,2.25,0.8956387257381537,MH0_persistence,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,prior_slope,1,0.2475268750000001,2.25,0.8956387257381537,MH1_prior_slope_linear,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.20459506857463122,2.25,0.8956387257381537,MH2_ridge,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.24642502260948165,2.25,0.8956387257381537,MH2_ridge,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.270180080797809,2.25,0.8956387257381537,MH2_ridge,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.29325453443531446,2.25,0.8956387257381537,MH2_ridge,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.18157096261808203,2.25,0.8956387257381537,MH3_hist_gradient_boosting,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.171294116395652,2.25,0.8956387257381537,MH3_hist_gradient_boosting,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.1609115685402873,2.25,0.8956387257381537,MH3_hist_gradient_boosting,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.1497208653284175,2.25,0.8956387257381537,MH3_hist_gradient_boosting,16,1.67,1.0,40.0,60,0,capacity_Ah_kh,approx_10_100
cyclic,persistence,1,0.10545702631578949,6.2894736842105265,0.8394096333310406,MH0_persistence,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,prior_slope,1,0.04405410526315788,6.2894736842105265,0.8394096333310406,MH1_prior_slope_linear,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,1,0.053029998015301366,6.2894736842105265,0.8394096333310406,MH2_ridge,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K1_prior_state_time,1,0.041697522202381154,6.2894736842105265,0.8394096333310406,MH2_ridge,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K2_nominal_condition,1,0.08348823951193358,6.2894736842105265,0.8394096333310406,MH2_ridge,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
cyclic,K3_oracle_exposure_diagnostic,1,0.09987793601701478,6.2894736842105265,0.8394096333310406,MH2_ridge,38,1.67,1.0,40.0,64,0,capacity_Ah_kh,approx_10_90
