beats_both_references,beats_persistence,beats_prior_slope,claim_scope,gain_vs_persistence,gain_vs_prior_slope,hgb_k2_mean_mae,horizon_checkups,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,True,False,prospective_diagnostic,0.03221555954154807,-0.003655992247849918,0.04670397143405882,1,0.07891953097560689,0.0430479791862089,all,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.05809786649941208,0.00198181202375268,0.0773609496377813,2,0.13545881613719338,0.07934276166153398,all,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.07266426622949891,-0.00029749615140400865,0.09353041291001336,3,0.16619467913951227,0.09323291675860935,all,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.0967204330760517,0.0077543108283407575,0.12376108550995611,5,0.2204815185860078,0.13151539633829687,all,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.03914286658318221,0.0032713147937842232,0.03977666439242468,1,0.07891953097560689,0.0430479791862089,all,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.06325448676774394,0.007138432292084537,0.07220432936944944,2,0.13545881613719338,0.07934276166153398,all,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.0854669416649199,0.012505179284016982,0.08072773747459237,3,0.16619467913951227,0.09323291675860935,all,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.11520750235869057,0.026241380110979623,0.10527401622731725,5,0.2204815185860078,0.13151539633829687,all,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.1366634639028367,0.04908328555888769,0.1127305615748703,1,0.249394025477707,0.161813847133758,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.25025881735456856,0.1155761231396926,0.18368390165369589,2,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.2713899172294837,0.08114339998810441,0.22146149656361977,3,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.34637895962783477,0.1263085996278348,0.29264724037216533,5,0.6390262000000001,0.41895584000000013,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.1387675313960831,0.05118735305213411,0.11062649408162388,1,0.249394025477707,0.161813847133758,c_rate_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.25092275624980015,0.11624006203492415,0.18301996275846433,2,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.26038311013458426,0.07013659289320501,0.23246830365851917,3,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.3364340378749829,0.11636367787498292,0.3025921621250172,5,0.6390262000000001,0.41895584000000013,c_rate_holdout_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.03325409799537899,0.002097840465427915,0.02993084790141661,1,0.0631849458967956,0.03202868836684453,condition_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.05455138520635897,0.005807265980474936,0.0530943827552817,2,0.10764576796164067,0.05890164873575664,condition_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.07179240977615302,0.00957363253724687,0.06276551264734702,3,0.13455792242350004,0.07233914518459389,condition_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.099670691599951,0.02328874807798907,0.07841242466890587,5,0.17808311626885687,0.10170117274689494,condition_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.03417117297434061,0.003014915444389532,0.029013772922454995,1,0.0631849458967956,0.03202868836684453,condition_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.05365614001714213,0.004912020791258097,0.05398962794449854,2,0.10764576796164067,0.05890164873575664,condition_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.07744397980235485,0.01522520256344869,0.0571139426211452,3,0.13455792242350004,0.07233914518459389,condition_fold,delta_capacity_Ah_h
True,True,True,prospective_diagnostic,0.10304130542934972,0.026659361907387796,0.07504181083950714,5,0.17808311626885687,0.10170117274689494,condition_fold,delta_capacity_Ah_h
False,True,False,prospective_diagnostic,0.028419766813118065,-0.0029262464847542614,0.03169891270815853,1,0.06011867952127659,0.028772666223404266,profile_holdout_fold,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.0452306180154754,-0.004772306565530189,0.06154375349290449,2,0.10677437150837989,0.0567714469273743,profile_holdout_fold,capacity_Ah_kh
False,True,False,prospective_diagnostic,0.05746500681287098,-0.001934509363599568,0.08624686965771725,3,0.14371187647058822,0.08431236029411768,profile_holdout_fold,capacity_Ah_kh
True,True,True,prospective_diagnostic,0.07722337821322448,0.005868287752698209,0.11962766290519658,5,0.19685104111842106,0.1254959506578948,profile_holdout_fold,capacity_Ah_kh
