claim_scope,horizon_checkups,oracle_feature_group,oracle_gain,oracle_mean_mae,prospective_feature_group,prospective_mean_mae,split_name,target
oracle_diagnostic_only_not_prospective,2,K3_oracle_exposure_diagnostic,0.005636103526001725,0.05062672184194177,K2_nominal_condition,0.0562628253679435,temperature_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,3,K3_oracle_exposure_diagnostic,0.0172341251020917,0.0518326289840844,K2_nominal_condition,0.0690667540861761,temperature_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,5,K3_oracle_exposure_diagnostic,0.02740707976054753,0.06290668677764931,K2_nominal_condition,0.09031376653819684,temperature_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,1,K3_oracle_exposure_diagnostic,0.0018652429713147366,0.02886920441294924,K2_nominal_condition,0.030734447384263976,temperature_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,2,K3_oracle_exposure_diagnostic,0.0074433058122797685,0.04554984798756684,K2_nominal_condition,0.05299315379984661,temperature_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,3,K3_oracle_exposure_diagnostic,0.01041753598101064,0.05347998508839033,K2_nominal_condition,0.06389752106940097,temperature_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,5,K3_oracle_exposure_diagnostic,0.011765827412456215,0.06848003783821827,K2_nominal_condition,0.08024586525067448,temperature_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,1,K3_oracle_exposure_diagnostic,0.007777069644491444,0.05799798427846445,K2_nominal_condition,0.06577505392295589,voltage_window_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,2,K3_oracle_exposure_diagnostic,0.0020802463038280816,0.09962181236099849,K2_nominal_condition,0.10170205866482657,voltage_window_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,3,K3_oracle_exposure_diagnostic,0.0037736120114164606,0.1171248937518289,K2_nominal_condition,0.12089850576324536,voltage_window_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,5,K3_oracle_exposure_diagnostic,0.03306155877363259,0.1336612633667635,K2_nominal_condition,0.1667228221403961,voltage_window_holdout_fold,capacity_Ah_kh
oracle_diagnostic_only_not_prospective,1,K3_oracle_exposure_diagnostic,0.0012208016020794424,0.04233792841673098,K2_nominal_condition,0.04355873001881042,voltage_window_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,2,K3_oracle_exposure_diagnostic,0.0013504372794192615,0.08139871626346767,K2_nominal_condition,0.08274915354288694,voltage_window_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,3,K3_oracle_exposure_diagnostic,0.004731348263837004,0.07445061300362377,K2_nominal_condition,0.07918196126746077,voltage_window_holdout_fold,delta_capacity_Ah_h
oracle_diagnostic_only_not_prospective,5,K3_oracle_exposure_diagnostic,0.0035478767926438587,0.09727194945916773,K2_nominal_condition,0.10081982625181159,voltage_window_holdout_fold,delta_capacity_Ah_h
