method_id,eval_target,target_path,split_name,heldout_fold,model_setting_id,feature_group,source_artifact,row_count,condition_count,condition_mean_mae
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,profile_holdout_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,752,12,0.08269291452361344
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,742,19,0.05509724136142808
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,742,19,0.05301253618604369
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,742,19,0.05590280419881275
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,742,19,0.05187588701639285
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,2,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,1060,19,0.04205229396326713
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,2,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1060,19,0.04435487338182179
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,2,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,1060,19,0.04194770407150058
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,temperature_holdout_fold,2,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1060,19,0.04327060480263738
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,1130,28,0.08401601520595645
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,1130,28,0.09199578447155392
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,voltage_window_holdout_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,1130,28,0.08740347019928998
