target,split_name,prior_eis_feature_group,best_noneis_feature_group,best_noneis_source_report,n_conditions,mean_gain,median_gain,win_rate,worst_condition_gain,bootstrap_resamples,gain_mean,gain_p05,gain_p50,gain_p95,win_rate_mean,target_family,alignment_threshold,max_eis_alignment_delta_s,eligible_interval_keys,eligible_parameter_sets,eligible_c_rate_rows,eligible_profile_rows,covered_prediction_keys,covered_c_rate_prediction_keys,covered_profile_prediction_keys
delta_capacity_Ah,condition_fold,C_E3_stress_eis,F8_timestamp_weighted_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0019292597888264844,-0.0007345249130801773,0.42105263157894735,-0.019626329995837674,1000,-0.0019373696690088522,-0.0029552992747507874,-0.0019024433493200015,-0.0009914800354827902,0.4201315789473684,capacity,le_24h,86400.0,3752,76,143,733,20248,284,1464
delta_capacity_Ah,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.0073705750063126985,0.007434359946194999,0.9166666666666666,-0.005308435493504654,1000,0.007240364196629545,0.004136339812186847,0.0072486343394537805,0.010292790695844833,0.9163333333333333,capacity,le_24h,86400.0,3752,76,143,733,20248,284,1464
delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.002560393851903477,-0.0015511156936287435,0.4473684210526316,-0.054046263422183896,1000,-0.002628832963962852,-0.007826286775936447,-0.002628853620240356,0.0025694625464240096,0.44373684210526315,capacity,le_24h,86400.0,3752,76,143,733,20248,284,1464
delta_capacity_Ah,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,0.00045164116143233925,-0.0004743172758121441,0.47368421052631576,-0.03220757111095415,1000,0.00038091497290601676,-0.0020551959847275457,0.0003373316703844441,0.002989704630226786,0.4735921052631579,capacity,le_24h,86400.0,3752,76,143,733,20248,284,1464
capacity_Ah_k1,c_rate_holdout_fold,C_E2_log_age_eis,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,12,-0.003396007868421974,0.0009885376420316339,0.5,-0.02889982270758376,1000,-0.0032843943851413337,-0.011104905909870344,-0.0033079025343929597,0.0049378642758374554,0.49775,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
capacity_Ah_k1,condition_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-7.401303058306337e-05,-0.0003020181825137817,0.47368421052631576,-0.05096643871141979,1000,-8.523424524543906e-05,-0.00299112129331773,-3.539732949856828e-05,0.0026000712399692713,0.47478947368421054,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
capacity_Ah_k1,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.0071765877913531895,0.0070136509963641975,0.9166666666666666,-0.0010876578047772784,1000,0.007072882591606699,0.004438929868017781,0.006934428259345798,0.01024664689294846,0.9151666666666667,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
capacity_Ah_k1,temperature_holdout_fold,C_E3_stress_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.0013903340448348578,-0.0009081159704385183,0.34210526315789475,-0.04795638706420738,1000,-0.0013646520832205154,-0.004388608695748077,-0.0012732657175579514,0.0013800394707469495,0.34018421052631576,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
capacity_Ah_k1,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,-3.885566313057025e-05,0.0018841707948210606,0.5657894736842105,-0.045461690244952266,1000,-2.2165506946058918e-05,-0.0028087836763337573,2.2797502597282686e-05,0.0024396247266514413,0.5659342105263159,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
delta_capacity_Ah,c_rate_holdout_fold,C_E3_stress_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,12,0.0005699621753940239,0.0073012600360031765,0.5833333333333334,-0.05801461487098977,1000,0.00047923667037868184,-0.011005189880155858,0.00043318546337954046,0.011830580311228526,0.58275,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
delta_capacity_Ah,condition_fold,C_E3_stress_eis,F8_timestamp_weighted_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0019448617814655073,-0.0007345249130801773,0.42105263157894735,-0.019626329995837674,1000,-0.0019531744875521824,-0.0029709012673898097,-0.0019143468586651944,-0.0010161259880899825,0.4201315789473684,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
delta_capacity_Ah,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.0073705750063126985,0.007434359946194999,0.9166666666666666,-0.005308435493504654,1000,0.007240364196629545,0.004136339812186847,0.0072486343394537805,0.010292790695844833,0.9163333333333333,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.002560393851903477,-0.0015511156936287435,0.4473684210526316,-0.054046263422183896,1000,-0.002628832963962852,-0.007826286775936447,-0.002628853620240356,0.0025694625464240096,0.44373684210526315,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
delta_capacity_Ah,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,0.0004247905111199476,-0.0004743172758121441,0.47368421052631576,-0.03220757111095415,1000,0.00035371526413956406,-0.002097357921730987,0.0003166919762457912,0.002962776066443059,0.4735921052631579,capacity,le_36h,129600.0,3754,76,143,733,20256,284,1464
