auprc,auroc,brier,ece_10_bin,ece_10_bin_equal_freq,feature_group,heldout_fold,label_policy,model_level,n_test,n_train,split_name,target,test_negative_count,test_positive_count
0.04523466791700683,0.5,0.04732086709982493,0.005847511888060777,0.019590475570094672,prior_rate,0,all_rows,B0_event_rate_prior,844,2983,condition_fold,event_within_1_checkup,802,42
0.14307677595253707,0.7101591259945375,0.04594805817563469,0.009590772044421441,0.027637192978953305,distance_to_threshold,0,all_rows,B3_logistic_distance_baseline,844,2983,condition_fold,event_within_1_checkup,802,42
0.8546011822337771,0.9886593041206507,0.018167132008326106,0.017660210873338782,0.0048993262029304215,W2_nominal,0,all_rows,B6_hist_gradient_boosting_classifier,844,2983,condition_fold,event_within_1_checkup,802,42
0.08904319198249559,0.5,0.08975740204858884,0.011695023776121555,0.039180951140189345,prior_rate,0,all_rows,B0_event_rate_prior,844,2983,condition_fold,event_within_2_checkups,760,84
0.2374083744069052,0.6962406015037594,0.08603892136193353,0.02221417158970566,0.06589311343056853,distance_to_threshold,0,all_rows,B3_logistic_distance_baseline,844,2983,condition_fold,event_within_2_checkups,760,84
0.8825139875968602,0.9797227443609022,0.03188794299450087,0.019714788823296022,0.016504021157223343,W2_nominal,0,all_rows,B6_hist_gradient_boosting_classifier,844,2983,condition_fold,event_within_2_checkups,760,84
0.13107587606307775,0.5,0.12676491269265946,0.024403293227181516,0.05920715015419128,prior_rate,0,all_rows,B0_event_rate_prior,844,2983,condition_fold,event_within_3_checkups,719,125
0.29961341628137045,0.6898803894297636,0.1208714559866635,0.09969921863618335,0.08388018031807762,distance_to_threshold,0,all_rows,B3_logistic_distance_baseline,844,2983,condition_fold,event_within_3_checkups,719,125
0.8860592947279723,0.9711098748261474,0.048889090328591005,0.036943046244476335,0.03352845077306278,W2_nominal,0,all_rows,B6_hist_gradient_boosting_classifier,844,2983,condition_fold,event_within_3_checkups,719,125
0.022557297871473186,0.5,0.031597140438410706,0.016583467661672124,0.027173094261415308,prior_rate,1,all_rows,B0_event_rate_prior,865,2962,condition_fold,event_within_1_checkup,837,28
0.21118515811989302,0.7966803208738693,0.028664702150725713,0.016154669504263867,0.016130255706738143,distance_to_threshold,1,all_rows,B3_logistic_distance_baseline,865,2962,condition_fold,event_within_1_checkup,837,28
0.8744737930306071,0.9950930192865677,0.01115769765446838,0.010809687327680015,0.005792458394177218,W2_nominal,1,all_rows,B6_hist_gradient_boosting_classifier,865,2962,condition_fold,event_within_1_checkup,837,28
0.04421105795613409,0.5,0.061648677360579246,0.03316693532334425,0.054346188522830616,prior_rate,1,all_rows,B0_event_rate_prior,865,2962,condition_fold,event_within_2_checkups,809,56
0.25355038453313783,0.7488742715874978,0.0555714018291419,0.02525524337829457,0.024956467852342092,distance_to_threshold,1,all_rows,B3_logistic_distance_baseline,865,2962,condition_fold,event_within_2_checkups,809,56
0.8662292365171601,0.9837431573371005,0.02160399702329658,0.017430560092239186,0.005933212705326859,W2_nominal,1,all_rows,B6_hist_gradient_boosting_classifier,865,2962,condition_fold,event_within_2_checkups,809,56
0.06259448412253499,0.5,0.0869696995204285,0.04579119716798134,0.08051386931966761,prior_rate,1,all_rows,B0_event_rate_prior,865,2962,condition_fold,event_within_3_checkups,784,81
0.3182703810656613,0.7395597127739985,0.07720595340056695,0.03953149316078515,0.038241762135641365,distance_to_threshold,1,all_rows,B3_logistic_distance_baseline,865,2962,condition_fold,event_within_3_checkups,784,81
0.8818116989680947,0.9785525321239606,0.028819158431020307,0.021956155536310175,0.01399471692647925,W2_nominal,1,all_rows,B6_hist_gradient_boosting_classifier,865,2962,condition_fold,event_within_3_checkups,784,81
0.02371506395413302,0.5,0.03172819473556404,0.016551821605640907,0.034977196507284126,prior_rate,2,all_rows,B0_event_rate_prior,892,2935,condition_fold,event_within_1_checkup,863,29
0.2271350401219417,0.8083270068326208,0.028756120418410663,0.015985513629820643,0.014054619268771813,distance_to_threshold,2,all_rows,B3_logistic_distance_baseline,892,2935,condition_fold,event_within_1_checkup,863,29
0.8809563720498534,0.9940264514324529,0.01430655750204048,0.013744935175305364,0.012188463805840793,W2_nominal,2,all_rows,B6_hist_gradient_boosting_classifier,892,2935,condition_fold,event_within_1_checkup,863,29
0.04656315050002738,0.5,0.06189035741759248,0.033103643211281814,0.06995439301456825,prior_rate,2,all_rows,B0_event_rate_prior,892,2935,condition_fold,event_within_2_checkups,834,58
0.28053880114310936,0.7769784172661871,0.05472368128096835,0.028589300380361584,0.023205577595661143,distance_to_threshold,2,all_rows,B3_logistic_distance_baseline,892,2935,condition_fold,event_within_2_checkups,834,58
0.8850285085957463,0.9896427685437856,0.02330403932697158,0.020019566620335102,0.018513977226558734,W2_nominal,2,all_rows,B6_hist_gradient_boosting_classifier,892,2935,condition_fold,event_within_2_checkups,834,58
0.06679044743703408,0.5,0.08737467787632062,0.04552295246025623,0.09708100014514787,prior_rate,2,all_rows,B0_event_rate_prior,892,2935,condition_fold,event_within_3_checkups,808,84
0.3385039361904978,0.7693010372465818,0.07502877952430032,0.04269236404432616,0.047771349875211894,distance_to_threshold,2,all_rows,B3_logistic_distance_baseline,892,2935,condition_fold,event_within_3_checkups,808,84
0.8978796995991781,0.9870270509193777,0.03132177296019088,0.03040171039928822,0.022097242413931434,W2_nominal,2,all_rows,B6_hist_gradient_boosting_classifier,892,2935,condition_fold,event_within_3_checkups,808,84
0.06083683236742146,0.5,0.07023653694855735,0.03396902766478256,0.062493560752743565,prior_rate,3,all_rows,B0_event_rate_prior,509,3318,condition_fold,event_within_1_checkup,471,38
0.20638885738147147,0.8096994077550564,0.06699931134339168,0.029763032119252714,0.03967862362052491,distance_to_threshold,3,all_rows,B3_logistic_distance_baseline,509,3318,condition_fold,event_within_1_checkup,471,38
0.7693110706034055,0.9615320147502514,0.03649308286221004,0.03696945352890979,0.021723856552434903,W2_nominal,3,all_rows,B6_hist_gradient_boosting_classifier,509,3318,condition_fold,event_within_1_checkup,471,38
