beats_all_references,beats_k2,beats_persistence,beats_prior_slope,candidate_feature_group,candidate_mean_mae,claim_scope,gain_vs_k2,gain_vs_persistence,gain_vs_prior_slope,horizon_checkups,k2_mean_mae,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,False,True,False,K4_prior_trajectory_shape,0.052744073432055893,prospective_trajectory_diagnostic,-0.006040101997997073,0.026175457543550995,-0.009696094245846991,1,0.04670397143405882,0.07891953097560689,0.0430479791862089,all,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.04814278813214237,prospective_trajectory_diagnostic,-0.0014388166980835518,0.030776742843464516,-0.00509480894593347,1,0.04670397143405882,0.07891953097560689,0.0430479791862089,all,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.08613128097924005,prospective_trajectory_diagnostic,-0.008770331341458756,0.04932753515795332,-0.0067885193177060765,2,0.0773609496377813,0.13545881613719338,0.07934276166153398,all,capacity_Ah_kh
True,True,True,True,K5_nominal_plus_trajectory_shape,0.07646128275548698,prospective_trajectory_diagnostic,0.0008996668822943144,0.058997533381706393,0.002881478906046994,2,0.0773609496377813,0.13545881613719338,0.07934276166153398,all,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.10374130748486476,prospective_trajectory_diagnostic,-0.0102108945748514,0.06245337165464751,-0.01050839072625541,3,0.09353041291001336,0.16619467913951227,0.09323291675860935,all,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.09812408313172888,prospective_trajectory_diagnostic,-0.004593670221715515,0.0680705960077834,-0.004891166373119524,3,0.09353041291001336,0.16619467913951227,0.09323291675860935,all,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.13584127314139333,prospective_trajectory_diagnostic,-0.012080187631437214,0.08464024544461449,-0.004325876803096457,5,0.12376108550995611,0.2204815185860078,0.13151539633829687,all,capacity_Ah_kh
False,False,True,True,K5_nominal_plus_trajectory_shape,0.12555575093784632,prospective_trajectory_diagnostic,-0.0017946654278902102,0.09492576764816149,0.005959645400450547,5,0.12376108550995611,0.2204815185860078,0.13151539633829687,all,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.04357386570106126,prospective_trajectory_diagnostic,-0.0037972013086365816,0.03534566527454563,-0.0005258865148523584,1,0.03977666439242468,0.07891953097560689,0.0430479791862089,all,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.04152380754478357,prospective_trajectory_diagnostic,-0.001747143152358889,0.03739572343082332,0.0015241716414253342,1,0.03977666439242468,0.07891953097560689,0.0430479791862089,all,delta_capacity_Ah_h
