beats_all_references,beats_k2,beats_persistence,beats_prior_slope,candidate_feature_group,candidate_mean_mae,claim_scope,gain_vs_k2,gain_vs_persistence,gain_vs_prior_slope,horizon_checkups,k2_mean_mae,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,False,True,True,K4_prior_trajectory_shape,0.23066998142160058,prospective_trajectory_diagnostic,-0.0469860797679047,0.2032727375866639,0.0685900433717879,2,0.18368390165369589,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,True,K5_nominal_plus_trajectory_shape,0.18030554398425572,prospective_trajectory_diagnostic,0.0033783576694401685,0.25363717502400873,0.11895448080913276,2,0.18368390165369589,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.24791665499791823,prospective_trajectory_diagnostic,-0.026455158434298465,0.2449347587951852,0.054688241553805944,3,0.22146149656361977,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K5_nominal_plus_trajectory_shape,0.22561378402997884,prospective_trajectory_diagnostic,-0.004152287466359067,0.2672376297631246,0.07699111252174534,3,0.22146149656361977,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.24684298592410173,prospective_trajectory_diagnostic,-0.0638230231656374,0.18709973308416275,0.05241703886928675,2,0.18301996275846433,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.19089161125119247,prospective_trajectory_diagnostic,-0.007871648492728145,0.243051107757072,0.10836841354219601,2,0.18301996275846433,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.2527217616882991,prospective_trajectory_diagnostic,-0.020253458029779903,0.24012965210480436,0.049883134863425105,3,0.23246830365851917,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,delta_capacity_Ah_h
True,True,True,True,K5_nominal_plus_trajectory_shape,0.2269237200700855,prospective_trajectory_diagnostic,0.0055445835884336825,0.26592769372301794,0.07568117648163869,3,0.23246830365851917,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,delta_capacity_Ah_h
