bias,condition_mean_mae,condition_median_mae,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,oracle_exposure_feature_group,rmse,split_name,target,test_conditions,train_conditions,worst_condition_mae
0.24938671337579618,0.33485399645173297,0.30614565384615383,persistence,1,1,0.249394025477707,MH0_persistence,157,3670,False,0.3373742796551262,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.5571718333333334
0.11457310828025478,0.23243474332372063,0.2618083541666667,prior_slope,1,1,0.161813847133758,MH1_prior_slope_linear,157,3670,False,0.25620083739599225,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.44640266666666667
0.1584632208977598,0.25947167553359873,0.21321361898090133,K0_prior_capacity,1,1,0.1768438391208405,MH2_ridge,157,3670,False,0.2733672293198527,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.49412838586102725
0.05444983720643253,0.20641446617694548,0.21803873402760948,K1_prior_state_time,1,1,0.14723995521647973,MH2_ridge,157,3670,False,0.24216345606182,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.4425951229845711
-0.013044801366668256,0.19178095753020738,0.17752456573428954,K2_nominal_condition,1,1,0.1556146772030983,MH2_ridge,157,3670,False,0.2281754348718879,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.41183075881443126
0.04780464184356507,0.20637749011852294,0.2094967359684739,K4_prior_trajectory_shape,1,1,0.15039907471272834,MH2_ridge,157,3670,False,0.25502565644017494,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.4303384250416073
-0.019284006718572604,0.18644611911987632,0.14215366352980374,K5_nominal_plus_trajectory_shape,1,1,0.15868883645614662,MH2_ridge,157,3670,False,0.24092029728755898,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.34913852259027855
0.1163449142127658,0.2096326995508343,0.18425250602241416,K0_prior_capacity,1,1,0.14216726271770652,MH3_hist_gradient_boosting,157,3670,False,0.23499751233715582,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.4284404450587093
0.06970009874347435,0.18892223999427993,0.17577707564738893,K1_prior_state_time,1,1,0.13294455324623325,MH3_hist_gradient_boosting,157,3670,False,0.20609705336507836,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.3847134901042856
0.05530761233887632,0.15393711130788296,0.14967528299710386,K2_nominal_condition,1,1,0.1127305615748703,MH3_hist_gradient_boosting,157,3670,False,0.18478038033437474,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.3445579640085111
0.08150008723919594,0.19627969268189982,0.19273067655470594,K4_prior_trajectory_shape,1,1,0.13639302861636315,MH3_hist_gradient_boosting,157,3670,False,0.21466621111269565,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.37913063751566684
0.06257940533899031,0.15946731799805944,0.16523778776151227,K5_nominal_plus_trajectory_shape,1,1,0.11577779518666763,MH3_hist_gradient_boosting,157,3670,False,0.19104401983784744,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.31786939786986484
0.24938671337579618,0.33485399645173297,0.30614565384615383,persistence,1,1,0.249394025477707,MH0_persistence,157,3670,False,0.3373742796551262,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.5571718333333334
0.11457310828025478,0.23243474332372063,0.2618083541666667,prior_slope,1,1,0.161813847133758,MH1_prior_slope_linear,157,3670,False,0.25620083739599225,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.44640266666666667
0.1584268395222113,0.25947832051378733,0.21322227491467366,K0_prior_capacity,1,1,0.17684608783411887,MH2_ridge,157,3670,False,0.2733497808497588,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.49416212310348145
0.05462611157189424,0.20637953184757474,0.21795570080981805,K1_prior_state_time,1,1,0.1471094384113412,MH2_ridge,157,3670,False,0.24223836162616452,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.44277255584208736
-0.012559963501320546,0.19190702694902073,0.17820018469691795,K2_nominal_condition,1,1,0.1555175101998251,MH2_ridge,157,3670,False,0.2283131313482219,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.41263273851914106
0.04805261643821857,0.2063319783648636,0.20951633951534773,K4_prior_trajectory_shape,1,1,0.15036198014269264,MH2_ridge,157,3670,False,0.25490386234925666,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.43025588604483006
-0.018754022292265787,0.18661438829812757,0.14291774220554265,K5_nominal_plus_trajectory_shape,1,1,0.15864638321490238,MH2_ridge,157,3670,False,0.24085362098371677,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.3499826995725273
0.10267207854734578,0.19091050997361417,0.20047375284065957,K0_prior_capacity,1,1,0.13586766881429407,MH3_hist_gradient_boosting,157,3670,False,0.2245748694067907,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.34765723712544855
0.04880117002335976,0.17731322199979827,0.1742840598343019,K1_prior_state_time,1,1,0.12656282396575877,MH3_hist_gradient_boosting,157,3670,False,0.1947860045915927,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.36417098949883425
0.028182388040853906,0.14619498937127298,0.14380891384395128,K2_nominal_condition,1,1,0.11062649408162388,MH3_hist_gradient_boosting,157,3670,False,0.18124932652472017,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.2645568230409048
0.059136831868802975,0.18473672965544607,0.1908120224865928,K4_prior_trajectory_shape,1,1,0.13405073323598693,MH3_hist_gradient_boosting,157,3670,False,0.20739170116197228,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.3785812574509515
0.03760364368142032,0.14838520277156264,0.15778277386371023,K5_nominal_plus_trajectory_shape,1,1,0.11316390702797689,MH3_hist_gradient_boosting,157,3670,False,0.18068058694300798,c_rate_holdout_fold,delta_capacity_Ah_h,12,64,0.2583577088066469
0.4339427190082645,0.6707504669261294,0.689051125,persistence,1,2,0.4339427190082645,MH0_persistence,121,3478,False,0.5460917601578413,c_rate_holdout_fold,capacity_Ah_kh,12,64,1.1143436666666668
0.2657899917355372,0.5781459912362638,0.48875043333333335,prior_slope,1,2,0.2992600247933885,MH1_prior_slope_linear,121,3478,False,0.43941521250056575,c_rate_holdout_fold,capacity_Ah_kh,12,64,1.1143436666666668
0.2909730984275012,0.5493273546871975,0.556635735101098,K0_prior_capacity,1,2,0.30635844693314673,MH2_ridge,121,3478,False,0.4420984219854066,c_rate_holdout_fold,capacity_Ah_kh,12,64,1.0103026006623368
0.2089050433927507,0.495234418202777,0.4314143155300243,K1_prior_state_time,1,2,0.2563642992391295,MH2_ridge,121,3478,False,0.38604919687168726,c_rate_holdout_fold,capacity_Ah_kh,12,64,0.9750300918977807
