feature_group,horizon_checkups,mean_condition_mean_mae,mean_mae,mean_rmse,mean_worst_condition_mae,metric_rows,model_level,split_name,target,total_test_rows
persistence,1,0.14814665451795436,0.07891953097560689,0.14299590204138607,0.4455759425213675,12,MH0_persistence,all,delta_capacity_Ah_h,10365
prior_slope,1,0.09153932377533948,0.0430479791862089,0.09908491895051709,0.31973998669871795,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,10365
K0_prior_capacity,1,0.118417233344296,0.07083429884153335,0.1185786620193069,0.36674557148819287,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K1_prior_state_time,1,0.08869580969952583,0.048502522790017745,0.09807476222926054,0.31601749148670427,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K2_nominal_condition,1,0.08580936034530556,0.05081002529111615,0.09478966190640697,0.27569498425830635,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K3_oracle_exposure_diagnostic,1,0.10996192093733913,0.08196879086061533,0.1248707535093828,0.3017514847391588,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K0_prior_capacity,1,0.08819474134713608,0.0502829592067618,0.10471429415221062,0.2630772430048486,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
K1_prior_state_time,1,0.07772446200424732,0.04072722209256372,0.09122679608400049,0.260190210398134,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
K2_nominal_condition,1,0.07202668694810176,0.03977666439242468,0.08808439431539589,0.21253504798195036,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
K3_oracle_exposure_diagnostic,1,0.06725859149829455,0.03757822351863361,0.08382064467239325,0.2071694573284091,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
persistence,2,0.2864704461719895,0.13545881613719338,0.22415784902240357,0.8880281630555555,12,MH0_persistence,all,delta_capacity_Ah_h,9723
prior_slope,2,0.21616671412891375,0.07934276166153398,0.16798743118821305,0.8460663630555557,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,9723
K0_prior_capacity,2,0.2286392297886063,0.11245547123293936,0.18141946290357389,0.7689501007512392,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K1_prior_state_time,2,0.20152479139405088,0.09068253413066968,0.16250252030473844,0.7261615624284752,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K2_nominal_condition,2,0.17176423361644352,0.09310438290874236,0.1492122872567427,0.5335855896301759,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K3_oracle_exposure_diagnostic,2,0.2478554932564371,0.24323467609992608,0.3039977212451928,0.476993560889972,12,MH2_ridge,all,delta_capacity_Ah_h,9723
K0_prior_capacity,2,0.19408668266448995,0.09081561520885019,0.17213886412895296,0.6823878826390811,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K1_prior_state_time,2,0.18159750339831185,0.07907900323425975,0.15711510403980353,0.677435911848992,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K2_nominal_condition,2,0.1348169341251768,0.07220432936944944,0.14412883378870242,0.41230156586474825,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
K3_oracle_exposure_diagnostic,2,0.11072982053424207,0.06395267029123192,0.12347371628000275,0.32673821214271515,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9723
persistence,3,0.2892065157069269,0.16619467913951227,0.2582612539332681,0.8342088747053872,12,MH0_persistence,all,delta_capacity_Ah_h,9089
prior_slope,3,0.1874776156873855,0.09323291675860935,0.18236844128478744,0.6480419185185186,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,9089
K0_prior_capacity,3,0.21183758081324225,0.12695649085328548,0.19995501970413665,0.6645040747658172,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K1_prior_state_time,3,0.18265639738829276,0.10711662392370537,0.18152104994127427,0.5582472792511852,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K2_nominal_condition,3,0.16080436605763979,0.10482793235694644,0.16771496142009437,0.4804257015884799,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K3_oracle_exposure_diagnostic,3,0.2845260715298326,0.2735761013092097,0.3329950417761364,0.5446533403391626,12,MH2_ridge,all,delta_capacity_Ah_h,9089
K0_prior_capacity,3,0.16727727311818505,0.10087361034813662,0.17928600426518662,0.47459576327629405,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K1_prior_state_time,3,0.15703283213044886,0.09114563573925034,0.1709564142268533,0.47283083176326435,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K2_nominal_condition,3,0.13923694224378477,0.08072773747459237,0.1580111754603714,0.4665778218428706,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
K3_oracle_exposure_diagnostic,3,0.11775940218359053,0.0692962773421656,0.13252993415793074,0.38389940709324977,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,9089
persistence,5,0.4508759875411789,0.2204815185860078,0.32160974227196193,1.4352063991161617,12,MH0_persistence,all,delta_capacity_Ah_h,7975
prior_slope,5,0.340875127498706,0.13151539633829687,0.24826359467150574,1.375645525378788,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,7975
K0_prior_capacity,5,0.33441023400928366,0.15322682663440904,0.2418231639609428,1.2300287833167427,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K1_prior_state_time,5,0.30878596013396603,0.14185034511974837,0.2314655902911833,1.1576787757020492,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K2_nominal_condition,5,0.26008201357476585,0.13760424033492308,0.21354866458763813,0.914093817353165,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K3_oracle_exposure_diagnostic,5,0.47613503557552295,0.4714543093967993,0.5408573227851287,0.8739172510926333,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K0_prior_capacity,5,0.2758911833627511,0.12657660645677893,0.22255856701751942,1.0761127942830566,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K1_prior_state_time,5,0.2681579049164402,0.11534716227215362,0.2113021313421587,1.0725507259630576,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K2_nominal_condition,5,0.24086334027361048,0.10527401622731725,0.19870352986281173,0.9445695894477785,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K3_oracle_exposure_diagnostic,5,0.18001062022380535,0.0898219012812214,0.16038343355550252,0.6444245426398972,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
