target,split_name,prior_eis_feature_group,best_noneis_feature_group,best_noneis_source_report,n_conditions,mean_gain,median_gain,win_rate,worst_condition_gain,bootstrap_resamples,gain_mean,gain_p05,gain_p50,gain_p95,win_rate_mean
delta_pulse_1s_resistance,c_rate_holdout_fold,P_E1_nominal_eis,P3_state_nominal,pulse_resistance_l0_l3_report.json,12,-9.390590913989042e-05,-2.0232700063809892e-05,0.16666666666666666,-0.0005095457954451318,1000,-9.054325208458853e-05,-0.00018568147554845436,-8.532932645590195e-05,-1.3465748420576287e-05,0.16566666666666666
delta_pulse_1s_resistance,condition_fold,P_E3_stress_eis,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,76,1.3029013606356756e-05,1.559028346590619e-05,0.5921052631578947,-0.0006429315146437106,1000,1.3009919645465802e-05,-2.7637722923185615e-05,1.2343983446534847e-05,5.645453568205589e-05,0.5932631578947368
delta_pulse_1s_resistance,profile_holdout_fold,P_E1_nominal_eis,P3_state_nominal,pulse_resistance_l0_l3_report.json,12,3.0680541730513534e-05,3.6539414333309724e-05,0.8333333333333334,-0.00013277698707742157,1000,3.103290201735406e-05,1.275315623935839e-06,3.11118799036068e-05,6.14917531699826e-05,0.8350833333333334
delta_pulse_1s_resistance,temperature_holdout_fold,P_E3_stress_eis,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,38,2.47078163647647e-05,4.243366860166885e-06,0.5789473684210527,-0.0003370711291735412,1000,2.4206716561156306e-05,-1.4655421653364533e-05,2.3532124336195813e-05,6.880979028712911e-05,0.5776842105263158
delta_pulse_1s_resistance,voltage_window_holdout_fold,P_E1_nominal_eis,P1_state_time,pulse_resistance_l0_l3_report.json,76,-7.744874207204302e-05,7.63271950336315e-05,0.618421052631579,-0.002283269445273558,1000,-7.73269451201006e-05,-0.00023314400746138122,-7.179089368843944e-05,6.184427335829428e-05,0.6204342105263159
