capacity_abs_residual,capacity_residual,cold_c_rate_subgroup,delta_pulse_10ms_resistance,delta_pulse_1s_resistance,feature_group,model_level,nominal_temperature_C,parameter_set,split_name,target,voltage_window_family
0.6251833735649575,0.6251833735649575,True,0.011939000000000002,0.013199000000000006,F1_state_time,L2_hist_gradient_boosting,10.0,36,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.1467339101634657,0.1467339101634657,True,0.0012089999999999983,0.0006360000000000011,F1_state_time,L2_hist_gradient_boosting,10.0,36,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.6020106501261653,0.6020106501261653,True,0.011478000000000002,0.012972999999999995,F1_state_time,L2_hist_gradient_boosting,10.0,36,c_rate_holdout_fold,capacity_Ah_k1,approx_10_100
0.024741043227073156,0.024741043227073156,True,-0.0005780000000000056,-0.0009019999999999966,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.012842648807791957,0.012842648807791957,True,0.0015900000000000011,0.002245999999999998,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.052192560879903205,0.052192560879903205,True,0.0007260000000000044,0.0011350000000000006,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.28369235919251556,0.28369235919251556,True,0.0050089999999999996,0.005017999999999998,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.06285545061943032,-0.06285545061943032,True,0.003783999999999999,0.003962,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.020337980492026286,0.020337980492026286,True,0.0010860000000000002,0.00102,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.06618263851167416,0.06618263851167416,True,0.0007749999999999979,0.000893999999999999,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.10902255017853779,0.10902255017853779,True,0.004771000000000001,0.004747000000000001,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
0.28856464084605915,0.28856464084605915,True,0.005628000000000001,0.006152000000000001,F1_state_time,L2_hist_gradient_boosting,10.0,40,c_rate_holdout_fold,capacity_Ah_k1,approx_10_90
