capacity_abs_residual,capacity_residual,cell_id,checkup_k,checkup_k_next,cold_c_rate_subgroup,delta_pulse_10ms_resistance,delta_pulse_1s_resistance,nominal_charge_C_rate,nominal_temperature_C,parameter_set,split_name,voltage_window_family
0.0034133111405206702,0.0034133111405206702,P008_1,0,1,False,-0.0005579999999999995,0.0004939999999999979,0.0,10.0,8,condition_fold,calendar_soc_100
0.0014187712217876708,0.0014187712217876708,P008_1,1,2,False,-0.0002950000000000036,-0.0010399999999999993,0.0,10.0,8,condition_fold,calendar_soc_100
5.918904300527758e-05,5.918904300527758e-05,P008_1,2,3,False,0.0007050000000000042,0.0007960000000000016,0.0,10.0,8,condition_fold,calendar_soc_100
0.0010565620420678844,0.0010565620420678844,P008_1,3,4,False,-0.0003180000000000023,0.00015300000000000036,0.0,10.0,8,condition_fold,calendar_soc_100
0.002502242170383733,0.002502242170383733,P008_1,4,5,False,0.00019399999999999973,0.0003030000000000012,0.0,10.0,8,condition_fold,calendar_soc_100
0.0013393395865437321,0.0013393395865437321,P008_1,5,6,False,-0.00017500000000000154,2.6999999999999247e-05,0.0,10.0,8,condition_fold,calendar_soc_100
0.00025009639677120443,0.00025009639677120443,P008_1,6,7,False,-0.00012999999999999817,-0.0015670000000000024,0.0,10.0,8,condition_fold,calendar_soc_100
0.0025250338508245804,0.0025250338508245804,P008_1,7,8,False,0.0003359999999999995,0.0010340000000000037,0.0,10.0,8,condition_fold,calendar_soc_100
0.0007680338508245718,0.0007680338508245718,P008_1,8,9,False,0.0011600000000000013,0.0009319999999999988,0.0,10.0,8,condition_fold,calendar_soc_100
0.00013697496490126977,0.00013697496490126977,P008_1,9,10,False,-0.0007939999999999996,-0.0005059999999999995,0.0,10.0,8,condition_fold,calendar_soc_100
0.00015349401506740447,0.00015349401506740447,P008_1,10,11,False,-0.0004840000000000018,0.00016199999999999895,0.0,10.0,8,condition_fold,calendar_soc_100
0.00037860823064661715,0.00037860823064661715,P008_1,11,12,False,-6.200000000000302e-05,-0.0001349999999999997,0.0,10.0,8,condition_fold,calendar_soc_100
0.0005223917693532015,-0.0005223917693532015,P008_1,12,13,False,0.0010180000000000015,0.00044399999999999995,0.0,10.0,8,condition_fold,calendar_soc_100
0.000906772381853803,0.000906772381853803,P008_1,13,14,False,-0.0006269999999999991,-0.0007139999999999994,0.0,10.0,8,condition_fold,calendar_soc_100
0.0009109292927469556,0.0009109292927469556,P008_1,14,15,False,-0.0006090000000000019,1.2999999999999123e-05,0.0,10.0,8,condition_fold,calendar_soc_100
0.0010959292927466132,0.0010959292927466132,P008_1,15,16,False,0.0008260000000000003,0.0009280000000000017,0.0,10.0,8,condition_fold,calendar_soc_100
0.0010439292927473384,0.0010439292927473384,P008_1,16,17,False,0.00031300000000000425,0.0002679999999999974,0.0,10.0,8,condition_fold,calendar_soc_100
