capacity_abs_residual,capacity_residual,cell_id,checkup_k,checkup_k_next,cold_c_rate_subgroup,delta_pulse_10ms_resistance,delta_pulse_1s_resistance,nominal_charge_C_rate,nominal_temperature_C,parameter_set,split_name,voltage_window_family
0.2253798541919223,0.2253798541919223,P020_1,0,1,True,0.00383,0.004786000000000002,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.12788999637936316,0.12788999637936316,P020_1,1,2,True,0.007999,0.007965,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.2183598541919225,0.2183598541919225,P020_2,0,1,True,0.003950000000000002,0.005258000000000002,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.14776739969084196,0.14776739969084196,P020_2,1,2,True,0.007864999999999997,0.008072,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.21384234112655642,0.21384234112655642,P020_3,0,1,True,0.004160999999999998,0.004367999999999997,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.1253121781052069,0.1253121781052069,P020_3,1,2,True,0.007213000000000001,0.007949999999999999,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.15338402121126826,0.15338402121126826,P024_1,0,1,True,0.0036530000000000035,0.0032499999999999994,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.14874274259512177,0.14874274259512177,P024_2,0,1,True,0.0037669999999999995,0.0039020000000000027,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.14018549933511304,0.14018549933511304,P024_2,1,2,True,0.006857000000000002,0.007117999999999999,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.17509824240625127,0.17509824240625127,P024_3,0,1,True,0.003237999999999998,0.0034000000000000002,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.004817958236372988,-0.004817958236372988,P028_1,0,1,True,0.0001239999999999991,-0.00038599999999999746,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.23879991085679642,0.23879991085679642,P028_1,1,2,True,0.005776,0.006926999999999999,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.010033557782097358,0.010033557782097358,P028_1,2,3,True,0.003013000000000002,0.0025239999999999985,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.008246517536131481,-0.008246517536131481,P028_2,0,1,True,0.0018330000000000013,0.0021459999999999986,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.15134323875139533,0.15134323875139533,P028_2,1,2,True,0.0035110000000000002,0.003882,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.0041672294012835565,0.0041672294012835565,P028_2,2,3,True,0.004428999999999999,0.004775999999999999,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.001984888970832266,-0.001984888970832266,P028_3,0,1,True,0.0005560000000000009,0.0006850000000000016,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.2600088369408997,0.2600088369408997,P028_3,1,2,True,0.006772999999999998,0.0066349999999999985,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.05002748275724178,-0.05002748275724178,P028_3,2,3,True,0.0020090000000000004,0.002850000000000002,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.13434047668074056,0.13434047668074056,P032_1,0,1,True,0.002368000000000002,0.002245999999999998,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.3728640620043895,0.3728640620043895,P032_1,1,2,True,0.011040000000000001,0.010811000000000001,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.1703294766807404,0.1703294766807404,P032_2,0,1,True,0.002030999999999998,0.0017519999999999966,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.3504362396143219,0.3504362396143219,P032_2,1,2,True,0.010407,0.011296000000000004,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.12199047668074048,0.12199047668074048,P032_3,0,1,True,0.001735000000000004,0.0021080000000000022,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.3342270801810614,0.3342270801810614,P032_3,1,2,True,0.011654000000000001,0.012029000000000005,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.05403606452909138,0.05403606452909138,P036_1,0,1,True,0.000503,0.001127999999999997,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.45190703433488677,0.45190703433488677,P036_1,1,2,True,0.010418,0.011245000000000002,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.0798375003997025,0.0798375003997025,P036_2,0,1,True,0.0015960000000000002,0.0012040000000000002,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.5032164658415206,0.5032164658415206,P036_2,1,2,True,0.011939000000000002,0.013199000000000006,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.07058726784507297,0.07058726784507297,P036_3,0,1,True,0.0012089999999999983,0.0006360000000000011,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.4990232667982366,0.4990232667982366,P036_3,1,2,True,0.011478000000000002,0.012972999999999995,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
7.645249803811538e-05,-7.645249803811538e-05,P040_1,0,1,True,-0.0005780000000000056,-0.0009019999999999966,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.013801891843655767,-0.013801891843655767,P040_1,1,2,True,0.0015900000000000011,0.002245999999999998,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.02031528218291978,0.02031528218291978,P040_1,2,3,True,0.0007260000000000044,0.0011350000000000006,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.1508559536782137,0.1508559536782137,P040_1,3,4,True,0.0050089999999999996,0.005017999999999998,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.12237535478861838,-0.12237535478861838,P040_1,4,5,True,0.003783999999999999,0.003962,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.01562082966965228,-0.01562082966965228,P040_2,0,1,True,0.0010860000000000002,0.00102,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.07833275200244438,0.07833275200244438,P040_2,1,2,True,0.0007749999999999979,0.000893999999999999,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.013370363694652276,0.013370363694652276,P040_2,2,3,True,0.004771000000000001,0.004747000000000001,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.06279954479587646,0.06279954479587646,P040_2,3,4,True,0.005628000000000001,0.006152000000000001,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.003183137277356529,-0.003183137277356529,P040_3,0,1,True,-0.0009480000000000009,-8.500000000000174e-05,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.01168207259112286,0.01168207259112286,P040_3,1,2,True,0.0014490000000000024,0.0016219999999999984,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.08164036171692235,0.08164036171692235,P040_3,2,3,True,0.003941999999999998,0.004462000000000001,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.13071737010133222,0.13071737010133222,P040_3,3,4,True,0.0070230000000000015,0.006933000000000005,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.04387360786641992,0.04387360786641992,P044_1,0,1,False,0.0004609999999999996,0.0006379999999999997,1.67,25.0,44,c_rate_holdout_fold,approx_0_100
0.16800357524626763,0.16800357524626763,P044_1,1,2,False,0.005651,0.006376,1.67,25.0,44,c_rate_holdout_fold,approx_0_100
