feature_group,inner_validation_rows,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
F8_timestamp_weighted_stress,11,0.12187344081398915,0.07969875767877106,0.004791186897847484,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.06708225391614167,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.10793105241753768,0.08105622482558462,0.0034337197510339087,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.05449733266650377,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.10045722688143217,0.08146558198394035,0.0030243625926781874,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.047432864288753984,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.4723449666123487,0.06762736996024142,-0.001724469233544325,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.424069435845893,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.18187022450443516,0.06631163538285836,-0.0004087346561612774,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.13227895916059643,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.10477017688055258,0.06537248990331322,0.00053041082338387,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.05423976605716871,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.20592254252340175,0.06635898103375083,-0.00045608030705374494,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.1563786228304555,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.210395037018611,0.08331400069829223,0.0008856253925994095,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.15950941162601162,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.188324678750412,0.08423320931589047,-3.358322499883103e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.13835826197541082,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.14784586106757897,0.08375297380734359,0.00044665228354805723,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,condition_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.09739920878403091,delta_capacity_Ah,0.75
