artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,mae,rmse,mean_support_score,median_nearest_distance,claim_scope
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH2_ridge,K3_oracle_exposure_diagnostic,0.5,79,9,0.17922788670439674,0.23754816888761762,0.5988023952095809,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH2_ridge,K3_oracle_exposure_diagnostic,0.25,40,6,0.23812478921797328,0.3013596513739324,0.5988023952095809,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K0_prior_capacity,1.0,157,12,0.14216726271770652,0.23499751233715582,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K0_prior_capacity,0.9,142,12,0.15182843209315913,0.24539712323200366,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K0_prior_capacity,0.75,118,11,0.17055477339763953,0.2585932509172923,0.5988023952095808,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K0_prior_capacity,0.5,79,9,0.1779161949983586,0.2495807295872973,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K0_prior_capacity,0.25,40,6,0.266111277280721,0.32249649139413694,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K1_prior_state_time,1.0,157,12,0.13294455324623325,0.20609705336507836,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K1_prior_state_time,0.9,142,12,0.13906972814426405,0.21415738690571479,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K1_prior_state_time,0.75,118,11,0.1552660378726903,0.22722963086740072,0.5988023952095808,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K1_prior_state_time,0.5,79,9,0.16242312620871174,0.2283793415320871,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K1_prior_state_time,0.25,40,6,0.25076967244624393,0.3042492949040158,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K2_nominal_condition,1.0,157,12,0.1127305615748703,0.18478038033437474,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K2_nominal_condition,0.9,142,12,0.11702761394789765,0.1914527773461223,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K2_nominal_condition,0.75,118,11,0.12980354426697385,0.20230352249619432,0.5988023952095808,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K2_nominal_condition,0.5,79,9,0.13408078507558777,0.19817485599888499,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K2_nominal_condition,0.25,40,6,0.20679875606992432,0.2627231022464091,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,1.0,157,12,0.10080028305142848,0.17419602301833392,0.5988023952095809,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,0.9,142,12,0.1046703336775414,0.18072668484959808,0.5988023952095809,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,0.75,118,11,0.11506924712722977,0.18942746399620716,0.5988023952095808,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,0.5,79,9,0.11598207209132304,0.1755111139345674,0.5988023952095809,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,1,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,0.25,40,6,0.17793630664115326,0.23163381464637336,0.5988023952095809,0.6699999999999999,oracle_diagnostic_only
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,1.0,121,12,0.4339427190082645,0.5460917601578413,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,0.9,109,12,0.4575886788990826,0.5699241833238504,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,0.75,91,12,0.5119322967032967,0.6144872074179922,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,0.5,61,9,0.5440101147540984,0.6428288589645681,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,0.25,31,7,0.805119806451613,0.8462918269495916,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,1.0,121,12,0.2992600247933885,0.43941521250056575,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,0.9,109,12,0.3211230825688074,0.46084200769007216,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,0.75,91,12,0.36984038461538465,0.5013007477578748,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
capacity_horizon,c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,0.5,61,9,0.40703536065573775,0.5411298881177038,0.5988023952095809,0.6699999999999999,prospective_support_reliability_diagnostic
