artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,positive_count,negative_count,brier,ece_10_bin,mean_support_score,median_nearest_distance,claim_scope
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W1_state_time,0.9,142,12,30,112,0.19439670363350625,0.18266020369889083,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W1_state_time,0.75,118,11,28,90,0.21780062914367657,0.21051885139237517,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W1_state_time,0.5,79,9,21,58,0.24121419960949148,0.23812155284811506,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W1_state_time,0.25,40,6,15,25,0.32845631214424975,0.3311924369914357,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W2_nominal,1.0,157,12,32,125,0.138734181141191,0.15219598943204707,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W2_nominal,0.9,142,12,30,112,0.14025541570061337,0.15863701081765333,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W2_nominal,0.75,118,11,28,90,0.1494080285245483,0.15681505224938297,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W2_nominal,0.5,79,9,21,58,0.12279279065274565,0.1612764821022576,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B4_logistic_regression,W2_nominal,0.25,40,6,15,25,0.10638994582942243,0.1481666931872233,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W0_capacity_state,1.0,157,12,32,125,0.1920708815198238,0.18313277968000352,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W0_capacity_state,0.9,142,12,30,112,0.19934692932728845,0.19215494510428432,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W0_capacity_state,0.75,118,11,28,90,0.2238437031073822,0.2188212845209966,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W0_capacity_state,0.5,79,9,21,58,0.25114139012077663,0.24581641052725534,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W0_capacity_state,0.25,40,6,15,25,0.35239357485919426,0.34591568378939375,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W1_state_time,1.0,157,12,32,125,0.18704576517286328,0.1694645083055851,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W1_state_time,0.9,142,12,30,112,0.1943146581643382,0.1827009976271627,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W1_state_time,0.75,118,11,28,90,0.21772519505905358,0.2105398535800861,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_1_checkup,1,B5_ridge_logistic,W1_state_time,0.5,79,9,21,58,0.2412036082951887,0.23814528283888522,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
