split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,exact_nominal_match_count,same_stressor_support_count,nearest_distance,nearest_parameter_set,support_score,claim_scope
condition_fold,4,47,cyclic,25.0,approx_10_100,1.0,1.0,0,61,0,37,0.375,35,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,48,cyclic,25.0,approx_10_100,1.67,1.0,0,61,0,37,0.375,36,0.7272727272727273,train_only_support_diagnostic
condition_fold,2,49,cyclic,25.0,approx_10_90,0.33,0.33,0,61,0,40,0.375,37,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,50,cyclic,25.0,approx_10_90,0.33,1.0,0,61,0,37,0.375,38,0.7272727272727273,train_only_support_diagnostic
condition_fold,4,51,cyclic,25.0,approx_10_90,1.0,1.0,0,61,0,37,0.375,39,0.7272727272727273,train_only_support_diagnostic
condition_fold,4,52,cyclic,25.0,approx_10_90,1.67,1.0,0,61,0,37,0.549167113080863,39,0.6455081518037636,train_only_support_diagnostic
condition_fold,4,53,cyclic,40.0,approx_0_100,0.33,0.33,0,61,0,37,0.375,41,0.7272727272727273,train_only_support_diagnostic
condition_fold,3,54,cyclic,40.0,approx_0_100,0.33,1.0,0,61,0,38,0.375,42,0.7272727272727273,train_only_support_diagnostic
condition_fold,2,55,cyclic,40.0,approx_0_100,1.0,1.0,0,61,0,40,0.375,43,0.7272727272727273,train_only_support_diagnostic
condition_fold,3,56,cyclic,40.0,approx_0_100,1.67,1.0,0,61,0,38,0.375,44,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,57,cyclic,40.0,approx_10_100,0.33,0.33,0,61,0,37,0.375,45,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,58,cyclic,40.0,approx_10_100,0.33,1.0,0,61,0,37,0.40119760479041916,59,0.7136752136752137,train_only_support_diagnostic
condition_fold,3,59,cyclic,40.0,approx_10_100,1.0,1.0,0,61,0,38,0.375,47,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,60,cyclic,40.0,approx_10_100,1.67,1.0,0,61,0,37,0.40119760479041916,59,0.7136752136752137,train_only_support_diagnostic
condition_fold,0,61,cyclic,40.0,approx_10_90,0.33,0.33,0,60,0,40,0.375,49,0.7272727272727273,train_only_support_diagnostic
condition_fold,2,62,cyclic,40.0,approx_10_90,0.33,1.0,0,61,0,40,0.375,50,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,63,cyclic,40.0,approx_10_90,1.0,1.0,0,61,0,37,0.375,51,0.7272727272727273,train_only_support_diagnostic
condition_fold,4,64,cyclic,40.0,approx_10_90,1.67,1.0,0,61,0,37,0.40119760479041916,63,0.7136752136752137,train_only_support_diagnostic
condition_fold,0,65,profile,0.0,approx_0_100,0.0,0.0,2,60,0,6,0.625,71,0.6153846153846154,train_only_support_diagnostic
condition_fold,2,66,profile,0.0,approx_0_100,0.0,0.0,3,61,0,10,0.25,69,0.8,train_only_support_diagnostic
condition_fold,3,67,profile,0.0,approx_0_100,0.0,0.0,4,61,0,9,0.25,70,0.8,train_only_support_diagnostic
condition_fold,0,68,profile,10.0,approx_0_100,0.0,0.0,2,60,0,6,0.375,71,0.7272727272727273,train_only_support_diagnostic
