candidate_condition_mae,candidate_feature_group,candidate_model_level,condition_mae_gain,feature_group,heldout_fold,parameter_set,reference_condition_mae,reference_feature_group,reference_model_level,run_scope,split_name,target
0.2121697301565769,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.020305663005032892,F8_timestamp_weighted_stress,1,20,0.191864067151544,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.18921405024110927,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.03486142385417068,F8_timestamp_weighted_stress,1,24,0.15435262638693859,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.18921405024110927,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.02188220644953698,F8_timestamp_weighted_stress,1,24,0.1673318437915723,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.03646598438573245,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.04458175130682876,F8_timestamp_weighted_stress,1,28,0.08104773569256121,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.03646598438573245,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.04005576919350351,F8_timestamp_weighted_stress,1,28,0.07652175357923596,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.28404990537455477,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.03668527006755573,F8_timestamp_weighted_stress,1,32,0.24736463530699904,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.28404990537455477,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.05371759505621601,F8_timestamp_weighted_stress,1,32,0.23033231031833876,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.2707895078007176,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.005645092157367526,F8_timestamp_weighted_stress,1,36,0.2764345999580851,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.2707895078007176,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.01679802167479738,F8_timestamp_weighted_stress,1,36,0.2539914861259202,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.04035920806662467,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.008829135061845482,F8_timestamp_weighted_stress,1,40,0.049188343128470154,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.04035920806662467,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.009890315315909767,F8_timestamp_weighted_stress,1,40,0.05024952338253444,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.08596027228897747,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.022567135720279324,F8_timestamp_weighted_stress,1,44,0.1085274080092568,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.08596027228897747,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,0.03910600314562325,F8_timestamp_weighted_stress,1,44,0.12506627543460072,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.05672888601265447,F8_timestamp_weighted_stress,R1_condition_balanced_hgb,-0.019786873738067493,F8_timestamp_weighted_stress,1,48,0.036942012274586974,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
