group_value,grouping,missing_cells,missing_parameter_sets,missing_rows
0,c_rate_holdout_fold,61,28,62
1,c_rate_holdout_fold,14,6,14
0,profile_holdout_fold,57,26,57
1,profile_holdout_fold,18,8,19
