schema_version,modality,file_count,row_count,total_size_bytes,status,evidence_paths,provenance_tool,provenance_generated_at_utc,expected_cells,observed_cells,missing_cells_count,coverage_ratio,parameter_sets_with_any_replicate,parameter_sets_with_all_replicates
gate1.audit.v1,cfg,269,,408230,complete,data/dataset/Data Structure v05.3.xlsx;data/dataset/Data Structure v05.3.xlsx:Zone.Identifier;data/dataset/cfg.zip;data/dataset/cfg.zip:Zone.Identifier;cfg.zip::cell_cfg_P000_0_S20_C00.csv;cfg.zip::cell_cfg_P000_0_S20_C01.csv;cfg.zip::cell_cfg_P000_0_S20_C02.csv;cfg.zip::cell_cfg_P000_0_S20_C03.csv;cfg.zip::cell_cfg_P000_0_S20_C04.csv;cfg.zip::cell_cfg_P000_0_S20_C05.csv;cfg.zip::cell_cfg_P000_0_S20_C06.csv;cfg.zip::cell_cfg_P000_0_S20_C07.csv;cfg.zip::cell_cfg_P000_0_S20_C08.csv;cfg.zip::cell_cfg_P000_0_S20_C09.csv;cfg.zip::cell_cfg_P000_0_S20_C10.csv;cfg.zip::cell_cfg_P000_0_S20_C11.csv;cfg.zip::cell_cfg_P001_1_S01_C10.csv;cfg.zip::cell_cfg_P001_2_S04_C09.csv;cfg.zip::cell_cfg_P001_3_S05_C06.csv;cfg.zip::cell_cfg_P002_1_S02_C10.csv;cfg.zip::cell_cfg_P002_2_S03_C10.csv;cfg.zip::cell_cfg_P002_3_S04_C10.csv;cfg.zip::cell_cfg_P003_1_S01_C11.csv;cfg.zip::cell_cfg_P003_2_S02_C11.csv;cfg.zip::cell_cfg_P003_3_S05_C07.csv,mbp audit coverage,2026-05-21T12:25:53+00:00,228,228,0,1.0,76,76
gate1.audit.v1,eoc,242,,582954275,complete,data/dataset/cell_eocv2.zip;data/dataset/cell_eocv2.zip:Zone.Identifier;cell_eocv2.zip::cell_eocv2_P000_0_S20_C00.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C01.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C02.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C03.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C04.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C05.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C06.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C07.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C08.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C09.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C10.csv;cell_eocv2.zip::cell_eocv2_P000_0_S20_C11.csv;cell_eocv2.zip::cell_eocv2_P001_1_S01_C10.csv;cell_eocv2.zip::cell_eocv2_P001_2_S04_C09.csv;cell_eocv2.zip::cell_eocv2_P001_3_S05_C06.csv;cell_eocv2.zip::cell_eocv2_P002_1_S02_C10.csv;cell_eocv2.zip::cell_eocv2_P002_2_S03_C10.csv;cell_eocv2.zip::cell_eocv2_P002_3_S04_C10.csv;cell_eocv2.zip::cell_eocv2_P003_1_S01_C11.csv;cell_eocv2.zip::cell_eocv2_P003_2_S02_C11.csv;cell_eocv2.zip::cell_eocv2_P003_3_S05_C07.csv;cell_eocv2.zip::cell_eocv2_P004_1_S03_C11.csv;cell_eocv2.zip::cell_eocv2_P004_2_S04_C11.csv,mbp audit coverage,2026-05-21T12:25:53+00:00,228,228,0,1.0,76,76
gate1.audit.v1,eis,242,,188239372,complete,data/dataset/cell_eisv2.zip;data/dataset/cell_eisv2.zip:Zone.Identifier;cell_eisv2.zip::cell_eisv2_P000_0_S20_C00.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C01.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C02.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C03.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C04.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C05.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C06.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C07.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C08.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C09.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C10.csv;cell_eisv2.zip::cell_eisv2_P000_0_S20_C11.csv;cell_eisv2.zip::cell_eisv2_P001_1_S01_C10.csv;cell_eisv2.zip::cell_eisv2_P001_2_S04_C09.csv;cell_eisv2.zip::cell_eisv2_P001_3_S05_C06.csv;cell_eisv2.zip::cell_eisv2_P002_1_S02_C10.csv;cell_eisv2.zip::cell_eisv2_P002_2_S03_C10.csv;cell_eisv2.zip::cell_eisv2_P002_3_S04_C10.csv;cell_eisv2.zip::cell_eisv2_P003_1_S01_C11.csv;cell_eisv2.zip::cell_eisv2_P003_2_S02_C11.csv;cell_eisv2.zip::cell_eisv2_P003_3_S05_C07.csv;cell_eisv2.zip::cell_eisv2_P004_1_S03_C11.csv;cell_eisv2.zip::cell_eisv2_P004_2_S04_C11.csv,mbp audit coverage,2026-05-21T12:25:53+00:00,228,228,0,1.0,76,76
gate1.audit.v1,pulse,230,,275956623,complete,data/dataset/cell_plsv2.zip;data/dataset/cell_plsv2.zip:Zone.Identifier;cell_plsv2.zip::cell_plsv2_P001_1_S01_C10.csv;cell_plsv2.zip::cell_plsv2_P001_2_S04_C09.csv;cell_plsv2.zip::cell_plsv2_P001_3_S05_C06.csv;cell_plsv2.zip::cell_plsv2_P002_1_S02_C10.csv;cell_plsv2.zip::cell_plsv2_P002_2_S03_C10.csv;cell_plsv2.zip::cell_plsv2_P002_3_S04_C10.csv;cell_plsv2.zip::cell_plsv2_P003_1_S01_C11.csv;cell_plsv2.zip::cell_plsv2_P003_2_S02_C11.csv;cell_plsv2.zip::cell_plsv2_P003_3_S05_C07.csv;cell_plsv2.zip::cell_plsv2_P004_1_S03_C11.csv;cell_plsv2.zip::cell_plsv2_P004_2_S04_C11.csv;cell_plsv2.zip::cell_plsv2_P004_3_S05_C08.csv;cell_plsv2.zip::cell_plsv2_P005_1_S07_C09.csv;cell_plsv2.zip::cell_plsv2_P005_2_S08_C09.csv;cell_plsv2.zip::cell_plsv2_P005_3_S09_C09.csv;cell_plsv2.zip::cell_plsv2_P006_1_S06_C10.csv;cell_plsv2.zip::cell_plsv2_P006_2_S07_C10.csv;cell_plsv2.zip::cell_plsv2_P006_3_S08_C10.csv;cell_plsv2.zip::cell_plsv2_P007_1_S06_C11.csv;cell_plsv2.zip::cell_plsv2_P007_2_S09_C10.csv;cell_plsv2.zip::cell_plsv2_P007_3_S10_C05.csv;cell_plsv2.zip::cell_plsv2_P008_1_S07_C11.csv;cell_plsv2.zip::cell_plsv2_P008_2_S08_C11.csv,mbp audit coverage,2026-05-21T12:25:53+00:00,228,228,0,1.0,76,76
gate1.audit.v1,log,0,,0,missing,,mbp audit coverage,2026-05-21T12:25:53+00:00,0,0,0,0.0,0,0
gate1.audit.v1,log_age,0,,0,missing,,mbp audit coverage,2026-05-21T12:25:53+00:00,0,0,0,0.0,0,0
