attribution_arm_id,feature_group,inner_validation_rows,max_inner_train_validation_overlap_count,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,outer_test_condition_count,outer_train_condition_count,outer_train_test_overlap_count,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,1.1251665580171417,0.06726387961321606,-0.003052659667161764,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-1.0782192176843035,delta_capacity_Ah,0.75
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,2.1549255932460825,0.06800574352754396,-0.0037945235814896613,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-2.1087201168275724,delta_capacity_Ah,1.0
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.17715417271035827,0.08682262510696631,-0.00038393228408104566,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.12753810499443932,delta_capacity_Ah,0.25
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.17948921239991228,0.08822652494758321,-0.0017878321246979495,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.13127704452461025,delta_capacity_Ah,0.5
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.1791878994400323,0.08809156735588632,-0.001652874533001053,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.13084077397303334,delta_capacity_Ah,0.75
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.12978038911619658,0.08285241761647909,0.0035862752064061794,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.07619411390979039,delta_capacity_Ah,1.0
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.28615886439791893,0.07646846302059739,-0.000825113767410497,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.23698397816532943,capacity_Ah_k1,0.25
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.25068968365877187,0.07665510784605595,-0.0010117585928690513,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.20170144225164094,capacity_Ah_k1,0.5
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.2089140706194819,0.07754016992510028,-0.0018968206719133956,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.16081089129139528,capacity_Ah_k1,0.75
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.22681640515000037,0.077822498288666,-0.0021791490354790962,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.17899555418547944,capacity_Ah_k1,1.0
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.1844478472467492,0.1098568369994688,-0.004577115437879948,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.13902496268462913,capacity_Ah_k1,0.25
