candidate_arm,candidate_condition_mean_mae,comparison_id,condition_mean_mae_gain,paired_condition_count,paired_mean_gain,paired_p05,reference_arm,reference_condition_mean_mae,relative_degradation,schema_version,split_name,target
D1_R0_F8_stress_reference,0.09760217173253728,raw_f8_stress_feature_value,-0.013234147831831147,12,-0.013234147831831156,-0.025172784742678173,D0_R0_F4_reference,0.08436802390070613,0.156862128801388,gate57.stressor_robust_attribution.v1,profile_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.09760217173253728,incremental_f8_under_adaptive,-0.013234147831831147,12,-0.013234147831831156,-0.025172784742678173,D2_adaptive_R2_F4_conservative,0.08436802390070613,0.156862128801388,gate57.stressor_robust_attribution.v1,profile_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.09760217173253728,combined_adaptive_f8_vs_f4,-0.013234147831831147,12,-0.013234147831831156,-0.025172784742678173,D0_R0_F4_reference,0.08436802390070613,0.156862128801388,gate57.stressor_robust_attribution.v1,profile_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.09760217173253728,adaptive_f8_vs_raw_f8,0.0,12,0.0,0.0,D1_R0_F8_stress_reference,0.09760217173253728,0.0,gate57.stressor_robust_attribution.v1,profile_holdout_fold,capacity_Ah_k1
D2_adaptive_R2_F4_conservative,0.10915767923739267,reweighting_only,0.0,12,0.0,0.0,D0_R0_F4_reference,0.10915767923739267,0.0,gate57.stressor_robust_attribution.v1,profile_holdout_fold,delta_capacity_Ah
D1_R0_F8_stress_reference,0.08269291452361342,raw_f8_stress_feature_value,0.026464764713779246,12,0.026464764713779235,0.01490532884971632,D0_R0_F4_reference,0.10915767923739267,-0.2424452855600247,gate57.stressor_robust_attribution.v1,profile_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.08269291452361342,incremental_f8_under_adaptive,0.026464764713779246,12,0.026464764713779235,0.01490532884971632,D2_adaptive_R2_F4_conservative,0.10915767923739267,-0.2424452855600247,gate57.stressor_robust_attribution.v1,profile_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.08269291452361342,combined_adaptive_f8_vs_f4,0.026464764713779246,12,0.026464764713779235,0.01490532884971632,D0_R0_F4_reference,0.10915767923739267,-0.2424452855600247,gate57.stressor_robust_attribution.v1,profile_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.08269291452361342,adaptive_f8_vs_raw_f8,0.0,12,0.0,0.0,D1_R0_F8_stress_reference,0.08269291452361342,0.0,gate57.stressor_robust_attribution.v1,profile_holdout_fold,delta_capacity_Ah
D2_adaptive_R2_F4_conservative,0.06777889925940736,reweighting_only,0.0015149980743798946,38,0.0015149980743798803,-0.00039902395264980456,D0_R0_F4_reference,0.06929389733378725,-0.021863369397194972,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,capacity_Ah_k1
D1_R0_F8_stress_reference,0.06426764374153762,raw_f8_stress_feature_value,0.005026253592249633,38,0.00502625359224963,0.000910899185478178,D0_R0_F4_reference,0.06929389733378725,-0.07253529943680717,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.06492552777549132,incremental_f8_under_adaptive,0.0028533714839160396,38,0.002853371483916045,-0.0017141626719710753,D2_adaptive_R2_F4_conservative,0.06777889925940736,-0.04209822695696856,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.06492552777549132,combined_adaptive_f8_vs_f4,0.004368369558295934,38,0.0043683695582959255,0.0003775302096296642,D0_R0_F4_reference,0.06929389733378725,-0.06304118726723638,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.06492552777549132,adaptive_f8_vs_raw_f8,-0.0006578840339536984,38,-0.0006578840339537041,-0.0021732287778763243,D1_R0_F8_stress_reference,0.06426764374153762,0.010236629128640252,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,capacity_Ah_k1
D2_adaptive_R2_F4_conservative,0.04892525413515667,reweighting_only,-0.0003504864728090598,38,-0.00035048647280906214,-0.0013079909210671878,D0_R0_F4_reference,0.04857476766234761,0.007215401939652239,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,delta_capacity_Ah
D1_R0_F8_stress_reference,0.048683704783932746,raw_f8_stress_feature_value,-0.00010893712158513424,38,-0.00010893712158513194,-0.006389960264566485,D0_R0_F4_reference,0.04857476766234761,0.0022426689169648068,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.04757324590951511,incremental_f8_under_adaptive,0.0013520082256415628,38,0.0013520082256415606,-0.00414023986546684,D2_adaptive_R2_F4_conservative,0.04892525413515667,-0.02763415846357429,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.04757324590951511,combined_adaptive_f8_vs_f4,0.001001521752832503,38,0.0010015217528324982,-0.005094588955418294,D0_R0_F4_reference,0.04857476766234761,-0.02061814808450078,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.04757324590951511,adaptive_f8_vs_raw_f8,0.0011104588744176372,38,0.0011104588744176302,7.058180040364988e-06,D1_R0_F8_stress_reference,0.048683704783932746,-0.022809662480414307,gate57.stressor_robust_attribution.v1,temperature_holdout_fold,delta_capacity_Ah
D2_adaptive_R2_F4_conservative,0.08731374724232432,reweighting_only,-0.0029008686287822633,76,-0.0028679678770124947,-0.0043870331970607334,D0_R0_F4_reference,0.08441287861354206,0.0343652375849304,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,capacity_Ah_k1
D1_R0_F8_stress_reference,0.17064715207936518,raw_f8_stress_feature_value,-0.08623427346582312,76,-0.05894841969348728,-0.08116504455697399,D0_R0_F4_reference,0.08441287861354206,1.0215772152566878,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.16479552808018486,incremental_f8_under_adaptive,-0.07748178083786053,76,-0.052208678635432645,-0.07167554970886615,D2_adaptive_R2_F4_conservative,0.08731374724232432,0.8873949782824364,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.16479552808018486,combined_adaptive_f8_vs_f4,-0.0803826494666428,76,-0.05507664651244514,-0.07461448211596115,D0_R0_F4_reference,0.08441287861354206,0.9522557551277169,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,capacity_Ah_k1
D3_adaptive_R2_F8_conservative,0.16479552808018486,adaptive_f8_vs_raw_f8,0.005851623999180322,76,0.003871773181042138,-0.0007015937122824212,D1_R0_F8_stress_reference,0.17064715207936518,-0.03429078029065981,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,capacity_Ah_k1
D2_adaptive_R2_F4_conservative,0.07575725893223487,reweighting_only,-0.004912552205400558,76,-0.003612704986563873,-0.005093998324906134,D0_R0_F4_reference,0.07084470672683431,0.06934254416977916,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,delta_capacity_Ah
D1_R0_F8_stress_reference,0.12657196344726485,raw_f8_stress_feature_value,-0.05572725672043054,76,-0.038577333868756,-0.05147957608105471,D0_R0_F4_reference,0.07084470672683431,0.786611439232938,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.13010480367992336,incremental_f8_under_adaptive,-0.05434754474768849,76,-0.038004454108385426,-0.05044122129404296,D2_adaptive_R2_F4_conservative,0.07575725893223487,0.7173905908647323,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.13010480367992336,combined_adaptive_f8_vs_f4,-0.05926009695308905,76,-0.0416171590949493,-0.05445052176439908,D0_R0_F4_reference,0.07084470672683431,0.8364788237685331,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,delta_capacity_Ah
D3_adaptive_R2_F8_conservative,0.13010480367992336,adaptive_f8_vs_raw_f8,-0.003532840232658513,76,-0.003039825226193295,-0.005383438560619251,D1_R0_F8_stress_reference,0.12657196344726485,0.027911712329013853,gate57.stressor_robust_attribution.v1,voltage_window_holdout_fold,delta_capacity_Ah
