candidate_condition_mae,condition_mae_delta,feature_group,heldout_fold,model_level,parameter_set,reference_condition_mae,relative_degradation,run_scope,split_name,target
0.09642963070629611,-0.03462617911832212,F4_state_log_age_scalar,1,R2_stressor_balanced_hgb,56,0.13105580982461823,-0.2642094170770425,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1375000471542543,-0.009908921964760814,F4_state_log_age_scalar,1,R2_stressor_balanced_hgb,60,0.1474089691190151,-0.06722061774111279,primary,c_rate_holdout_fold,capacity_Ah_k1
0.05275040748848612,0.00951188209132807,F4_state_log_age_scalar,1,R2_stressor_balanced_hgb,64,0.04323852539715805,0.2199862739064006,primary,c_rate_holdout_fold,capacity_Ah_k1
0.2111009869830506,0.019236919831506605,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,20,0.191864067151544,0.1002632755424303,primary,c_rate_holdout_fold,capacity_Ah_k1
0.17744171527737196,0.01010987148579967,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,24,0.1673318437915723,0.060418096500463335,primary,c_rate_holdout_fold,capacity_Ah_k1
0.12227178364928853,0.04575003007005257,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,28,0.07652175357923596,0.5978695982532575,primary,c_rate_holdout_fold,capacity_Ah_k1
0.25686791390316915,0.026535603584830397,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,32,0.23033231031833876,0.11520573708550028,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1943449545193392,-0.05964653160658101,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,36,0.2539914861259202,-0.23483673612984932,primary,c_rate_holdout_fold,capacity_Ah_k1
0.03991180140100752,-0.010337721981526916,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,40,0.05024952338253444,-0.2057277618899778,primary,c_rate_holdout_fold,capacity_Ah_k1
0.07701354884253282,-0.0480527265920679,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,44,0.12506627543460072,-0.38421809896462045,primary,c_rate_holdout_fold,capacity_Ah_k1
0.06724092787980451,0.025372053380282145,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,48,0.04186887449952237,0.605988426571428,primary,c_rate_holdout_fold,capacity_Ah_k1
0.05798687266269542,0.0017922456065486495,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,52,0.05619462705614677,0.031893540369223025,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0704986172820868,-0.020281201156962914,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,56,0.09077981843904971,-0.2234109023976499,primary,c_rate_holdout_fold,capacity_Ah_k1
0.10489705836592635,-0.044502553404579134,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,60,0.14939961177050548,-0.2978759641821562,primary,c_rate_holdout_fold,capacity_Ah_k1
0.038323756568287404,0.0026186100609190133,F8_timestamp_weighted_stress,1,R2_stressor_balanced_hgb,64,0.03570514650736839,0.07333984921133475,primary,c_rate_holdout_fold,capacity_Ah_k1
0.12923643346979108,-0.04718883714451114,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,20,0.17642527061430222,-0.2674720972806358,primary,c_rate_holdout_fold,capacity_Ah_k1
0.16610797325557314,0.011755346868634553,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,24,0.15435262638693859,0.0761590336607923,primary,c_rate_holdout_fold,capacity_Ah_k1
0.023283998402836372,-0.05776373728972484,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,28,0.08104773569256121,-0.712712536582642,primary,c_rate_holdout_fold,capacity_Ah_k1
0.21737216470210108,-0.02999247060489796,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,32,0.24736463530699904,-0.12124801335354561,primary,c_rate_holdout_fold,capacity_Ah_k1
0.3538784608648666,0.07744386090678146,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,36,0.2764345999580851,0.28015256020239154,primary,c_rate_holdout_fold,capacity_Ah_k1
0.06379042031426943,0.014602077185799277,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,40,0.049188343128470154,0.2968605213568906,primary,c_rate_holdout_fold,capacity_Ah_k1
0.08882235989565035,-0.019705048113606446,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,44,0.1085274080092568,-0.18156748120185193,primary,c_rate_holdout_fold,capacity_Ah_k1
0.06793673724490237,0.0309947249703154,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,48,0.036942012274586974,0.8390101963026304,primary,c_rate_holdout_fold,capacity_Ah_k1
0.04544912804077211,-0.0048013506604837955,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,52,0.05025047870125591,-0.09554835664408895,primary,c_rate_holdout_fold,capacity_Ah_k1
0.11266150147982792,-0.018394308344790306,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,56,0.13105580982461823,-0.14035477228675305,primary,c_rate_holdout_fold,capacity_Ah_k1
0.14685753683573577,-0.000551432283279335,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,60,0.1474089691190151,-0.003740832641154416,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0459808041524608,0.0027422787553027517,F4_state_log_age_scalar,1,R3_condition_bagged_hgb,64,0.04323852539715805,0.06342211558128193,primary,c_rate_holdout_fold,capacity_Ah_k1
0.27101549319170287,0.07915142604015887,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,20,0.191864067151544,0.41253908152400964,primary,c_rate_holdout_fold,capacity_Ah_k1
0.2140187954733882,0.046686951681815914,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,24,0.1673318437915723,0.27900817097293773,primary,c_rate_holdout_fold,capacity_Ah_k1
0.09220467973103297,0.015682926151797005,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,28,0.07652175357923596,0.20494729169474415,primary,c_rate_holdout_fold,capacity_Ah_k1
0.32114833479897625,0.0908160244806375,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,32,0.23033231031833876,0.394282610004311,primary,c_rate_holdout_fold,capacity_Ah_k1
0.3336318226305093,0.07964033650458907,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,36,0.2539914861259202,0.3135551420219894,primary,c_rate_holdout_fold,capacity_Ah_k1
0.04531280794725115,-0.00493671543528329,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,40,0.05024952338253444,-0.09824402507664733,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1323212472410801,0.007254971806479382,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,44,0.12506627543460072,0.05800901786887489,primary,c_rate_holdout_fold,capacity_Ah_k1
0.054584778803824376,0.012715904304302007,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,48,0.04186887449952237,0.30370781293504956,primary,c_rate_holdout_fold,capacity_Ah_k1
0.05006470251087144,-0.006129924545275334,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,52,0.05619462705614677,-0.10908381933295205,primary,c_rate_holdout_fold,capacity_Ah_k1
0.06121638048360755,-0.02956343795544216,F8_timestamp_weighted_stress,1,R3_condition_bagged_hgb,56,0.09077981843904971,-0.32566090639728795,primary,c_rate_holdout_fold,capacity_Ah_k1
