candidate_condition_mean_mae,condition_mean_mae_delta,exceeds_5pct_guardrail,feature_group,model_level,reference_condition_mean_mae,reference_feature_group,reference_model_level,relative_degradation,run_scope,split_name,target
0.06930964898370423,1.5751649916975752e-05,False,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.06929389733378725,F4_state_log_age_scalar,R0_reference_hgb50,0.00022731655344914985,primary,temperature_holdout_fold,capacity_Ah_k1
0.08148810378598383,-0.0029247748275582353,False,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.08441287861354206,F4_state_log_age_scalar,R0_reference_hgb50,-0.0346484431711943,primary,voltage_window_holdout_fold,capacity_Ah_k1
0.08249450764022971,-0.018638263662362098,False,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.10113277130259181,F4_state_log_age_scalar,R0_reference_hgb50,-0.18429499579909603,primary,c_rate_holdout_fold,delta_capacity_Ah
0.04568938119233373,0.0010444615661267184,False,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.044644919626207015,F4_state_log_age_scalar,R0_reference_hgb50,0.023394858247512872,primary,condition_fold,delta_capacity_Ah
0.10915767923739267,0.0,False,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.10915767923739267,F4_state_log_age_scalar,R0_reference_hgb50,0.0,primary,profile_holdout_fold,delta_capacity_Ah
0.048506952481169215,-6.781518117839752e-05,False,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.04857476766234761,F4_state_log_age_scalar,R0_reference_hgb50,-0.0013960989304116422,primary,temperature_holdout_fold,delta_capacity_Ah
0.07614860986873308,0.005303903141898769,True,F4_state_log_age_scalar,R2_stressor_balanced_hgb,0.07084470672683431,F4_state_log_age_scalar,R0_reference_hgb50,0.07486661159244767,primary,voltage_window_holdout_fold,delta_capacity_Ah
0.11815832811121335,-0.004283783393481566,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.12244211150469492,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.03498619340060392,primary,c_rate_holdout_fold,capacity_Ah_k1
0.05053211468646226,-0.0030404895019190345,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.05357260418838129,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.05675455856555969,primary,condition_fold,capacity_Ah_k1
0.09760217173253728,0.0,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.09760217173253728,F8_timestamp_weighted_stress,R0_reference_hgb50,0.0,primary,profile_holdout_fold,capacity_Ah_k1
0.06613421706077674,0.0018665733192391176,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.06426764374153762,F8_timestamp_weighted_stress,R0_reference_hgb50,0.029043749086956325,primary,temperature_holdout_fold,capacity_Ah_k1
0.1644324825326869,-0.006214669546678264,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.17064715207936518,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.03641824355666905,primary,voltage_window_holdout_fold,capacity_Ah_k1
0.07054288180460386,-0.031972906518726266,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.10251578832333012,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.311882755248247,primary,c_rate_holdout_fold,delta_capacity_Ah
0.0429215980334721,0.0012213156346101567,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.04170028239886194,F8_timestamp_weighted_stress,R0_reference_hgb50,0.029287946372360492,primary,condition_fold,delta_capacity_Ah
0.08269291452361342,0.0,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.08269291452361342,F8_timestamp_weighted_stress,R0_reference_hgb50,0.0,primary,profile_holdout_fold,delta_capacity_Ah
0.04744798411750578,-0.0012357206664269649,False,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.048683704783932746,F8_timestamp_weighted_stress,R0_reference_hgb50,-0.02538263412596311,primary,temperature_holdout_fold,delta_capacity_Ah
0.13325930246242482,0.006687339015159971,True,F8_timestamp_weighted_stress,R2_stressor_balanced_hgb,0.12657196344726485,F8_timestamp_weighted_stress,R0_reference_hgb50,0.0528342836203706,primary,voltage_window_holdout_fold,delta_capacity_Ah
0.12178145988823225,-0.0034049079795383796,False,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.12518636786777063,F4_state_log_age_scalar,R0_reference_hgb50,-0.027198712108452962,primary,c_rate_holdout_fold,capacity_Ah_k1
0.052580724109028296,-0.001345941167145627,False,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.05392666527617392,F4_state_log_age_scalar,R0_reference_hgb50,-0.024958731645145796,primary,condition_fold,capacity_Ah_k1
0.11820060213950162,0.033832578238795485,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.08436802390070613,F4_state_log_age_scalar,R0_reference_hgb50,0.4010118605908502,primary,profile_holdout_fold,capacity_Ah_k1
0.07564563669210685,0.006351739358319591,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.06929389733378725,F4_state_log_age_scalar,R0_reference_hgb50,0.0916637626503153,primary,temperature_holdout_fold,capacity_Ah_k1
0.09505244300934977,0.01063956439580771,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.08441287861354206,F4_state_log_age_scalar,R0_reference_hgb50,0.12604195675540963,primary,voltage_window_holdout_fold,capacity_Ah_k1
0.09676135830956188,-0.004371412993029927,False,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.10113277130259181,F4_state_log_age_scalar,R0_reference_hgb50,-0.04322449525239004,primary,c_rate_holdout_fold,delta_capacity_Ah
0.048729844279574205,0.00408492465336719,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.044644919626207015,F4_state_log_age_scalar,R0_reference_hgb50,0.09149808505802078,primary,condition_fold,delta_capacity_Ah
0.11972907081091998,0.010571391573527308,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.10915767923739267,F4_state_log_age_scalar,R0_reference_hgb50,0.09684514774757148,primary,profile_holdout_fold,delta_capacity_Ah
0.05396260871413515,0.005387841051787537,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.04857476766234761,F4_state_log_age_scalar,R0_reference_hgb50,0.11091851409850147,primary,temperature_holdout_fold,delta_capacity_Ah
0.07783698418589476,0.0069922774590604475,True,F4_state_log_age_scalar,R3_condition_bagged_hgb,0.07084470672683431,F4_state_log_age_scalar,R0_reference_hgb50,0.09869865769960111,primary,voltage_window_holdout_fold,delta_capacity_Ah
0.14342100941740102,0.0209788979127061,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.12244211150469492,F8_timestamp_weighted_stress,R0_reference_hgb50,0.17133727648842192,primary,c_rate_holdout_fold,capacity_Ah_k1
0.06383342354816798,0.010260819359786691,True,F8_timestamp_weighted_stress,R3_condition_bagged_hgb,0.05357260418838129,F8_timestamp_weighted_stress,R0_reference_hgb50,0.1915310915949842,primary,condition_fold,capacity_Ah_k1
