bag_count,feature_group,gain_vs_f4,gain_vs_stress_reference,is_predeclared_primary_setting,max_other_split_relative_degradation,model_level,model_setting_id,paired_p05_vs_f4,paired_p05_vs_stress_reference,passes_threshold,threshold,weight_strength
1,F4_state_log_age_scalar,0.018638263662362098,0.020021280683100412,False,0.07486661159244767,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0.009244888938482505,0.0019314978543056936,False,0.05,1.0
1,F4_state_log_age_scalar,0.018638263662362098,0.020021280683100412,False,0.07486661159244767,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0.009244888938482505,0.0019314978543056936,True,0.075,1.0
1,F4_state_log_age_scalar,0.018638263662362098,0.020021280683100412,False,0.07486661159244767,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0.009244888938482505,0.0019314978543056936,True,0.1,1.0
1,F4_state_log_age_scalar,0.017300171288164218,0.018683188308902532,False,0.08254397298934446,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,0.010548718532932494,0.0003309314721906889,False,0.03,0.25
1,F4_state_log_age_scalar,0.017300171288164218,0.018683188308902532,False,0.08254397298934446,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,0.010548718532932494,0.0003309314721906889,False,0.05,0.25
1,F4_state_log_age_scalar,0.017300171288164218,0.018683188308902532,False,0.08254397298934446,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,0.010548718532932494,0.0003309314721906889,False,0.075,0.25
1,F4_state_log_age_scalar,0.017300171288164218,0.018683188308902532,False,0.08254397298934446,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,0.010548718532932494,0.0003309314721906889,True,0.1,0.25
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08254397298934446,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,0.0,-0.013552325672900762,False,0.03,0.25
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08254397298934446,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,0.0,-0.013552325672900762,False,0.05,0.25
1,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,0.08254397298934446,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,0.0,-0.013552325672900762,False,0.075,0.25
