bag_count,c_rate_condition_mean_mae,c_rate_worst_condition_mae,feature_group,gain_vs_f4,gain_vs_stress_reference,is_nondominated,is_predeclared_primary_setting,max_other_split_relative_degradation,model_level,model_setting_id,paired_p05_vs_f4,paired_p05_vs_stress_reference,weight_strength
1,0.07054288180460386,0.1338449384645961,F8_timestamp_weighted_stress,0.03058988949798795,0.031972906518726266,True,True,0.0528342836203706,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0.02168675728216092,0.01657933598721344,1.0
1,0.08108915098979329,0.15233744965203702,F8_timestamp_weighted_stress,0.02004362031279852,0.021426637333536835,True,False,0.027911712329013853,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,0.007498572292517876,0.00465695560847858,0.25
1,0.0796826883099834,0.15974107890166236,F8_timestamp_weighted_stress,0.021450082992608407,0.02283310001334672,True,False,0.04768299629636579,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,0.009478468160663214,0.0013791071698047014,0.5
1,0.08804712689258576,0.18504867395426713,F4_state_log_age_scalar,0.01308564441000605,0.014468661430744365,False,False,0.05795714966464238,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,0.008948098521293668,-0.002297805423946963,0.5
1,0.10113277130259181,0.193505570859936,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,False,0.0605018135967139,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p5,0.0,-0.013552325672900762,0.5
1,0.0904967149458784,0.1734797634360663,F4_state_log_age_scalar,0.010636056356713414,0.012019073377451728,False,False,0.07087159895512074,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,0.0059439723014695425,-0.0026564793873167006,0.25
1,0.08249450764022971,0.15356361894857298,F4_state_log_age_scalar,0.018638263662362098,0.020021280683100412,False,False,0.07486661159244767,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,0.009244888938482505,0.0019314978543056936,1.0
1,0.08383260001442759,0.177468419009017,F4_state_log_age_scalar,0.017300171288164218,0.018683188308902532,False,False,0.08254397298934446,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p25,0.010548718532932494,0.0003309314721906889,0.25
1,0.10113277130259181,0.193505570859936,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,False,0.08254397298934446,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p25,0.0,-0.013552325672900762,0.25
1,0.10113277130259181,0.193505570859936,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,False,0.08829221564016083,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w1,0.0,-0.013552325672900762,1.0
1,0.08227091356829698,0.18224513854740357,F4_state_log_age_scalar,0.01886185773429483,0.020244874755033143,False,False,0.09895925812239803,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p5,0.01105470277642892,-0.0004232552643676461,0.5
1,0.0699150568282395,0.15000380566697316,F8_timestamp_weighted_stress,0.031217714474352315,0.03260073149509063,True,False,0.11010088485076483,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.019455749542004533,0.012278230730529601,0.75
5,0.09676135830956188,0.199648353928615,F4_state_log_age_scalar,0.004371412993029927,0.005754430013768241,False,False,0.11091851409850147,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags5,-0.00706416769894765,-0.003117297279603129,0.0
9,0.09542792228705753,0.17934372840143656,F4_state_log_age_scalar,0.00570484901553428,0.007087866036272594,False,False,0.16041777880625827,R3_condition_bagged_hgb,R3_condition_bagged_hgb__bags9,-0.002417580084145903,-0.0038288701353720923,0.0
1,0.08464742063245466,0.18015284797565387,F4_state_log_age_scalar,0.01648535067013715,0.017868367690875464,False,False,0.1666480617558136,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,0.010284037820191903,-0.0005099401669483201,0.75
1,0.08431802775505437,0.1933593323967979,F4_state_log_age_scalar,0.01681474354753744,0.018197760568275753,False,False,0.1827031451693857,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w0p75,0.00947997192076061,-0.0027007431354186904,0.75
1,0.10113277130259181,0.193505570859936,F4_state_log_age_scalar,0.0,0.0013830170207383141,False,False,0.1827031451693857,R4_worst_fold_selected_hgb,R4_worst_fold_selected_hgb__w0p75,0.0,-0.013552325672900762,0.75
1,0.08131374596770373,0.1793405801938357,F4_state_log_age_scalar,0.01981902533488808,0.021202042355626394,False,False,0.18832759966958884,R1_condition_balanced_hgb,R1_condition_balanced_hgb__w1,0.011738756394023242,0.0011459144941445062,1.0
