target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,f4_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,condition_fold,1,46,C_P2_log_age_pulse,0.0271518038838276,0.02540560330057361,0.00174620058325399,84,25.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,48,C_P2_log_age_pulse,0.07033871589541492,0.07765850884567253,-0.007319792950257614,10,25.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,1,50,C_P2_log_age_pulse,0.007649688905072031,0.008794238821501744,-0.0011445499164297133,84,25.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,1,57,C_P2_log_age_pulse,0.07751679522166086,0.073287842536652,0.004228952685008849,36,40.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,58,C_P2_log_age_pulse,0.06625063458611219,0.05930181720577267,0.00694881738033952,38,40.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,1,60,C_P2_log_age_pulse,0.13951238100612554,0.1417115874454677,-0.002199206439342155,16,40.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,1,63,C_P2_log_age_pulse,0.041727731741062354,0.040354659463612254,0.0013730722774501006,81,40.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,condition_fold,2,1,C_P2_log_age_pulse,0.008709650863195195,0.008123913553374475,0.0005857373098207205,84,0.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,2,6,C_P2_log_age_pulse,0.0062984860042508166,0.006189268135403368,0.00010921786884744884,84,10.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,condition_fold,2,9,C_P2_log_age_pulse,0.007557262933688033,0.006841612087239112,0.0007156508464489205,84,25.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,2,13,C_P2_log_age_pulse,0.005388653908210338,0.005208961041853575,0.00017969286635676276,84,40.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,2,16,C_P2_log_age_pulse,0.010478575418628072,0.012409409039031188,-0.0019308336204031159,78,40.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,condition_fold,2,17,C_P2_log_age_pulse,0.06108858430698603,0.062200728781305836,-0.001112144474319808,24,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,2,21,C_P2_log_age_pulse,0.0255913658654814,0.026598994719024754,-0.001007628853543354,43,0.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,2,26,C_P2_log_age_pulse,0.053685317530499314,0.050838616713025704,0.0028467008174736103,33,0.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,2,27,C_P2_log_age_pulse,0.08190942534892506,0.07903445085408035,0.0028749744948447092,15,0.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,condition_fold,2,32,C_P2_log_age_pulse,0.16931331880149056,0.16912599584762666,0.0001873229538638943,6,10.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,2,49,C_P2_log_age_pulse,0.01764582007650097,0.019003640511909545,-0.0013578204354085764,84,25.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,2,55,C_P2_log_age_pulse,0.06968884129140286,0.07169127219624694,-0.002002430904844074,22,40.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,2,62,C_P2_log_age_pulse,0.014482962790030595,0.01466162461848379,-0.00017866182845319503,84,40.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,2,66,C_P2_log_age_pulse,0.03461320684100251,0.03461659286000264,-3.3860190001289148e-06,84,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,2,76,C_P2_log_age_pulse,0.08218799362172739,0.08359641424726466,-0.0014084206255372683,83,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,3,7,C_P2_log_age_pulse,0.004242911521337954,0.003950801576849614,0.00029210994448833957,84,10.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,condition_fold,3,12,C_P2_log_age_pulse,0.008655158007968162,0.01067265433129366,-0.002017496323325497,78,25.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,condition_fold,3,22,C_P2_log_age_pulse,0.07579073925477126,0.07078613589105179,0.005004603363719468,22,0.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,3,28,C_P2_log_age_pulse,0.09068733003679592,0.0827269224741597,0.007960407562636218,9,0.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,3,31,C_P2_log_age_pulse,0.04467555012663538,0.04006878062684257,0.004606769499792808,6,10.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,35,C_P2_log_age_pulse,0.10748486511962585,0.10352188410066163,0.003962981018964223,11,10.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,36,C_P2_log_age_pulse,0.2261174125800769,0.21506660051818458,0.011050812061892318,6,10.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,3,41,C_P2_log_age_pulse,0.03585170502728281,0.04329941038536662,-0.007447705358083805,56,25.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,3,43,C_P2_log_age_pulse,0.06494622019668349,0.07364526087371764,-0.008699040677034156,12,25.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,54,C_P2_log_age_pulse,0.06790987100976328,0.0732656412929221,-0.005355770283158812,46,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,3,56,C_P2_log_age_pulse,0.0977763192454709,0.09462510953800715,0.0031512097074637424,13,40.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,3,59,C_P2_log_age_pulse,0.11713310135368547,0.12207539254768432,-0.004942291193998846,19,40.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,3,67,C_P2_log_age_pulse,0.13960340700851606,0.14094640276135267,-0.001342995752836612,15,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,3,71,C_P2_log_age_pulse,0.016442551647489697,0.015424552146680651,0.0010179995008090456,84,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,3,74,C_P2_log_age_pulse,0.061775453193709605,0.0584151410308932,0.0033603121628164034,48,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,4,2,C_P2_log_age_pulse,0.004872069899099491,0.005020262536879356,-0.0001481926377798655,84,0.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,condition_fold,4,4,C_P2_log_age_pulse,0.005674366090323917,0.0049482855068739414,0.0007260805834499754,84,0.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,condition_fold,4,14,C_P2_log_age_pulse,0.008006048074574754,0.007035121966951827,0.0009709261076229275,84,40.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,condition_fold,4,19,C_P2_log_age_pulse,0.13695823240871127,0.14449746659276871,-0.007539234184057442,6,0.0,approx_0_100,1.0,cyclic
