target,split_name,best_stress_model_level,best_stress_feature_group,best_stress_condition_mean_mae,best_stress_worst_condition_mae,baseline_f4_model_level,baseline_f4_condition_mean_mae,condition_mean_mae_gain_vs_f4,l0_condition_mean_mae,condition_mean_mae_gain_vs_l0,success_vs_f4,material_degradation_vs_f4
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.10251578832333012,0.21193834940315578,L2_hist_gradient_boosting,0.10113277130259181,-0.0013830170207383141,0.33485399645173297,0.23233820812840283,False,False
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.04170028239886194,0.1901932227892993,L2_hist_gradient_boosting,0.044644919626207015,0.0029446372273450733,0.13801071921543,0.09631043681656806,True,False
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.048683704783932746,0.14762688345553496,L2_hist_gradient_boosting,0.04857476766234761,-0.00010893712158513424,0.15025633253369464,0.10157262774976189,False,False
delta_capacity_Ah,voltage_window_holdout_fold,L2_hist_gradient_boosting,F13_sparse_c_rate_context,0.06245099440568108,0.3244342402970414,L2_hist_gradient_boosting,0.07084470672683431,0.008393712321153227,0.1187266501812217,0.05627565577554061,True,False
