target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,l0_reference_status,condition_mean_mae_improvement_vs_l0
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.10113277130259181,0.193505570859936,20,0.193505570859936,0.33485399645173297,reference_report,0.23372122514914118
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.04170028239886194,0.1901932227892993,70,0.1901932227892993,0.13801071921543,reference_report,0.09631043681656806
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.04857476766234761,0.16868537789777535,67,0.16868537789777535,0.15025633253369464,reference_report,0.10168156487134702
delta_capacity_Ah,voltage_window_holdout_fold,L2_hist_gradient_boosting,F13_sparse_c_rate_context,0.06245099440568108,0.3244342402970414,36,0.3244342402970414,0.1187266501812217,reference_report,0.05627565577554061
