comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,reference_condition_mean_mae,candidate_condition_mean_mae,condition_mean_mae_gain,relative_degradation,candidate_q10_q90_coverage,candidate_q10_q90_width
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.04857476766234761,0.04853870342861089,3.60642337367198e-05,0.0,0.7797843665768194,0.04750039739705247
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.1353345814753925,0.13506208374091608,0.00027249773447643455,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.07084470672683431,0.07103987164471412,-0.0001951649178798115,0.0027548270985486008,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.07084470672683431,0.07103987164471412,-0.0001951649178798115,0.0027548270985486008,0.4286737442058624,0.05332171237861766
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,0.3505645817588665,0.35058654874417733,-2.196698531081731e-05,6.266173610752028e-05,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,0.1282272497937834,0.12786452965305814,0.00036272014072524783,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,0.1282272497937834,0.12786452965305814,0.00036272014072524783,0.0,0.44036697247706424,0.07986499999999985
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.07840365879605912,0.07754422194633004,0.0008594368497290839,0.0,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.05645118313892552,0.0563417207659823,0.00010946237294321565,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.05645118313892552,0.0563417207659823,0.00010946237294321565,0.0,0.8337415753437432,0.09508006000000009
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.32698510983109563,0.3269875513596611,-2.4415285654888486e-06,7.466788217818303e-06,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.1166797241013368,0.11639850646262172,0.0002812176387150811,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.1166797241013368,0.11639850646262172,0.0002812176387150811,0.0,0.32633587786259544,0.09364680000000014
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.12434259294877886,0.12409019404443072,0.00025239890434813894,0.0,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.07197554979859645,0.07177736647543073,0.00019818332316572096,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.07197554979859645,0.07177736647543073,0.00019818332316572096,0.0,0.7888443557339254,0.08445714999999998
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.13100168860552422,0.13094816153614972,5.35270693745038e-05,0.0,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.09675355614362503,0.09676541745858626,-1.1861314961225666e-05,0.0001225930646271878,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.09675355614362503,0.09676541745858626,-1.1861314961225666e-05,0.0001225930646271878,0.4806136048845841,0.09243503333333346
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,0.34899048051487286,0.34901245907329653,-2.1978558423674244e-05,6.297752990639981e-05,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,0.10052211375194971,0.10036258527740172,0.00015952847454799024,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,0.10052211375194971,0.10036258527740172,0.00015952847454799024,0.0,0.29357798165137616,0.05178864526919824
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0.07836255657929919,0.07751173868226383,0.0008508178970353664,0.0,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0.046984927396475064,0.04694117960791367,4.37477885613935e-05,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0.046984927396475064,0.04694117960791367,4.37477885613935e-05,0.0,0.7617994440170359,0.054959313811824326
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,0.326376254073254,0.3263776617429504,-1.4076696964182567e-06,4.313027307747426e-06,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,0.10805423260555207,0.1075155323624058,0.0005387002431462701,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,0.10805423260555207,0.1075155323624058,0.0005387002431462701,0.0,0.09351145038167939,0.05307688825952221
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.12048431503566148,0.1202181786597889,0.0002661363758725832,0.0,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.05519999870066669,0.05519070928474133,9.289415925359257e-06,0.0,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.05519999870066669,0.05519070928474133,9.289415925359257e-06,0.0,0.7562894927845615,0.04940824803517492
ridge_partial_pooling_vs_ridge,sensitivity_excluding_monotonicity,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.1310849655958423,0.13103813218822477,4.6833407617519196e-05,0.0,,
hgb_partial_pooling_vs_hgb,sensitivity_excluding_monotonicity,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.07947246586188239,0.07973733735904165,-0.00026487149715925806,0.0033328712565630753,,
replicate_interval_vs_hgb,sensitivity_excluding_monotonicity,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.07947246586188239,0.07973733735904165,-0.00026487149715925806,0.0033328712565630753,0.45021031191695404,0.05446944342589816
