parameter_set,checkup_k_next,target,n_replicates,n_intervals,condition_mean,condition_median,condition_std,replicate_spread,tolerance_low,tolerance_high,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,c_rate_holdout_fold,profile_holdout_fold
1,15,capacity_Ah_k1,3,3,2.809238666666667,2.806561,0.013704122238703797,0.027013000000000176,2.797071,2.824084,calendar,0.0,calendar_soc_10,0.0,0,0
1,15,delta_capacity_Ah,3,3,-0.006779333333333544,-0.0066910000000000025,0.0003734197816578208,0.0007310000000000372,-0.007189000000000334,-0.006458000000000297,calendar,0.0,calendar_soc_10,0.0,0,0
1,16,capacity_Ah_k1,3,3,2.8029469999999996,2.799867,0.014185042262890926,0.02786400000000011,2.790555,2.818419,calendar,0.0,calendar_soc_10,0.0,0,0
1,16,delta_capacity_Ah,3,3,-0.006291666666666658,-0.006515999999999966,0.0005499584832815086,0.0010289999999999466,-0.006693999999999978,-0.005665000000000031,calendar,0.0,calendar_soc_10,0.0,0,0
1,17,capacity_Ah_k1,3,3,2.7967456666666664,2.793608,0.014070378258360279,0.027611000000000274,2.784509,2.81212,calendar,0.0,calendar_soc_10,0.0,0,0
1,17,delta_capacity_Ah,3,3,-0.006201333333333281,-0.0062590000000000146,0.00013600122548462003,0.0002529999999998367,-0.0062989999999998325,-0.006045999999999996,calendar,0.0,calendar_soc_10,0.0,0,0
1,18,capacity_Ah_k1,3,3,2.7913783333333337,2.788076,0.014417006774408273,0.02826100000000009,2.778899,2.80716,calendar,0.0,calendar_soc_10,0.0,0,0
1,18,delta_capacity_Ah,3,3,-0.005367333333333206,-0.005531999999999648,0.0003549103173101885,0.0006499999999998174,-0.005609999999999893,-0.0049600000000000755,calendar,0.0,calendar_soc_10,0.0,0,0
1,19,capacity_Ah_k1,3,3,2.786049,2.782827,0.014524547462829926,0.028507999999999978,2.773406,2.801914,calendar,0.0,calendar_soc_10,0.0,0,0
1,19,delta_capacity_Ah,3,3,-0.005329333333333371,-0.005249000000000059,0.0001417474279601457,0.0002469999999998862,-0.00549299999999997,-0.005246000000000084,calendar,0.0,calendar_soc_10,0.0,0,0
1,20,capacity_Ah_k1,3,3,2.7808550000000003,2.777871,0.014492266627411923,0.02851999999999988,2.768087,2.796607,calendar,0.0,calendar_soc_10,0.0,0,0
1,20,delta_capacity_Ah,3,3,-0.005194000000000069,-0.005307000000000173,0.000206201357900568,0.00036300000000011323,-0.005319000000000074,-0.0049559999999999604,calendar,0.0,calendar_soc_10,0.0,0,0
1,21,capacity_Ah_k1,3,3,2.7767630000000003,2.774102,0.013752949247343297,0.027117000000000058,2.764535,2.791652,calendar,0.0,calendar_soc_10,0.0,0,0
1,21,delta_capacity_Ah,3,3,-0.0040919999999999845,-0.0037690000000001334,0.000755214539054832,0.001402999999999821,-0.004954999999999821,-0.0035519999999999996,calendar,0.0,calendar_soc_10,0.0,0,0
1,22,capacity_Ah_k1,3,3,2.7721006666666668,2.76939,0.013920367320345019,0.027441999999999744,2.759735,2.787177,calendar,0.0,calendar_soc_10,0.0,0,0
1,22,delta_capacity_Ah,3,3,-0.004662333333333398,-0.0047120000000000495,0.00016809620261410216,0.00032499999999968665,-0.0047999999999999154,-0.004475000000000229,calendar,0.0,calendar_soc_10,0.0,0,0
