target,split_name,model_level,feature_group,parameter_set,n_predictions,model_mae,model_median_abs_error,mean_replicate_spread,model_mae_minus_replicate_spread,model_error_exceeds_spread
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F3_state_nominal,48,10,0.06603050452566155,0.027626762226405255,0.08195099999999997,-0.015920495474338422,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F3_state_nominal,52,28,0.06930202330541797,0.03300807382898174,0.30563214285714285,-0.2363301195517249,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F3_state_nominal,56,13,0.14721280349344382,0.057091502851278175,0.12802292307692303,0.019189880416520783,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F3_state_nominal,60,16,0.15983204002329032,0.031287717285154004,0.2783338125,-0.11850177247670968,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F3_state_nominal,64,38,0.055375859792296575,0.027316639679414445,0.12186707894736845,-0.06649121915507188,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,20,6,0.17642527061430222,0.1808048704086992,0.02733399999999986,0.14909127061430236,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,24,4,0.15435262638693859,0.15106338190319502,0.021890999999999994,0.1324616263869386,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,28,9,0.08104773569256121,0.010033557782097358,0.07086466666666673,0.010183069025894484,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,32,6,0.24736463530699904,0.2522782784309009,0.025018499999999944,0.2223461353069991,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,36,6,0.2764345999580851,0.26587226736729463,0.052907999999999955,0.22352659995808516,True
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,40,15,0.049188343128470154,0.017079289845537637,0.26770559999999993,-0.21851725687152979,False
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,44,6,0.1085274080092568,0.04667469257716106,0.184701,-0.07617359199074321,False
