brier,calibration_intercept,calibration_slope,ece_10_bin,feature_group,heldout_fold,model_level,positive_count,row_count,split_name,target
0.2652933688365377,0.09850149724925727,0.0205334900699353,0.3159790162438792,distance_to_threshold,2,B2_linear_extrapolation_to_threshold,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.01354541556845371,0.09430157894016578,0.024214208962024822,0.03523962963834074,distance_to_threshold,3,B2_linear_extrapolation_to_threshold,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.1732801551163013,0.5014254034203396,0.10398095902013688,0.15127223317728122,distance_to_threshold,1,B3_logistic_distance_baseline,32,157,c_rate_holdout_fold,event_within_1_checkup
0.04594805817563469,0.1777779318171973,0.039995709257355114,0.009590772044421441,distance_to_threshold,0,B3_logistic_distance_baseline,42,844,condition_fold,event_within_1_checkup
0.028664702150725713,0.20609682765051113,0.051078933075699655,0.016154669504263867,distance_to_threshold,1,B3_logistic_distance_baseline,28,865,condition_fold,event_within_1_checkup
0.028756120418410663,0.21710040203551034,0.052456536804293095,0.015985513629820643,distance_to_threshold,2,B3_logistic_distance_baseline,29,892,condition_fold,event_within_1_checkup
0.06699931134339168,0.2995444168683862,0.06884681232822917,0.029763032119252714,distance_to_threshold,3,B3_logistic_distance_baseline,38,509,condition_fold,event_within_1_checkup
0.04602162955988409,0.2376645209693066,0.054688687006765525,0.01440890830160728,distance_to_threshold,4,B3_logistic_distance_baseline,36,717,condition_fold,event_within_1_checkup
0.04633761114418661,0.15721107310292665,0.034807239373319344,0.011268327482497844,distance_to_threshold,1,B3_logistic_distance_baseline,36,752,profile_holdout_fold,event_within_1_checkup
0.05061673398155381,0.3313679516123969,0.07885095076308564,0.019738128937667528,distance_to_threshold,1,B3_logistic_distance_baseline,43,742,temperature_holdout_fold,event_within_1_checkup
0.04359144504086155,0.12876723916305027,0.024131469144688538,0.005197663967958623,distance_to_threshold,2,B3_logistic_distance_baseline,49,1060,temperature_holdout_fold,event_within_1_checkup
0.06735837654342812,0.27832372481925677,0.07034689907819233,0.015960435805685583,distance_to_threshold,1,B3_logistic_distance_baseline,84,1130,voltage_window_holdout_fold,event_within_1_checkup
0.05860663781408895,0.18710428240485927,0.03683819244585378,0.027512821086823284,distance_to_threshold,2,B3_logistic_distance_baseline,85,1371,voltage_window_holdout_fold,event_within_1_checkup
0.004117409367309503,0.00025147026364372984,-0.0007995331853468789,0.03015415076542317,distance_to_threshold,3,B3_logistic_distance_baseline,4,1326,voltage_window_holdout_fold,event_within_1_checkup
0.1920883564811155,0.318013400314475,0.033545694462304515,0.18317973202896917,W0_capacity_state,1,B4_logistic_regression,32,157,c_rate_holdout_fold,event_within_1_checkup
0.04751252100362358,0.1749527002634057,0.04155198662427184,0.0076001401097811295,W0_capacity_state,0,B4_logistic_regression,42,844,condition_fold,event_within_1_checkup
0.03163542569398681,0.17794058014500536,0.047176645961227524,0.015644103247211234,W0_capacity_state,1,B4_logistic_regression,28,865,condition_fold,event_within_1_checkup
0.031072113347356208,0.3192324454869473,0.09202449712995917,0.012057477412266787,W0_capacity_state,2,B4_logistic_regression,29,892,condition_fold,event_within_1_checkup
