feature_group,mean_auprc,mean_auroc,mean_brier,mean_ece_10_bin,model_level,n_rows,target
prior_rate,0.07384918370423414,0.5,0.05827541646154641,0.033093059231068075,B0_event_rate_prior,12,event_within_1_checkup
W0_capacity_state,0.0896535666127979,0.6719652880245066,0.058618747272208165,0.03734558743940917,B1_logistic_regression,12,event_within_1_checkup
W1_state_time,0.1398600965237031,0.7012207291076256,0.05714046495258082,0.03402514741057728,B1_logistic_regression,12,event_within_1_checkup
W2_nominal,0.2537149919605486,0.6940122825835933,0.05352624737508185,0.05023132744536893,B1_logistic_regression,12,event_within_1_checkup
W0_capacity_state,0.08965332114271811,0.6719645256666863,0.058612474255838314,0.03732988944838202,B2_ridge_logistic,12,event_within_1_checkup
W1_state_time,0.13526864352410714,0.7025586966203661,0.057350579880288105,0.034093856358437764,B2_ridge_logistic,12,event_within_1_checkup
W2_nominal,0.1956331558319626,0.7052478664113287,0.05388770539810655,0.03626109143047674,B2_ridge_logistic,12,event_within_1_checkup
W0_capacity_state,0.5930521884691475,0.8902162014706819,0.043038646437887275,0.03879730165676781,B3_hist_gradient_boosting_classifier,12,event_within_1_checkup
W1_state_time,0.7831272300262045,0.9610737429700992,0.03286279201725792,0.03248655539215981,B3_hist_gradient_boosting_classifier,12,event_within_1_checkup
W2_nominal,0.8047523368611224,0.9701520079769038,0.030352697365249554,0.030533667899610317,B3_hist_gradient_boosting_classifier,12,event_within_1_checkup
prior_rate,0.1459469471304583,0.5,0.11064618426962229,0.06618611846213615,B0_event_rate_prior,12,event_within_2_checkups
W0_capacity_state,0.13043265531690712,0.518442366947052,0.11244189949755339,0.09628296094684309,B1_logistic_regression,12,event_within_2_checkups
W1_state_time,0.20940262280890956,0.651763894556218,0.10635295655138237,0.07283809280534369,B1_logistic_regression,12,event_within_2_checkups
W2_nominal,0.34378057660555433,0.6873741889493111,0.09614323333157422,0.07850650380624259,B1_logistic_regression,12,event_within_2_checkups
W0_capacity_state,0.1313246281488443,0.5206043724653293,0.11242315811554188,0.0991865807411037,B2_ridge_logistic,12,event_within_2_checkups
W1_state_time,0.20956879983141521,0.6518028181707574,0.10633685290269794,0.07273987625626292,B2_ridge_logistic,12,event_within_2_checkups
W2_nominal,0.33139038241331853,0.6874344241586473,0.0916529616752841,0.06453898147867489,B2_ridge_logistic,12,event_within_2_checkups
W0_capacity_state,0.6285038952968749,0.8654247924725317,0.08343630662655195,0.0714952863646202,B3_hist_gradient_boosting_classifier,12,event_within_2_checkups
W1_state_time,0.7608613703663224,0.9181823845300862,0.06010894998693651,0.05381242247349851,B3_hist_gradient_boosting_classifier,12,event_within_2_checkups
W2_nominal,0.7929061783925794,0.9384676696936901,0.052573592546460234,0.046688690682034246,B3_hist_gradient_boosting_classifier,12,event_within_2_checkups
prior_rate,0.18189869152123028,0.5,0.1457910418404461,0.08776493738658843,B0_event_rate_prior,12,event_within_3_checkups
W0_capacity_state,0.16924890349057128,0.4919422392853415,0.1494151584855297,0.09928269675189251,B1_logistic_regression,12,event_within_3_checkups
W1_state_time,0.2618229400054227,0.6388865933174234,0.13762972813799132,0.10244014448893475,B1_logistic_regression,12,event_within_3_checkups
W2_nominal,0.40724144248862076,0.6793408302281742,0.12701691650922362,0.10579394671860454,B1_logistic_regression,12,event_within_3_checkups
W0_capacity_state,0.1709227156026664,0.495583706306586,0.14937040808162133,0.0994238668996776,B2_ridge_logistic,12,event_within_3_checkups
W1_state_time,0.26415261202724394,0.6423345298207458,0.13732321186243693,0.10192054822695655,B2_ridge_logistic,12,event_within_3_checkups
W2_nominal,0.3967710558399031,0.6757974253663178,0.11904268831879679,0.08655984607867773,B2_ridge_logistic,12,event_within_3_checkups
W0_capacity_state,0.662303206438434,0.8691694919756535,0.10720897966817829,0.08951867003361685,B3_hist_gradient_boosting_classifier,12,event_within_3_checkups
W1_state_time,0.7856638655612737,0.9298386714689334,0.0692180725165513,0.05844523854158049,B3_hist_gradient_boosting_classifier,12,event_within_3_checkups
W2_nominal,0.7919046961326711,0.9391211789259776,0.06557507192595002,0.05661684545645516,B3_hist_gradient_boosting_classifier,12,event_within_3_checkups
