calibrated_rows,calibration_method,evaluated_rows,fallback_rows,label_policy,mean_auprc,mean_auroc,mean_brier,mean_ece_10_bin,mean_ece_10_bin_equal_freq,mean_log_loss,target
0,C0_raw_hgb_w2,12,0,all_rows,0.7422974287628469,0.9515030624495403,0.03260583191682673,0.030645928126953603,0.023878515858284443,0.1443874688508848,event_within_1_checkup
12,C1_platt_logistic,12,0,all_rows,0.7422974287628469,0.9515030624495403,0.030699340213000092,0.027338264428412088,0.023424139790608523,0.11820976161974833,event_within_1_checkup
12,C2_isotonic,12,0,all_rows,0.6737445311484885,0.8961548159779738,0.03276754269365419,0.028915359618530378,0.027367361203074852,0.20778599388434052,event_within_1_checkup
0,C0_raw_hgb_w2,12,0,verified_only,0.8043606488610426,0.9660306240471311,0.0410255393011334,0.040473076389256936,0.031181432382182937,0.15563108586615168,event_within_1_checkup
12,C1_platt_logistic,12,0,verified_only,0.8043606488610426,0.9660306240471311,0.04002579803436498,0.037876831521728944,0.0333654971769071,0.15861074897426927,event_within_1_checkup
12,C2_isotonic,12,0,verified_only,0.7432824775867662,0.9300797228629957,0.0444531098246605,0.03866140543161379,0.03535745836311812,0.31426719550683063,event_within_1_checkup
0,C0_raw_hgb_w2,12,0,all_rows,0.7724329426421107,0.9469477365430311,0.05480547794102352,0.04744043341271675,0.039616835785396515,0.20078753249223558,event_within_2_checkups
12,C1_platt_logistic,12,0,all_rows,0.7724329426421107,0.9469477365430311,0.05216371489719656,0.04577412791409082,0.03992101774961745,0.19677879634971093,event_within_2_checkups
12,C2_isotonic,12,0,all_rows,0.7650110264466221,0.9092544021246987,0.053599535006807246,0.04513565625286769,0.04262686626531776,0.2742729398695373,event_within_2_checkups
0,C0_raw_hgb_w2,12,0,verified_only,0.8269749715757414,0.9512758871901896,0.07404263856812869,0.06876028163429217,0.06481784308379085,0.2697637991141771,event_within_2_checkups
12,C1_platt_logistic,12,0,verified_only,0.8269749715757414,0.9512758871901896,0.06746738074208807,0.05954416164563269,0.05924722219703349,0.23449591568305928,event_within_2_checkups
12,C2_isotonic,12,0,verified_only,0.774940752382288,0.9183135284324956,0.07169666720317185,0.06177987728309972,0.060548281689026345,0.43067989516381977,event_within_2_checkups
0,C0_raw_hgb_w2,12,0,all_rows,0.7739688798129895,0.9374418596977594,0.07354618822261803,0.06516896331991524,0.06271558409676611,0.2812803385302508,event_within_3_checkups
12,C1_platt_logistic,12,0,all_rows,0.7739688798129895,0.9374418596977594,0.07123776611820481,0.06075039630136886,0.061661596495332295,0.25359571119587093,event_within_3_checkups
12,C2_isotonic,12,0,all_rows,0.7503435423695625,0.9046504639194373,0.06972613255356912,0.05621110726081197,0.05654184295899264,0.4095221925270269,event_within_3_checkups
0,C0_raw_hgb_w2,12,0,verified_only,0.8468357085965619,0.9469576259452857,0.09964241590409943,0.09737109594972149,0.09075296350792521,0.36060163940003004,event_within_3_checkups
12,C1_platt_logistic,12,0,verified_only,0.8468357085965619,0.9469576259452857,0.08460671170630481,0.07498073767178864,0.07293897001681701,0.2801628752192013,event_within_3_checkups
12,C2_isotonic,12,0,verified_only,0.8307419238322571,0.9280901867705692,0.08385423052633789,0.07258020563675627,0.0706745783274448,0.41652886532024236,event_within_3_checkups
