bias,condition_mean_mae,condition_median_mae,diagnostic_family,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,rmse,split_name,target_name,test_conditions,train_conditions,worst_condition_mae
-0.0007653395025013713,0.0015254010036357432,0.0012058695652173914,pulse,persistence,0,1,0.0009734675218250428,DM0_persistence,828,2924,0.0017523260487987845,condition_fold,pulse_1s_resistance,16,60,0.0044175
-0.0011881141097827702,0.0036478980410451223,0.0033364306022408965,pulse,train_mean,0,1,0.0034558606518104375,DM1_train_mean,828,2924,0.004760420279562508,condition_fold,pulse_1s_resistance,16,60,0.00755414509605662
-0.0005113540240928767,0.002139974099682948,0.0020911114132500484,pulse,DH0_time_nominal,0,1,0.0017855933451545558,DM2_ridge,828,2924,0.0026684654503982353,condition_fold,pulse_1s_resistance,16,60,0.003960115149207752
0.00021725904008951965,0.001577989310134425,0.0013055426836495521,pulse,DH1_capacity_state,0,1,0.0012669326040499718,DM2_ridge,828,2924,0.001675307201955661,condition_fold,pulse_1s_resistance,16,60,0.0031414839570732267
-9.768361737984558e-05,0.0011155803822340256,0.0011233840011073107,pulse,DH2_prior_same_diagnostic_state,0,1,0.000919492239337035,DM2_ridge,828,2924,0.0014355761361325543,condition_fold,pulse_1s_resistance,16,60,0.0017101763132706725
6.090423939394668e-05,0.001083663637467811,0.0009448648367455861,pulse,DH3_capacity_plus_prior_same_diagnostic,0,1,0.0008094788510621425,DM2_ridge,828,2924,0.0012413352914172175,condition_fold,pulse_1s_resistance,16,60,0.002357300754675628
-0.00023739966615011956,0.0020500226834881553,0.00186479812197831,pulse,DH0_time_nominal,0,1,0.0020258608982787777,DM3_hist_gradient_boosting,828,2924,0.003173307780421107,condition_fold,pulse_1s_resistance,16,60,0.00367761215557455
0.0005107420171555759,0.0013356362711979043,0.0010073929470759799,pulse,DH1_capacity_state,0,1,0.0011167968360455522,DM3_hist_gradient_boosting,828,2924,0.0016996622907957315,condition_fold,pulse_1s_resistance,16,60,0.0029262664369025895
9.307658620401532e-05,0.0010366781764390483,0.0010695884099898299,pulse,DH2_prior_same_diagnostic_state,0,1,0.0008099206605714127,DM3_hist_gradient_boosting,828,2924,0.0013630177468157297,condition_fold,pulse_1s_resistance,16,60,0.0017683656449004363
0.00018735529568772197,0.0010337680176615068,0.0006243970055495633,pulse,DH3_capacity_plus_prior_same_diagnostic,0,1,0.0007304215903198837,DM3_hist_gradient_boosting,828,2924,0.0011927074524337921,condition_fold,pulse_1s_resistance,16,60,0.002791701519995812
-0.0005758328938585882,0.001332881753564828,0.0009237462893081761,pulse,persistence,0,1,0.0008376517344382985,DM0_persistence,828,2924,0.0014953121798975237,condition_fold,pulse_10ms_resistance,16,60,0.004378750000000001
-0.0009803547139448964,0.0028600060785217976,0.0028570493534315878,pulse,train_mean,0,1,0.002565743853962212,DM1_train_mean,828,2924,0.00358644983683067,condition_fold,pulse_10ms_resistance,16,60,0.004308850164963386
-0.0003813582325160429,0.002053465211832551,0.002054447351998427,pulse,DH0_time_nominal,0,1,0.0018161845830315568,DM2_ridge,828,2924,0.0025688122466743747,condition_fold,pulse_10ms_resistance,16,60,0.0035071497764772785
