feature_group,horizon_checkups,max_abs_error,mean_abs_error,median_abs_error,model_level,parameter_set,rows,split_name,target_name
DH1_capacity_state,1,1.9154044910518062,1.1462375061853374,1.1356001572785335,DM3_hist_gradient_boosting,16,78,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.9269242304542593,1.1454526668822373,1.1038286478535795,DM3_hist_gradient_boosting,16,75,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.5318115479555081,1.1394941759969661,1.2963304162395408,DM3_hist_gradient_boosting,36,3,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.5159745354889596,1.138910622810068,1.3386826299031158,DM3_hist_gradient_boosting,36,3,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.1245939868564956,1.1245939868564956,1.1245939868564956,DM3_hist_gradient_boosting,27,1,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,4.3973341519411004,1.1213046194319833,0.7551169721849773,DM3_hist_gradient_boosting,26,21,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,2.079436145366721,1.1190486267654702,1.0654361453667214,DM3_hist_gradient_boosting,18,5,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.7752793882364597,1.1182664192548297,1.1095198695280297,DM3_hist_gradient_boosting,67,6,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.4181960306056598,1.1179706421819884,1.0565200437237143,DM3_hist_gradient_boosting,28,3,condition_fold,eis_phase_1kHz
DH1_capacity_state,2,1.8876128160263417,1.1177144198314615,1.2272652217340214,DM3_hist_gradient_boosting,36,3,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.4656354555687638,1.1146769312111025,1.15449224613447,DM3_hist_gradient_boosting,23,3,voltage_window_holdout_fold,eis_phase_1kHz
persistence,1,2.02,1.1131666666666666,1.0659999999999998,DM0_persistence,19,6,condition_fold,eis_phase_1kHz
persistence,1,2.02,1.1131666666666666,1.0659999999999998,DM0_persistence,19,6,temperature_holdout_fold,eis_phase_1kHz
persistence,1,2.02,1.1131666666666666,1.0659999999999998,DM0_persistence,19,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.701014003302714,1.106335992681753,1.2671546672631209,DM3_hist_gradient_boosting,67,6,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,2.087796217943169,1.1051179980541852,1.033783279030574,DM3_hist_gradient_boosting,67,9,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.821698453276337,1.1021259592179438,1.2554337519296732,DM3_hist_gradient_boosting,36,3,condition_fold,eis_phase_1kHz
DH1_capacity_state,3,1.6803511122571573,1.1019095362795324,1.2188269558168794,DM3_hist_gradient_boosting,67,6,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.0987738644856464,1.0987738644856464,1.0987738644856464,DM3_hist_gradient_boosting,27,1,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.6917759686264227,1.0880204910829123,1.1686306252869445,DM3_hist_gradient_boosting,67,6,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.7641977385019352,1.0829712076473803,1.2060997413007728,DM3_hist_gradient_boosting,67,6,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.544807943130369,1.0805336861985417,1.025246288012393,DM3_hist_gradient_boosting,43,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.6823007625547608,1.0727417960011254,1.173455023710925,DM3_hist_gradient_boosting,16,66,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.3912924412543846,1.068572720962848,0.9902152063613006,DM3_hist_gradient_boosting,28,3,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.5796410776399412,1.0672132862471095,1.2419894245291507,DM3_hist_gradient_boosting,67,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.3845099388167343,1.0663970200946815,1.1944396146582337,DM3_hist_gradient_boosting,19,3,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.5557421516201577,1.064405709062994,1.0064164158183018,DM3_hist_gradient_boosting,19,3,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.7377848292034848,1.0635959614972208,1.100448277524106,DM3_hist_gradient_boosting,23,6,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.3077635326160402,1.0612922594239642,1.2965991646070383,DM3_hist_gradient_boosting,19,3,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.5776369791285414,1.0611091715010181,1.150798949171632,DM3_hist_gradient_boosting,67,6,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.060342176366135,1.060342176366135,1.060342176366135,DM3_hist_gradient_boosting,27,1,condition_fold,eis_phase_1kHz
DH1_capacity_state,1,2.133349368939923,1.059530142651832,1.0830377453644955,DM3_hist_gradient_boosting,23,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.0570204511349734,1.0570204511349734,1.0570204511349734,DM3_hist_gradient_boosting,27,1,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.29535810852575,1.0564299662038856,0.961141335528064,DM3_hist_gradient_boosting,28,3,c_rate_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.6218611974499737,1.0402290266681757,1.104334843185731,DM3_hist_gradient_boosting,16,75,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.5665071450059753,1.0382585677883653,0.9272561433257784,DM3_hist_gradient_boosting,19,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.569660274444617,1.0374556207636727,1.1545155935370492,DM3_hist_gradient_boosting,67,6,condition_fold,eis_phase_1kHz
persistence,1,2.031,1.0371666666666666,0.7125,DM0_persistence,36,6,c_rate_holdout_fold,eis_phase_1kHz
persistence,1,2.031,1.0371666666666666,0.7125,DM0_persistence,36,6,condition_fold,eis_phase_1kHz
persistence,1,2.031,1.0371666666666666,0.7125,DM0_persistence,36,6,voltage_window_holdout_fold,eis_phase_1kHz
persistence,2,1.202,1.0363333333333333,1.1949999999999998,DM0_persistence,20,3,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,1.202,1.0363333333333333,1.1949999999999998,DM0_persistence,20,3,condition_fold,eis_phase_1kHz
persistence,2,1.202,1.0363333333333333,1.1949999999999998,DM0_persistence,20,3,temperature_holdout_fold,eis_phase_1kHz
persistence,2,1.202,1.0363333333333333,1.1949999999999998,DM0_persistence,20,3,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.574140394054001,1.0308184696649396,1.1665994765821517,DM3_hist_gradient_boosting,67,6,condition_fold,eis_phase_1kHz
DH1_capacity_state,1,2.107501607868577,1.0302062677349246,1.0244510633494057,DM3_hist_gradient_boosting,23,6,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.308054750515831,1.0145855836204374,1.0827544677349628,DM3_hist_gradient_boosting,23,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.6517548867997323,1.0108178273211514,1.0563451045892056,DM3_hist_gradient_boosting,16,72,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,4.619622371365469,1.0091455495516095,0.45911927806274266,DM3_hist_gradient_boosting,26,21,condition_fold,eis_phase_1kHz
persistence,2,1.72,1.0090000000000001,1.0295,DM0_persistence,28,6,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,1.72,1.0090000000000001,1.0295,DM0_persistence,28,6,condition_fold,eis_phase_1kHz
persistence,2,1.72,1.0090000000000001,1.0295,DM0_persistence,28,6,temperature_holdout_fold,eis_phase_1kHz
persistence,2,1.72,1.0090000000000001,1.0295,DM0_persistence,28,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,4.851745504524775,1.0074894007620647,0.38916421999013245,DM3_hist_gradient_boosting,26,21,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,4.704761144908563,1.005377410343105,0.4556706557753655,DM3_hist_gradient_boosting,26,21,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.5393006351880092,1.0027968704949426,1.0073006780835256,DM3_hist_gradient_boosting,43,6,voltage_window_holdout_fold,eis_phase_1kHz
persistence,3,1.678,0.9964285714285716,0.829,DM0_persistence,40,7,c_rate_holdout_fold,eis_phase_1kHz
persistence,3,1.678,0.9964285714285716,0.829,DM0_persistence,40,7,condition_fold,eis_phase_1kHz
persistence,3,1.678,0.9964285714285716,0.829,DM0_persistence,40,7,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.3232720569961558,0.9945310296990533,1.0250932687448682,DM3_hist_gradient_boosting,19,3,voltage_window_holdout_fold,eis_phase_1kHz
persistence,5,0.992,0.992,0.992,DM0_persistence,27,1,condition_fold,eis_phase_1kHz
persistence,5,0.992,0.992,0.992,DM0_persistence,27,1,temperature_holdout_fold,eis_phase_1kHz
persistence,5,0.992,0.992,0.992,DM0_persistence,27,1,voltage_window_holdout_fold,eis_phase_1kHz
persistence,5,1.5579999999999998,0.9902,0.9850000000000001,DM0_persistence,18,5,condition_fold,eis_phase_1kHz
persistence,5,1.5579999999999998,0.9902,0.9850000000000001,DM0_persistence,18,5,temperature_holdout_fold,eis_phase_1kHz
persistence,5,1.5579999999999998,0.9902,0.9850000000000001,DM0_persistence,18,5,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,4.924528668552134,0.9897669928841857,0.32963830992102305,DM3_hist_gradient_boosting,26,21,condition_fold,eis_phase_1kHz
DH1_capacity_state,5,1.360144558274785,0.9866197749798307,1.0430949916848762,DM3_hist_gradient_boosting,70,4,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,4.776472141787255,0.9825703978519945,0.3902215316008556,DM3_hist_gradient_boosting,26,21,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,2.2404424637349476,0.9810178864563831,0.6887132766129077,DM3_hist_gradient_boosting,36,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.547175106040694,0.9749512937435333,1.0205569880012724,DM3_hist_gradient_boosting,67,6,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.6717823075202647,0.9741983707606146,1.1033897969055955,DM3_hist_gradient_boosting,67,9,profile_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.419643886753934,0.973837340792827,0.7884340678122737,DM3_hist_gradient_boosting,28,3,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.1966216013822877,0.9728342186865117,1.1927955341167973,DM3_hist_gradient_boosting,32,3,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.3165522422027025,0.9700540254167774,1.1281138038375618,DM3_hist_gradient_boosting,36,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,1.610266291826974,0.9649894371733163,1.0115829419699915,DM3_hist_gradient_boosting,16,78,condition_fold,eis_phase_1kHz
DH1_capacity_state,5,1.3549837505060578,0.9589952127588557,1.02286859078128,DM3_hist_gradient_boosting,70,4,condition_fold,eis_phase_1kHz
persistence,3,1.65,0.9583999999999999,1.0755,DM0_persistence,70,10,condition_fold,eis_phase_1kHz
persistence,3,1.65,0.9583999999999999,1.0755,DM0_persistence,70,10,profile_holdout_fold,eis_phase_1kHz
persistence,3,1.65,0.9583999999999999,1.0755,DM0_persistence,70,10,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,1,1.588429549322825,0.9578413665594475,0.9699695108321125,DM3_hist_gradient_boosting,23,6,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,0.9565599800901361,0.9565599800901361,0.9565599800901361,DM3_hist_gradient_boosting,40,1,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,4.59910719021711,0.9562436922408392,0.32571317043812587,DM3_hist_gradient_boosting,26,21,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.3633835876842997,0.9485550163836255,0.9239888267376143,DM3_hist_gradient_boosting,18,5,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.874824422757698,0.9461106867236645,0.7000534807851427,DM3_hist_gradient_boosting,36,6,c_rate_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,4.786440021807546,0.9416442026295319,0.27839807060025246,DM3_hist_gradient_boosting,26,21,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,2.1215259259519605,0.940873349261639,0.6597901731184117,DM3_hist_gradient_boosting,36,6,c_rate_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.5546252970568908,0.9398291769909124,0.9681243494336947,DM3_hist_gradient_boosting,39,8,condition_fold,eis_phase_1kHz
DH1_capacity_state,3,2.4549489969682767,0.93798442949064,0.808072609050413,DM3_hist_gradient_boosting,76,76,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.400752062027298,0.9353936099582845,0.9253068926832039,DM3_hist_gradient_boosting,18,5,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,4.553475896881016,0.9342535915096956,0.22907024895468764,DM3_hist_gradient_boosting,26,21,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.7274363728002875,0.9307194815262742,0.9278581271952262,DM3_hist_gradient_boosting,67,9,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.5388007705348943,0.9297412304733181,1.0413290227905607,DM3_hist_gradient_boosting,67,9,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.9157534232853954,0.9257073385415111,0.8895037808065611,DM3_hist_gradient_boosting,51,57,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.1575181175527418,0.9179316874627762,0.9877294696971043,DM3_hist_gradient_boosting,36,3,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,1,1.480800942468828,0.916945193803102,0.9399605035859826,DM3_hist_gradient_boosting,23,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.3645902416809141,0.9166745593058092,0.7302167181182567,DM3_hist_gradient_boosting,28,3,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.6472328436143138,0.9157057689502086,0.8812194401571819,DM3_hist_gradient_boosting,70,10,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,0.9147824190888714,0.9147824190888714,0.9147824190888714,DM3_hist_gradient_boosting,27,1,voltage_window_holdout_fold,eis_phase_1kHz
persistence,5,1.898,0.9135,1.029,DM0_persistence,39,8,condition_fold,eis_phase_1kHz
persistence,5,1.898,0.9135,1.029,DM0_persistence,39,8,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.4289490634188278,0.9083212979306964,0.9422238069759069,DM3_hist_gradient_boosting,54,31,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.6530740249046922,0.9064404589063355,1.1454539424434256,DM3_hist_gradient_boosting,67,9,profile_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.4934694000078852,0.904581685983236,0.9247293094752632,DM3_hist_gradient_boosting,70,4,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.3508764100693345,0.9044410855446401,1.0111218229904186,DM3_hist_gradient_boosting,32,6,c_rate_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,1.8671244768916067,0.903155619068004,0.8290978087990948,DM3_hist_gradient_boosting,23,6,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.3755232104214783,0.9009312104706115,0.9532905675972984,DM3_hist_gradient_boosting,18,5,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.4731767641245428,0.900381395923219,0.9068900646750583,DM3_hist_gradient_boosting,54,37,temperature_holdout_fold,eis_phase_1kHz
persistence,3,1.643,0.8991666666666668,1.1755,DM0_persistence,43,6,condition_fold,eis_phase_1kHz
persistence,3,1.643,0.8991666666666668,1.1755,DM0_persistence,43,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.469943188603631,0.8976753343889413,0.8971990355828567,DM3_hist_gradient_boosting,39,8,condition_fold,eis_phase_1kHz
persistence,2,1.659,0.8938888888888888,0.899,DM0_persistence,43,9,condition_fold,eis_phase_1kHz
persistence,2,1.659,0.8938888888888888,0.899,DM0_persistence,43,9,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.4340508032107189,0.8934866495844829,0.8798156469636079,DM3_hist_gradient_boosting,23,6,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.4437264107759833,0.8922177131753866,0.8650415364223989,DM3_hist_gradient_boosting,18,5,condition_fold,eis_phase_1kHz
persistence,5,1.359,0.8921666666666667,1.036,DM0_persistence,30,12,condition_fold,eis_phase_1kHz
persistence,5,1.359,0.8921666666666667,1.036,DM0_persistence,30,12,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.411692580144736,0.8897492535151197,1.1579004277116107,DM3_hist_gradient_boosting,67,9,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,4.441688039928037,0.8830422354540892,0.4132141945395771,DM3_hist_gradient_boosting,26,27,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.647290015700785,0.8819940476508165,1.0877539624795938,DM3_hist_gradient_boosting,67,9,profile_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.178432891953439,0.8808553721535004,0.8785094221844973,DM3_hist_gradient_boosting,43,6,voltage_window_holdout_fold,eis_phase_1kHz
persistence,2,1.7930000000000001,0.8775000000000001,0.899,DM0_persistence,40,10,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,1.7930000000000001,0.8775000000000001,0.899,DM0_persistence,40,10,condition_fold,eis_phase_1kHz
persistence,2,1.7930000000000001,0.8775000000000001,0.899,DM0_persistence,40,10,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,1,1.4413701075691154,0.8762518871977517,0.8752065013954788,DM3_hist_gradient_boosting,23,6,condition_fold,eis_phase_1kHz
persistence,1,2.007,0.8735,0.7525,DM0_persistence,32,6,c_rate_holdout_fold,eis_phase_1kHz
persistence,1,2.007,0.8735,0.7525,DM0_persistence,32,6,condition_fold,eis_phase_1kHz
persistence,1,2.007,0.8735,0.7525,DM0_persistence,32,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.4553876484186083,0.8731619960182883,1.0877331012691778,DM3_hist_gradient_boosting,67,9,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,1,1.9179709656712922,0.8723256115105148,0.6062747045372681,DM3_hist_gradient_boosting,36,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.7456228420167021,0.8674363938416741,0.7316228420167022,DM3_hist_gradient_boosting,18,5,condition_fold,eis_phase_1kHz
DH1_capacity_state,2,1.5455230448129613,0.8653414683090136,0.9606028448931454,DM3_hist_gradient_boosting,67,9,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.3980198996900315,0.8649134662721161,0.8412077496408485,DM3_hist_gradient_boosting,39,8,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,4.018226529174735,0.8645739659975552,0.5487137773708868,DM3_hist_gradient_boosting,26,30,voltage_window_holdout_fold,eis_phase_1kHz
persistence,3,5.006,0.8595185185185186,0.36900000000000005,DM0_persistence,26,27,condition_fold,eis_phase_1kHz
persistence,3,5.006,0.8595185185185186,0.36900000000000005,DM0_persistence,26,27,temperature_holdout_fold,eis_phase_1kHz
persistence,3,5.006,0.8595185185185186,0.36900000000000005,DM0_persistence,26,27,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.547505231461171,0.854377128257147,1.1422229283187308,DM3_hist_gradient_boosting,67,9,condition_fold,eis_phase_1kHz
persistence,1,1.592,0.851,0.9235,DM0_persistence,23,6,condition_fold,eis_phase_1kHz
persistence,1,1.592,0.851,0.9235,DM0_persistence,23,6,temperature_holdout_fold,eis_phase_1kHz
persistence,1,1.592,0.851,0.9235,DM0_persistence,23,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.3595304316654413,0.8489104305327435,0.8576564356407452,DM3_hist_gradient_boosting,54,40,temperature_holdout_fold,eis_phase_1kHz
persistence,5,1.637,0.8488333333333333,0.7825,DM0_persistence,17,12,condition_fold,eis_phase_1kHz
persistence,5,1.637,0.8488333333333333,0.7825,DM0_persistence,17,12,temperature_holdout_fold,eis_phase_1kHz
persistence,5,1.637,0.8488333333333333,0.7825,DM0_persistence,17,12,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.685033846680612,0.8487807454238794,0.6015590510616815,DM3_hist_gradient_boosting,60,10,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.2006761573834541,0.8443428240501207,0.860676157383454,DM3_hist_gradient_boosting,23,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.7326417081949537,0.8435527166663406,0.8058615214946441,DM3_hist_gradient_boosting,51,54,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.758579090600792,0.840802567561679,0.7218083525039223,DM3_hist_gradient_boosting,17,12,voltage_window_holdout_fold,eis_phase_1kHz
persistence,5,1.916,0.8402499999999999,0.849,DM0_persistence,73,20,condition_fold,eis_phase_1kHz
persistence,5,1.916,0.8402499999999999,0.849,DM0_persistence,73,20,profile_holdout_fold,eis_phase_1kHz
persistence,5,1.916,0.8402499999999999,0.849,DM0_persistence,73,20,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.552213557182852,0.8401455862911317,0.8653810435278811,DM3_hist_gradient_boosting,16,66,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.5997598399962842,0.8395211309791841,0.5857598399962843,DM3_hist_gradient_boosting,18,5,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.4458637804137795,0.8370150351892235,0.8769326146666214,DM3_hist_gradient_boosting,70,4,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.282382227504834,0.8363204637564814,0.8827824617158746,DM3_hist_gradient_boosting,19,3,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.4374843409756182,0.8362862922802065,0.7990018034573765,DM3_hist_gradient_boosting,32,6,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,2.331156747543639,0.8342668960780497,0.7443477276866881,DM3_hist_gradient_boosting,76,79,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,2.2359198775879547,0.830552126680506,0.7168109145327675,DM3_hist_gradient_boosting,76,70,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,1.216652391967553,0.8242519264450641,0.7915000000000001,DM3_hist_gradient_boosting,32,6,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,4.508,0.8216333333333333,0.4035000000000001,DM0_persistence,26,30,condition_fold,eis_phase_1kHz
persistence,2,4.508,0.8216333333333333,0.4035000000000001,DM0_persistence,26,30,temperature_holdout_fold,eis_phase_1kHz
persistence,2,4.508,0.8216333333333333,0.4035000000000001,DM0_persistence,26,30,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.5964412033440505,0.8205892772237015,0.6635721754008195,DM3_hist_gradient_boosting,19,6,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.7296261068464998,0.8138778889967874,0.7184328869800491,DM3_hist_gradient_boosting,73,20,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,4.472904938200724,0.8127656963778178,0.38208294362113115,DM3_hist_gradient_boosting,26,27,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.1776810333872043,0.811000069261446,0.6574221309425765,DM3_hist_gradient_boosting,28,3,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,2.0151886923657942,0.8034770260276128,0.7487693568690781,DM3_hist_gradient_boosting,53,29,temperature_holdout_fold,eis_phase_1kHz
persistence,5,1.826,0.801875,0.7410000000000001,DM0_persistence,55,8,condition_fold,eis_phase_1kHz
persistence,5,1.826,0.801875,0.7410000000000001,DM0_persistence,55,8,temperature_holdout_fold,eis_phase_1kHz
persistence,5,1.826,0.801875,0.7410000000000001,DM0_persistence,55,8,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.6222053785744697,0.7975479954990479,0.5070801346670051,DM3_hist_gradient_boosting,36,6,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.3237969404570464,0.79610735579618,1.0265240099845934,DM3_hist_gradient_boosting,43,9,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,4.478141439907752,0.7944897536338318,0.37878894087885273,DM3_hist_gradient_boosting,26,30,condition_fold,eis_phase_1kHz
DH1_capacity_state,2,1.1145356950138727,0.7879099241902751,0.7665314437217984,DM3_hist_gradient_boosting,32,3,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.4201582073002124,0.7877521468972815,0.9705064566758874,DM3_hist_gradient_boosting,67,9,condition_fold,eis_phase_1kHz
persistence,2,0.835,0.786,0.786,DM0_persistence,44,2,c_rate_holdout_fold,eis_phase_1kHz
persistence,2,0.835,0.786,0.786,DM0_persistence,44,2,condition_fold,eis_phase_1kHz
persistence,2,0.835,0.786,0.786,DM0_persistence,44,2,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,4.669068948834394,0.7843936859924788,0.2554846579549288,DM3_hist_gradient_boosting,26,27,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.2928037611101617,0.7823034217415099,0.7674830043142907,DM3_hist_gradient_boosting,70,10,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,4.712049171045995,0.7800811962809866,0.28904677493684794,DM3_hist_gradient_boosting,26,27,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,4.607576654244667,0.7754343454798271,0.24109895112360114,DM3_hist_gradient_boosting,26,27,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,1.8648033991345017,0.7752070220571775,0.5418033991345017,DM3_hist_gradient_boosting,60,7,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.6828920533626663,0.7736345391322331,0.7068740016107814,DM3_hist_gradient_boosting,30,12,condition_fold,eis_phase_1kHz
DH1_capacity_state,5,1.327274605749599,0.7730428319169333,0.7294090480247466,DM3_hist_gradient_boosting,22,8,temperature_holdout_fold,eis_phase_1kHz
