feature_group,horizon_checkups,max_abs_error,mean_abs_error,median_abs_error,model_level,parameter_set,rows,split_name,target_name
persistence,1,1.131,0.6266,0.42200000000000004,DM0_persistence,44,5,c_rate_holdout_fold,eis_phase_1kHz
persistence,1,1.131,0.6266,0.42200000000000004,DM0_persistence,44,5,condition_fold,eis_phase_1kHz
persistence,1,1.131,0.6266,0.42200000000000004,DM0_persistence,44,5,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.960790068076757,0.626543186222637,0.5546891953987153,DM3_hist_gradient_boosting,9,72,voltage_window_holdout_fold,eis_phase_1kHz
persistence,5,1.053,0.6258750000000001,0.6855,DM0_persistence,22,8,condition_fold,eis_phase_1kHz
persistence,5,1.053,0.6258750000000001,0.6855,DM0_persistence,22,8,temperature_holdout_fold,eis_phase_1kHz
persistence,5,1.053,0.6258750000000001,0.6855,DM0_persistence,22,8,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.06058316855578,0.6256343354078376,0.6380183415556805,DM3_hist_gradient_boosting,16,75,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.267766045414399,0.6253065213957152,0.6642354524398599,DM3_hist_gradient_boosting,16,66,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.3267849780189656,0.6251844511345139,0.6426095789569017,DM3_hist_gradient_boosting,48,7,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.5101811037035597,0.6234908730296428,0.6503824435314712,DM3_hist_gradient_boosting,47,28,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,0.6225452938164979,0.6225452938164979,0.6225452938164979,DM3_hist_gradient_boosting,24,1,c_rate_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,2.066300586904611,0.6223730982138377,0.5810846507406136,DM3_hist_gradient_boosting,76,70,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,0.9422939996885746,0.6201699598384628,0.6457899849337867,DM3_hist_gradient_boosting,18,11,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,1,1.1027537161800363,0.6194625594693628,0.5475855928194218,DM3_hist_gradient_boosting,24,4,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.3051763455638872,0.6188988591279642,0.6055644137666657,DM3_hist_gradient_boosting,30,12,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,0.9925062641091584,0.6184201881086833,0.6104008397773995,DM3_hist_gradient_boosting,43,9,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,1.1226818621839298,0.6173628681260678,0.6437158465161652,DM3_hist_gradient_boosting,43,6,condition_fold,eis_phase_1kHz
DH1_capacity_state,2,1.0915601822274097,0.6168282193794745,0.508690934882542,DM3_hist_gradient_boosting,56,7,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,3,0.9576186148535567,0.6162688198138874,0.6788321547289137,DM3_hist_gradient_boosting,55,14,temperature_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,1,1.4086030119178399,0.6157631341159562,0.4758851687006682,DM3_hist_gradient_boosting,31,6,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.516299083202696,0.6155203656739682,0.5463565858877892,DM3_hist_gradient_boosting,70,10,profile_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,3,2.0871169043288313,0.6154238840131839,0.5933993383825515,DM3_hist_gradient_boosting,76,76,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,3,1.1330695623066185,0.614512511756717,0.6542747488980427,DM3_hist_gradient_boosting,16,72,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,0.9582448203817409,0.612081566290647,0.4768859212316629,DM3_hist_gradient_boosting,31,3,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,0.9768526083566835,0.6113245069213781,0.5766979930260754,DM3_hist_gradient_boosting,56,7,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.132873481714122,0.6101463940629466,0.5702026447921591,DM3_hist_gradient_boosting,43,9,voltage_window_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.1159724531586963,0.6100996163826895,0.5490741536913001,DM3_hist_gradient_boosting,17,12,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.4021305765266638,0.610087714279375,0.575031574694381,DM3_hist_gradient_boosting,73,20,condition_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,2.192088724582322,0.6100568019582048,0.6198435915128443,DM3_hist_gradient_boosting,76,70,condition_fold,eis_phase_1kHz
DH1_capacity_state,5,1.1095207915256635,0.6093411463613478,0.5230071438407414,DM3_hist_gradient_boosting,52,14,c_rate_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.0743038852677813,0.6082153349300251,0.597428077426379,DM3_hist_gradient_boosting,20,3,temperature_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.261744138080327,0.6078867282724513,0.5196448085661493,DM3_hist_gradient_boosting,28,6,c_rate_holdout_fold,eis_phase_1kHz
DH1_capacity_state,5,1.1834660077413777,0.6074407657438442,0.5847970552339994,DM3_hist_gradient_boosting,70,4,profile_holdout_fold,eis_phase_1kHz
