all_split_persistence_mae,c_rate_persistence_mae,diagnostic_family,finite_current_rows,finite_target_rows,horizon_checkups,mean_abs_delta_from_current,median_abs_delta_from_current,rows,target_mean,target_name,target_range,target_std
0.32792587128647316,0.4567886992130164,eis,3744,3750,1,0.3122251602564103,0.242,3750,-0.7626194666666666,eis_phase_1kHz,6.647,0.6509786077343215
0.3593225271216219,0.5413620784828114,eis,3522,3527,2,0.3360505394662124,0.261,3527,-0.7479835554295435,eis_phase_1kHz,6.647,0.6564900622891271
0.3694532312363783,0.48772955390334577,eis,3297,3302,3,0.35380012132241434,0.2809999999999999,3302,-0.7402377347062387,eis_phase_1kHz,6.647,0.6571213248770684
0.40962291448420823,0.44770000000000004,eis,2899,2903,5,0.40049120386340115,0.319,2903,-0.7271763692731656,eis_phase_1kHz,6.647,0.6706227150479741
0.0004535565272426793,0.0012886462341119892,eis,3744,3750,1,0.00035597756410256414,0.00011399999999999952,3750,0.015995511466666668,eis_z_abs_1kHz,0.019245,0.0021511937078751995
0.0007297234263232022,0.002141921052631579,eis,3522,3527,2,0.0005730462805224305,0.00020750000000000109,3527,0.0160841738020981,eis_z_abs_1kHz,0.019227,0.0021855168657879107
0.0008664380173213031,0.0021655216433906026,eis,3297,3302,3,0.0007123303002729754,0.0003019999999999967,3302,0.016141609933373713,eis_z_abs_1kHz,0.019178,0.0021996312547912593
0.0011780794561305524,0.00286515,eis,2899,2903,5,0.0009765795101759228,0.0004870000000000013,2903,0.01627168722011712,eis_z_abs_1kHz,0.019094,0.002264534089256335
0.00015344172467976152,0.00022064138963492707,eis,3744,3750,1,0.0001417681623931624,9.60000000000006e-05,3750,0.006318671466666667,nyquist_im_peak_abs,0.013363,0.0005969530034538025
0.00018747473245320104,0.0003272167103896813,eis,3522,3527,2,0.00016640062464508802,0.00010399999999999993,3527,0.006329420470654947,nyquist_im_peak_abs,0.013363,0.00060597637776706
0.0002069669398286526,0.00036064584379918947,eis,3297,3302,3,0.00018309281164695178,0.00011300000000000025,3302,0.006334832525741975,nyquist_im_peak_abs,0.013343999999999998,0.0006133783173061706
0.000242154533630051,0.00042925000000000005,eis,2899,2903,5,0.00021303966885132805,0.00013400000000000044,2903,0.006350018256975543,nyquist_im_peak_abs,0.013283,0.0006341962139316203
0.0006958770695116972,0.0014596985201118017,eis,3744,3750,1,0.0006038803418803419,0.00033749999999999926,3750,0.0082043432,nyquist_semicircle_width_proxy,0.057366,0.003568031528309939
0.0010813725926604547,0.0024268594523692406,eis,3522,3527,2,0.0009226249290176037,0.0005075000000000027,3527,0.00838059143748228,nyquist_semicircle_width_proxy,0.057366,0.00360378340257329
0.0013357316477181416,0.002544863244750327,eis,3297,3302,3,0.00117446830451926,0.0006929999999999992,3302,0.008514184736523319,nyquist_semicircle_width_proxy,0.056525,0.0036512484910923323
0.0018465746320639412,0.00339755,eis,2899,2903,5,0.0016287102449120388,0.0010300000000000014,2903,0.0087374671029969,nyquist_semicircle_width_proxy,0.056525,0.003790790208559124
0.0009442453686057352,0.002226013986013986,pulse,3751,3752,1,0.0008039421487603305,0.000499999999999997,3752,0.02091171082089552,pulse_10ms_resistance,0.021684,0.0033677815734313088
0.0013355384435849106,0.003541532710280374,pulse,3524,3524,2,0.0011006628830874006,0.0006224999999999998,3524,0.021079616061293983,pulse_10ms_resistance,0.021684,0.003400975794470971
0.0014995257710370524,0.0033174054054054057,pulse,3299,3299,3,0.0012878381327675055,0.0007129999999999949,3299,0.021173915125795695,pulse_10ms_resistance,0.021684,0.0033981457401240363
0.0019225952946683306,0.0039553,pulse,2900,2900,5,0.0016760810344827587,0.0009470000000000017,2900,0.02136557172413793,pulse_10ms_resistance,0.021408,0.0034852326464711162
0.0010951597447863503,0.0025722307692307694,pulse,3751,3752,1,0.0009334785390562517,0.000562,3752,0.022897087686567164,pulse_1s_resistance,0.030265,0.004631619780266172
0.0016767316439946507,0.004338037383177571,pulse,3524,3524,2,0.0013927585130533485,0.0008139999999999988,3524,0.023146305902383656,pulse_1s_resistance,0.030082,0.004665429071802226
0.0020118663573697746,0.004502824324324324,pulse,3299,3299,3,0.0017232255228857229,0.0010490000000000013,3299,0.023320258866323128,pulse_1s_resistance,0.030082,0.004690217906578941
0.0027379641281804726,0.00585875,pulse,2900,2900,5,0.002358637931034483,0.0015494999999999988,2900,0.023640799999999997,pulse_1s_resistance,0.030001,0.004821427531629883
