beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,failure_reason,gain,horizon_checkups,is_c_rate_gate_row,is_primary_gate_row,passes_10pct_gain,passes_noncollapse,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
False,DH3_capacity_plus_prior_same_diagnostic,0.0014961458505003441,DM3_hist_gradient_boosting,eis,not_gate_row,-6.410960499853534e-05,3,False,False,False,False,DH2_prior_same_diagnostic_state,0.0014320362455018088,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.044768144102435264,c_rate_holdout_fold,eis_z_abs_1kHz
False,DH3_capacity_plus_prior_same_diagnostic,0.001957595150542056,DM3_hist_gradient_boosting,eis,not_gate_row,-0.00024205023150879169,5,False,False,False,False,DH1_capacity_state,0.0017155449190332645,DM3_hist_gradient_boosting,capacity_state,-0.1410923309692122,c_rate_holdout_fold,eis_z_abs_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.001957595150542056,DM3_hist_gradient_boosting,eis,not_gate_row,0.0009075548494579437,5,False,False,True,True,persistence,0.00286515,DM0_persistence,persistence,0.31675648725474886,c_rate_holdout_fold,eis_z_abs_1kHz
False,DH3_capacity_plus_prior_same_diagnostic,0.001957595150542056,DM3_hist_gradient_boosting,eis,not_gate_row,-0.00012558346515587635,5,False,False,False,False,DH2_prior_same_diagnostic_state,0.0018320116853861798,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.06854948915317859,c_rate_holdout_fold,eis_z_abs_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.00020896169355669468,DM3_hist_gradient_boosting,eis,not_gate_row,0.0002448580782456768,1,False,False,True,True,DH1_capacity_state,0.00045381977180237147,DM3_hist_gradient_boosting,capacity_state,0.5395491634778466,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00020896169355669468,DM3_hist_gradient_boosting,eis,not_gate_row,1.1679696078232388e-05,1,False,False,False,True,persistence,0.00022064138963492707,DM0_persistence,persistence,0.052935199952998835,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00020896169355669468,DM3_hist_gradient_boosting,eis,not_gate_row,7.157087421976084e-06,1,False,False,False,True,DH2_prior_same_diagnostic_state,0.00021611878097867076,DM3_hist_gradient_boosting,prior_same_diagnostic,0.03311645285784965,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.0002706371892113104,DM3_hist_gradient_boosting,eis,passes_gate_row,0.00022699426716154273,2,True,False,True,True,DH1_capacity_state,0.0004976314563728531,DM3_hist_gradient_boosting,capacity_state,0.4561493536121358,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.0002706371892113104,DM3_hist_gradient_boosting,eis,passes_gate_row,5.6579521178370875e-05,2,True,False,True,True,persistence,0.0003272167103896813,DM0_persistence,persistence,0.1729114662603585,c_rate_holdout_fold,nyquist_im_peak_abs
False,DH3_capacity_plus_prior_same_diagnostic,0.0002706371892113104,DM3_hist_gradient_boosting,eis,not_gate_row,-3.050836176975532e-05,2,False,False,False,False,DH2_prior_same_diagnostic_state,0.0002401288274415551,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.1270499760266424,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00033808455005777445,DM3_hist_gradient_boosting,eis,passes_gate_row,0.00021225041879551762,3,True,False,True,True,DH1_capacity_state,0.0005503349688532921,DM3_hist_gradient_boosting,capacity_state,0.385674963082528,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00033808455005777445,DM3_hist_gradient_boosting,eis,passes_gate_row,2.2561293741415024e-05,3,True,False,False,True,persistence,0.00036064584379918947,DM0_persistence,persistence,0.06255803062568312,c_rate_holdout_fold,nyquist_im_peak_abs
False,DH3_capacity_plus_prior_same_diagnostic,0.00033808455005777445,DM3_hist_gradient_boosting,eis,not_gate_row,-1.4793682539580605e-05,3,False,False,False,False,DH2_prior_same_diagnostic_state,0.00032329086751819384,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.045759667302535424,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00042330172006032496,DM3_hist_gradient_boosting,eis,not_gate_row,0.00024272285316285206,5,False,False,True,True,DH1_capacity_state,0.000666024573223177,DM3_hist_gradient_boosting,capacity_state,0.36443528200200276,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00042330172006032496,DM3_hist_gradient_boosting,eis,not_gate_row,5.948279939675097e-06,5,False,False,False,True,persistence,0.00042925000000000005,DM0_persistence,persistence,0.013857379009144079,c_rate_holdout_fold,nyquist_im_peak_abs
False,DH3_capacity_plus_prior_same_diagnostic,0.00042330172006032496,DM3_hist_gradient_boosting,eis,not_gate_row,-7.812830833631943e-05,5,False,False,False,False,DH2_prior_same_diagnostic_state,0.0003451734117240055,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.22634509403867242,c_rate_holdout_fold,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.0012829972864238104,DM3_hist_gradient_boosting,eis,not_gate_row,0.000166004861152943,1,False,False,True,True,DH1_capacity_state,0.0014490021475767534,DM3_hist_gradient_boosting,capacity_state,0.11456495177081837,c_rate_holdout_fold,nyquist_semicircle_width_proxy
