bias,condition_mean_mae,condition_median_mae,diagnostic_family,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,rmse,split_name,target_name,test_conditions,train_conditions,worst_condition_mae
-0.0024773636363636365,0.0035347314204314203,0.0032171461538461543,pulse,persistence,1,1,0.0025722307692307694,DM0_persistence,143,3609,0.003947836653758011,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.006730833333333334
-0.000966038642709465,0.003728926016228084,0.003716507949144234,pulse,train_mean,1,1,0.003548125058371941,DM1_train_mean,143,3609,0.004750632916779398,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.006236166666666668
-0.0007766083809547685,0.0035985683392496647,0.003832572458903735,pulse,DH0_time_nominal,1,1,0.003019063548717028,DM2_ridge,143,3609,0.004248976662548733,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.0060292618272017665
-0.00012075281948951405,0.0023924089108604166,0.0017874929731866223,pulse,DH1_capacity_state,1,1,0.0018160654970506341,DM2_ridge,143,3609,0.0027459520775138485,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.004745390840061636
7.525534071122158e-05,0.002393551714994282,0.0018358287249913463,pulse,DH2_prior_same_diagnostic_state,1,1,0.0019665092395925524,DM2_ridge,143,3609,0.002772644459213023,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.005464452301145358
0.00013606659095372168,0.0020546082133190194,0.001629498149775231,pulse,DH3_capacity_plus_prior_same_diagnostic,1,1,0.0015855094999691365,DM2_ridge,143,3609,0.0024734144468427535,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.00451419681020888
-0.00175884762575034,0.0024669952410562796,0.0024208234032118267,pulse,DH0_time_nominal,1,1,0.0021295129624513826,DM3_hist_gradient_boosting,143,3609,0.003492843955043726,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.00455994008628829
-0.0003306150827857256,0.0021654336807291163,0.0014872429316852972,pulse,DH1_capacity_state,1,1,0.001678336409077166,DM3_hist_gradient_boosting,143,3609,0.0025434343483575752,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.004542936662348909
-0.000799445204091205,0.002122043532224642,0.00199168301461036,pulse,DH2_prior_same_diagnostic_state,1,1,0.0015685631543542829,DM3_hist_gradient_boosting,143,3609,0.0024693882498776102,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.0044753313073359795
-0.0005357365619131805,0.0020434239840221554,0.0014499259771141757,pulse,DH3_capacity_plus_prior_same_diagnostic,1,1,0.00148597059674011,DM3_hist_gradient_boosting,143,3609,0.002364309106952222,c_rate_holdout_fold,pulse_1s_resistance,12,64,0.004546475569894897
