beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,gain,horizon_checkups,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
True,DH3_capacity_plus_prior_same_diagnostic,0.00017017521474580157,DM3_hist_gradient_boosting,eis,0.00020507953860478194,1,DH1_capacity_state,0.0003752547533505835,DM3_hist_gradient_boosting,capacity_state,0.5465075039654073,all,nyquist_im_peak_abs
False,DH3_capacity_plus_prior_same_diagnostic,0.00017017521474580157,DM3_hist_gradient_boosting,eis,-1.6733490066040053e-05,1,persistence,0.00015344172467976152,DM0_persistence,persistence,-0.10905436641150545,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00017017521474580157,DM3_hist_gradient_boosting,eis,2.3640144132146008e-05,1,DH2_prior_same_diagnostic_state,0.00019381535887794758,DM3_hist_gradient_boosting,prior_same_diagnostic,0.12197250140033043,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.0002072186474784929,DM3_hist_gradient_boosting,eis,0.00018071944054751985,2,DH1_capacity_state,0.00038793808802601275,DM3_hist_gradient_boosting,capacity_state,0.465846087624688,all,nyquist_im_peak_abs
False,DH3_capacity_plus_prior_same_diagnostic,0.0002072186474784929,DM3_hist_gradient_boosting,eis,-1.9743915025291855e-05,2,persistence,0.00018747473245320104,DM0_persistence,persistence,-0.10531507242033532,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.0002072186474784929,DM3_hist_gradient_boosting,eis,3.411247296228987e-05,2,DH2_prior_same_diagnostic_state,0.00024133112044078276,DM3_hist_gradient_boosting,prior_same_diagnostic,0.14135132219990793,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00023740573398564735,DM3_hist_gradient_boosting,eis,0.00016233817898232925,3,DH1_capacity_state,0.0003997439129679766,DM3_hist_gradient_boosting,capacity_state,0.4061054432999812,all,nyquist_im_peak_abs
False,DH3_capacity_plus_prior_same_diagnostic,0.00023740573398564735,DM3_hist_gradient_boosting,eis,-3.043879415699476e-05,3,persistence,0.0002069669398286526,DM0_persistence,persistence,-0.14707080358918656,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00023740573398564735,DM3_hist_gradient_boosting,eis,5.277795400376111e-05,3,DH2_prior_same_diagnostic_state,0.00029018368798940845,DM3_hist_gradient_boosting,prior_same_diagnostic,0.18187774223093986,all,nyquist_im_peak_abs
True,DH3_capacity_plus_prior_same_diagnostic,0.00030898324730176764,DM3_hist_gradient_boosting,eis,0.00013380685002824488,5,DH1_capacity_state,0.0004427900973300125,DM3_hist_gradient_boosting,capacity_state,0.30219024959024393,all,nyquist_im_peak_abs
