evidence_area,artifact_schema,status,primary_metric,primary_value,passes_gate,claim_scope,paired_p05,outside_degradation
c_rate_root_cause,gate84.c_rate_generalization.v1,supported_for_diagnostics,condition_hotspot_rows,336.0,True,diagnostic_failure_forensics,,
train_only_support_overlap,gate84.c_rate_generalization.v1,supported_for_diagnostics,support_overlap_rows,76.0,True,support_diagnostic_not_deployment_reliability,,
adaptive_conservative_repair,gate56.stressor_robust_adaptive_replication.v1,supported_for_diagnostics,min_c_rate_gain_vs_stress_reference,0.021426637333536835,True,narrow_train_only_delta_capacity_repair_diagnostic,0.00465695560847858,0.027911712329013853
targeted_stressor_family_router,gate58.stressor_robust_arm_selector.v1,supported_for_diagnostics,c_rate_gain_vs_d0_f4,0.010636056356713414,True,targeted_router_diagnostic_not_policy,0.0059439723014695425,0.0
