c_rate_condition_mean_mae_gain,c_rate_paired_p05,candidate_arm,comparison_id,max_inner_train_validation_overlap_count,max_nested_inner_train_validation_overlap_count,max_other_split_relative_degradation,outer_heldout_fold,outer_split_name,outer_test_condition_count,outer_train_condition_count,outer_train_test_overlap_count,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selected_weight_strength,selector_rule,target
0.0003043939559020794,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.04285337697084726,0,condition_fold,16,60,0,True,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,1,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
-0.0011615611171302165,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.12153678619746743,1,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,2,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
0.0012172588595162801,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.08077530086117125,2,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,3,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
-0.001724469233544325,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.4723449666123487,3,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,4,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
0.002427459162828639,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.4081857063196788,4,condition_fold,15,61,0,False,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,1,profile_holdout_fold,12,64,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
-9.067732933223906e-05,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.06329387774751633,1,profile_holdout_fold,12,64,0,False,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,1,temperature_holdout_fold,19,57,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
0.0011190742677950139,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.040857120027944505,1,temperature_holdout_fold,19,57,0,True,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,2,temperature_holdout_fold,19,57,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
3.324420538735909e-05,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.10334426291023298,2,temperature_holdout_fold,19,57,0,False,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,1,voltage_window_holdout_fold,28,48,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
0.002986354641874067,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.046281200095885947,1,voltage_window_holdout_fold,28,48,0,True,gate58.stressor_robust_arm_selector.v1,False,0.75,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,2,voltage_window_holdout_fold,32,44,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
0.004284425407891011,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.0,2,voltage_window_holdout_fold,32,44,0,True,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
,,D0_R0_F4_reference,reference_fallback,0,0,,3,voltage_window_holdout_fold,16,60,0,False,gate58.stressor_robust_arm_selector.v1,True,,use_d2_for_c_rate_else_d0,delta_capacity_Ah
0.002150331537970096,,D2_adaptive_R2_F4_conservative,reweighting_only,0,0,0.03846737058339128,3,voltage_window_holdout_fold,16,60,0,True,gate58.stressor_robust_arm_selector.v1,False,0.25,use_d2_for_c_rate_else_d0,delta_capacity_Ah
