auprc,auroc,brier,ece_10_bin,feature_group,group_field,group_value,model_level,negative_count,positive_count,row_count,split_name,target
,,0.011806066131031741,0.05290333140283027,W2_nominal,lead_time_bin,event_within_3_checkups,B4_logistic_regression,427,0,427,all,event_within_1_checkup
,,0.011170445673006492,0.05806461364316529,W2_nominal,lead_time_bin,no_observed_event_censored,B4_logistic_regression,3347,0,3347,all,event_within_1_checkup
0.09278180538244281,0.04939415538132573,0.16158050561251952,0.13014464359605774,W0_capacity_state,lead_time_bin,event_at_next_checkup,B5_ridge_logistic,2440,506,2946,all,event_within_1_checkup
,,0.0013226601813903596,0.03453280154138057,W0_capacity_state,lead_time_bin,event_later_than_3_checkups,B5_ridge_logistic,3139,0,3139,all,event_within_1_checkup
,,0.0018585034629822839,0.04083352354775316,W0_capacity_state,lead_time_bin,event_within_2_checkups,B5_ridge_logistic,506,0,506,all,event_within_1_checkup
,,0.0017719879972723305,0.04027277654376781,W0_capacity_state,lead_time_bin,event_within_3_checkups,B5_ridge_logistic,427,0,427,all,event_within_1_checkup
,,0.001978667220712712,0.04206791364731716,W0_capacity_state,lead_time_bin,no_observed_event_censored,B5_ridge_logistic,3347,0,3347,all,event_within_1_checkup
0.18579331558237494,0.581030097842286,0.15832733730132104,0.1298735735652966,W1_state_time,lead_time_bin,event_at_next_checkup,B5_ridge_logistic,2440,506,2946,all,event_within_1_checkup
,,0.002107746349509169,0.042656173993760024,W1_state_time,lead_time_bin,event_later_than_3_checkups,B5_ridge_logistic,3139,0,3139,all,event_within_1_checkup
,,0.00372204900599283,0.053915048687841756,W1_state_time,lead_time_bin,event_within_2_checkups,B5_ridge_logistic,506,0,506,all,event_within_1_checkup
,,0.003200737026481801,0.05105275639977635,W1_state_time,lead_time_bin,event_within_3_checkups,B5_ridge_logistic,427,0,427,all,event_within_1_checkup
,,0.0006922172989484884,0.021053784773208087,W1_state_time,lead_time_bin,no_observed_event_censored,B5_ridge_logistic,3347,0,3347,all,event_within_1_checkup
0.2765955790109377,0.588539979265211,0.1484660511068607,0.10856127122733128,W2_nominal,lead_time_bin,event_at_next_checkup,B5_ridge_logistic,2440,506,2946,all,event_within_1_checkup
,,0.002229122884620364,0.027799875912614243,W2_nominal,lead_time_bin,event_later_than_3_checkups,B5_ridge_logistic,3139,0,3139,all,event_within_1_checkup
,,0.018745507036109905,0.08750320526453682,W2_nominal,lead_time_bin,event_within_2_checkups,B5_ridge_logistic,506,0,506,all,event_within_1_checkup
,,0.008398118000047528,0.05828339529273872,W2_nominal,lead_time_bin,event_within_3_checkups,B5_ridge_logistic,427,0,427,all,event_within_1_checkup
,,0.0010757329071351325,0.01563531190395934,W2_nominal,lead_time_bin,no_observed_event_censored,B5_ridge_logistic,3347,0,3347,all,event_within_1_checkup
0.8970213743029603,0.9371294466403162,0.08383386828989717,0.09797634969496419,W0_capacity_state,lead_time_bin,event_at_next_checkup,B6_hist_gradient_boosting_classifier,2440,506,2946,all,event_within_1_checkup
,,0.006918227140343089,0.03407444933858453,W0_capacity_state,lead_time_bin,event_later_than_3_checkups,B6_hist_gradient_boosting_classifier,3139,0,3139,all,event_within_1_checkup
