auprc,auroc,brier,ece_10_bin,feature_group,group_field,group_value,model_level,negative_count,positive_count,row_count,split_name,target
,,0.05702844025009345,0.2025658349874206,W1_state_time,lead_time_bin,at_or_below_threshold_at_k,B4_logistic_regression,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0017934025677763478,0.04071079955769089,W1_state_time,lead_time_bin,event_later_than_3_checkups,B4_logistic_regression,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.8546521502091264,0.924177075255927,W1_state_time,lead_time_bin,event_next_checkup,B4_logistic_regression,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.002512327239101987,0.0455567845935175,W1_state_time,lead_time_bin,event_within_2_checkups_not_next,B4_logistic_regression,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.002698152837784947,0.049162894369594756,W1_state_time,lead_time_bin,event_within_3_checkups_not_1_or_2,B4_logistic_regression,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.0017258224006250576,0.03978157467626323,W1_state_time,lead_time_bin,right_censored_unknown,B4_logistic_regression,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.15733436801235284,0.36542984635953296,W2_nominal,lead_time_bin,at_or_below_threshold_at_k,B4_logistic_regression,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.07338957487147268,0.220693496044649,W2_nominal,lead_time_bin,event_later_than_3_checkups,B4_logistic_regression,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.2380212317423628,0.4598038667791402,W2_nominal,lead_time_bin,event_next_checkup,B4_logistic_regression,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.09889946496725624,0.23009888481249427,W2_nominal,lead_time_bin,event_within_2_checkups_not_next,B4_logistic_regression,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.1289724647852454,0.303188263999446,W2_nominal,lead_time_bin,event_within_3_checkups_not_1_or_2,B4_logistic_regression,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.13994669290299327,0.2908336517891572,W2_nominal,lead_time_bin,right_censored_unknown,B4_logistic_regression,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.010233194831735865,0.09031260705804643,W0_capacity_state,lead_time_bin,at_or_below_threshold_at_k,B5_ridge_logistic,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0005478825639453407,0.022619442038189656,W0_capacity_state,lead_time_bin,event_later_than_3_checkups,B5_ridge_logistic,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.9302895848687958,0.9644714303766453,W0_capacity_state,lead_time_bin,event_next_checkup,B5_ridge_logistic,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0006880998258628076,0.02434882269398442,W0_capacity_state,lead_time_bin,event_within_2_checkups_not_next,B5_ridge_logistic,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0007658558468499976,0.026343891242766607,W0_capacity_state,lead_time_bin,event_within_3_checkups_not_1_or_2,B5_ridge_logistic,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.0004891986573423865,0.02146479717315205,W0_capacity_state,lead_time_bin,right_censored_unknown,B5_ridge_logistic,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.05574800096215348,0.20031426942775887,W1_state_time,lead_time_bin,at_or_below_threshold_at_k,B5_ridge_logistic,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.001778670601502129,0.04056272048885819,W1_state_time,lead_time_bin,event_later_than_3_checkups,B5_ridge_logistic,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.8556455243489157,0.9247218337337448,W1_state_time,lead_time_bin,event_next_checkup,B5_ridge_logistic,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0024831102914720676,0.04534158400084423,W1_state_time,lead_time_bin,event_within_2_checkups_not_next,B5_ridge_logistic,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0026680849404522454,0.04891846919488674,W1_state_time,lead_time_bin,event_within_3_checkups_not_1_or_2,B5_ridge_logistic,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.0017123657952113132,0.03964536156192743,W1_state_time,lead_time_bin,right_censored_unknown,B5_ridge_logistic,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.16483654765859,0.3746574594780498,W2_nominal,lead_time_bin,at_or_below_threshold_at_k,B5_ridge_logistic,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.06325474716998132,0.2469908093220466,W2_nominal,lead_time_bin,event_later_than_3_checkups,B5_ridge_logistic,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.3338432388334251,0.5614695503950383,W2_nominal,lead_time_bin,event_next_checkup,B5_ridge_logistic,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.14399174228467262,0.3695060324601843,W2_nominal,lead_time_bin,event_within_2_checkups_not_next,B5_ridge_logistic,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.09715927292130058,0.304141795357603,W2_nominal,lead_time_bin,event_within_3_checkups_not_1_or_2,B5_ridge_logistic,16,0,16,c_rate_holdout_fold,event_within_1_checkup
