method_id,target,primary_split,candidate_setting,reference_setting,reference_feature_group,candidate_c_rate_condition_mean_mae,reference_f4_c_rate_condition_mean_mae,reference_stress_c_rate_condition_mean_mae,c_rate_gain_vs_f4,c_rate_gain_vs_stress_reference,paired_p05_vs_f4,paired_p05_vs_stress_reference,max_other_split_relative_degradation,outside_split_rows,leakage_audit,passes_boundary,claim_scope
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,F8_timestamp_weighted_stress,0.1304566767334516,0.12518636786777063,0.12244211150469492,-0.005270308865680973,-0.008014565228756682,-0.016621401018817494,-0.016176482044434302,0.010236629128640252,4,passed,False,train_only_adaptive_non_neural_boundary_diagnostic
targeted_router_D2_F4,capacity_Ah_k1,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,F4_state_log_age_scalar,0.12518636786777063,0.12518636786777063,nan,0.0,nan,0.0,nan,0.0,4,passed,False,targeted_report_based_router_boundary_diagnostic
adaptive_R2_F8_conservative,delta_capacity_Ah,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,F8_timestamp_weighted_stress,0.08108915098979329,0.10113277130259181,0.10251578832333012,0.02004362031279852,0.021426637333536835,0.007498572292517876,0.00465695560847858,0.027911712329013853,4,passed,True,train_only_adaptive_non_neural_boundary_diagnostic
targeted_router_D2_F4,delta_capacity_Ah,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,F4_state_log_age_scalar,0.0904967149458784,0.10113277130259181,nan,0.010636056356713414,nan,0.0059439723014695425,nan,0.0,4,passed,True,targeted_report_based_router_boundary_diagnostic
