method_id,target,comparison,support_stratum,condition_rows,mean_condition_mae_gain,median_condition_mae_gain,median_support_score,low_support_threshold,claim_scope
adaptive_R2_F8_conservative,delta_capacity_Ah,vs_f4,higher_support,12,0.02004362031279853,0.01483673294942043,0.5988023952095809,0.5,support_stratified_diagnostic_context
adaptive_R2_F8_conservative,capacity_Ah_k1,vs_f4,higher_support,12,-0.00527030886568097,-0.005310573704935893,0.5988023952095809,0.5,support_stratified_diagnostic_context
adaptive_R2_F8_conservative,delta_capacity_Ah,vs_stress_reference,higher_support,12,0.021426637333536832,0.007722236600920952,0.5988023952095809,0.5,support_stratified_diagnostic_context
adaptive_R2_F8_conservative,capacity_Ah_k1,vs_stress_reference,higher_support,12,-0.00801456522875666,-0.0011809306636005289,0.5988023952095809,0.5,support_stratified_diagnostic_context
targeted_router_D2_F4,delta_capacity_Ah,vs_f4,higher_support,12,0.01063605635671342,0.007906881391861187,0.5988023952095809,0.5,support_stratified_diagnostic_context
targeted_router_D2_F4,capacity_Ah_k1,vs_f4,higher_support,12,0.0,0.0,0.5988023952095809,0.5,support_stratified_diagnostic_context
