split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,nearest_parameter_set,nearest_distance,support_score,same_stressor_support_count,exact_nominal_match_count,low_support_flag,claim_scope
c_rate_holdout_fold,0,39,cyclic,10.0,approx_10_90,1.0,1.0,0,12,40,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,41,cyclic,25.0,approx_0_100,0.33,0.33,0,12,44,1.498165544924859,0.4002937283446035,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,42,cyclic,25.0,approx_0_100,0.33,1.0,0,12,44,1.3399999999999999,0.4273504273504274,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,43,cyclic,25.0,approx_0_100,1.0,1.0,0,12,44,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,45,cyclic,25.0,approx_10_100,0.33,0.33,0,12,48,1.498165544924859,0.4002937283446035,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,46,cyclic,25.0,approx_10_100,0.33,1.0,0,12,48,1.3399999999999999,0.4273504273504274,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,47,cyclic,25.0,approx_10_100,1.0,1.0,0,12,48,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,49,cyclic,25.0,approx_10_90,0.33,0.33,0,12,52,1.498165544924859,0.4002937283446035,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,50,cyclic,25.0,approx_10_90,0.33,1.0,0,12,52,1.3399999999999999,0.4273504273504274,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,51,cyclic,25.0,approx_10_90,1.0,1.0,0,12,52,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,53,cyclic,40.0,approx_0_100,0.33,0.33,0,12,56,1.498165544924859,0.4002937283446035,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,54,cyclic,40.0,approx_0_100,0.33,1.0,0,12,56,1.3399999999999999,0.4273504273504274,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,55,cyclic,40.0,approx_0_100,1.0,1.0,0,12,56,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,57,cyclic,40.0,approx_10_100,0.33,0.33,0,12,60,1.498165544924859,0.4002937283446035,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,58,cyclic,40.0,approx_10_100,0.33,1.0,0,12,60,1.3399999999999999,0.4273504273504274,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,59,cyclic,40.0,approx_10_100,1.0,1.0,0,12,60,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,61,cyclic,40.0,approx_10_90,0.33,0.33,0,12,64,1.498165544924859,0.4002937283446035,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,62,cyclic,40.0,approx_10_90,0.33,1.0,0,12,64,1.3399999999999999,0.4273504273504274,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,63,cyclic,40.0,approx_10_90,1.0,1.0,0,12,64,0.6699999999999999,0.5988023952095809,0,0,False,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,65,profile,0.0,approx_0_100,0.0,0.0,2,12,20,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,66,profile,0.0,approx_0_100,0.0,0.0,3,12,20,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,67,profile,0.0,approx_0_100,0.0,0.0,4,12,20,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,68,profile,10.0,approx_0_100,0.0,0.0,2,12,32,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,69,profile,10.0,approx_0_100,0.0,0.0,3,12,32,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,70,profile,10.0,approx_0_100,0.0,0.0,4,12,32,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,71,profile,25.0,approx_0_100,0.0,0.0,2,12,44,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
c_rate_holdout_fold,0,72,profile,25.0,approx_0_100,0.0,0.0,3,12,44,2.4060133000463653,0.29359838377213243,0,0,True,train_only_c_rate_support_overlap_diagnostic
