target,model_level,feature_group,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,rows,cells,mae,rmse,mean_signed_error,median_abs_error,mean_y_true,mean_y_pred,support_score,nearest_distance,nearest_parameter_set,same_stressor_support_count,exact_nominal_match_count,claim_scope
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.34405574079448886,0.45456628039453945,0.34405574079448886,0.32853468605383673,2.2871866666666665,2.6312424074611553,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3418947717049022,0.36897091538472193,0.3418947717049022,0.3503423980095255,-0.5564216666666667,-0.21452689496176447,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.33950748938704994,0.41002362831257355,0.33950748938704994,0.3472013456090104,2.1861891666666664,2.5256966560537166,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.33759518065047356,0.40161078394374883,0.33759518065047356,0.3477171283889541,2.1861891666666664,2.52378434731714,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.33502337208782856,0.371316299251979,0.33502337208782856,0.33754865423388536,-0.5564216666666667,-0.2213982945788381,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.32578495803242524,0.3587253488949058,0.32578495803242524,0.3099910771942517,-0.5564216666666667,-0.23063670863424143,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.32200357486969206,0.40209431283925817,0.32200357486969206,0.32581653129665233,-0.5571718333333334,-0.23516825846364134,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.3195269480692133,0.40852977832165804,0.3195269480692133,0.3180744750672051,2.2871866666666665,2.60671361473588,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.31814898636427424,0.3980917614623685,0.31814898636427424,0.3214018889560071,2.1861891666666664,2.504338153030941,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F7_c_rate_focused,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.31611838400029085,0.3795230330644884,0.31611838400029085,0.30926938485134337,-0.5571718333333334,-0.24105344933304254,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F7_c_rate_focused,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.31418380239132243,0.382701472219442,0.31418380239132243,0.29961823372216223,2.2871866666666665,2.601370469057989,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
