beats_reference,candidate_feature_group,candidate_value,gain,horizon_checkups,metric,model_level,reference_feature_group,reference_value,relative_gain,split_name,target,task
False,D1_predicted_pulse_state,0.05683146292463096,-0.0037370801693492606,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0530943827552817,-0.0703856034370699,condition_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.05381448387229791,-0.00072010111701621,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0530943827552817,-0.013562661050891982,condition_fold,capacity_Ah_kh,capacity_horizon
False,D3_predicted_pulse_eis_state,0.05447050863155417,-0.0013761258762724701,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0530943827552817,-0.025918483366031343,condition_fold,capacity_Ah_kh,capacity_horizon
False,D1_predicted_pulse_state,0.06403230942624749,-0.0012667967789004725,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06276551264734702,-0.02018300696463789,condition_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.06567555605242928,-0.0029100434050822604,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06276551264734702,-0.04636373196587382,condition_fold,capacity_Ah_kh,capacity_horizon
False,D3_predicted_pulse_eis_state,0.0646020900640888,-0.0018365774167417859,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06276551264734702,-0.029260932306260937,condition_fold,capacity_Ah_kh,capacity_horizon
False,D1_predicted_pulse_state,0.05428487833895,-0.00029525039445146145,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.05398962794449854,-0.005468650288810649,condition_fold,delta_capacity_Ah_h,capacity_horizon
False,D2_predicted_eis_state,0.05540076909013575,-0.0014111411456372083,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.05398962794449854,-0.02613726375532472,condition_fold,delta_capacity_Ah_h,capacity_horizon
False,D3_predicted_pulse_eis_state,0.0549149662480682,-0.0009253383035696602,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.05398962794449854,-0.01713918652154651,condition_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.060218855677319806,-0.0031049130561746074,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0571139426211452,-0.0543634866318103,condition_fold,delta_capacity_Ah_h,capacity_horizon
False,D2_predicted_eis_state,0.061591100817780645,-0.004477158196635446,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0571139426211452,-0.0783899340715077,condition_fold,delta_capacity_Ah_h,capacity_horizon
False,D3_predicted_pulse_eis_state,0.06200291902110635,-0.004888976399961151,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.0571139426211452,-0.08560040115583113,condition_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.0747142716906039,-0.013170518197699418,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06154375349290449,-0.21400251772453033,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
False,D2_predicted_eis_state,0.06975707349895367,-0.008213320006049185,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.06154375349290449,-0.13345497373662976,profile_holdout_fold,capacity_Ah_kh,capacity_horizon
