feature_group,folds,horizon_checkups,max_worst_condition_brier,max_worst_condition_mae,mean_auprc,mean_auroc,mean_brier,mean_condition_mean_brier,mean_condition_mean_mae,mean_ece_10_bin,mean_ece_10_bin_equal_freq,mean_log_loss,mean_mae,mean_rmse,model_level,n_test,split_name,target,task
D1_predicted_pulse_state,2,2,,0.6830759229806063,,,,,0.1842110936579831,,,,0.0897209104901403,0.15434897184537627,DS0_regularized_linear,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,2,2,,0.6605309628055618,,,,,0.18094467161314987,,,,0.09347356460035555,0.1531717084444229,DS0_regularized_linear,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,2,2,,0.6601148152295456,,,,,0.18176604747554795,,,,0.09375036851040464,0.15368825051186558,DS0_regularized_linear,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,2,2,,0.6065771812285566,,,,,0.12800668234905874,,,,0.0562628253679435,0.13176214300970446,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,2,2,,0.5382559573216644,,,,,0.12769907805483333,,,,0.05795117684198212,0.13481746333702366,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,2,2,,0.5325703221042056,,,,,0.12335563931130686,,,,0.05749957833102348,0.1324015798348993,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,2,2,,0.5539164006302203,,,,,0.1250968109086931,,,,0.05756787805654054,0.13143297996759107,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,3,2,,0.7936656101298741,,,,,0.1475771040009847,,,,0.082340534213937,0.1284704169021358,DS0_regularized_linear,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,3,2,,0.7753447846024418,,,,,0.15047196880708857,,,,0.08749238628013963,0.1335720327670168,DS0_regularized_linear,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,3,2,,0.7885959685180296,,,,,0.15244855822067774,,,,0.08719370608106557,0.1353322619463583,DS0_regularized_linear,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,3,2,,0.7738881572473316,,,,,0.1555176406401475,,,,0.09287061943775023,0.13976286204959182,DS0_regularized_linear,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,3,2,,0.6639177839981095,,,,,0.17151865599566418,,,,0.10170205866482657,0.1599739978463084,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,3,2,,0.7798742209637197,,,,,0.17252353830686984,,,,0.10311029264590822,0.16010203905249978,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,3,2,,0.7075464384202528,,,,,0.1884718514602062,,,,0.11919159708644562,0.18296636701574678,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,3,2,,0.7772252524258372,,,,,0.19414760559781083,,,,0.11852110165413232,0.1832652664385124,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,3,,0.4447442564139772,,,,,0.280345197541727,,,,0.2415155750808132,0.2975272006299158,DS0_regularized_linear,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,3,,0.44780940060501057,,,,,0.2807985268878382,,,,0.24138939395054526,0.2980192378275528,DS0_regularized_linear,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,3,,0.43730287426009956,,,,,0.279189542111683,,,,0.24346311814122112,0.2963851936274023,DS0_regularized_linear,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,1,3,,0.4314823445587712,,,,,0.2780612844949142,,,,0.2430120019264017,0.29587786164641605,DS0_regularized_linear,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,1,3,,0.4992367326065758,,,,,0.27466392940541245,,,,0.22146149656361977,0.31970265058147146,DS1_hist_gradient_boosting,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,1,3,,0.46640685338322746,,,,,0.26790656662816276,,,,0.21608888054624123,0.3090072478124852,DS1_hist_gradient_boosting,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,1,3,,0.4958158322325543,,,,,0.29900410105517583,,,,0.23183062557717382,0.33210302478948134,DS1_hist_gradient_boosting,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,1,3,,0.46216332868673565,,,,,0.27642324197571766,,,,0.21645585946060486,0.31441653873451153,DS1_hist_gradient_boosting,87,c_rate_holdout_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,5,3,,0.7055858296557086,,,,,0.13811182147434461,,,,0.08217652930440635,0.14839058547024173,DS0_regularized_linear,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,5,3,,0.6941068597093454,,,,,0.13854466738981816,,,,0.0836522473318047,0.14920005682731086,DS0_regularized_linear,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D2_predicted_eis_state,5,3,,0.7014854154912836,,,,,0.1392965805569844,,,,0.08502375816123413,0.1487161081306862,DS0_regularized_linear,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D3_predicted_pulse_eis_state,5,3,,0.6887630547327557,,,,,0.14175810988526044,,,,0.08878479085734188,0.15141323097018627,DS0_regularized_linear,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D0_capacity_state_reference,5,3,,0.6024869304802272,,,,,0.11864713026636613,,,,0.06276551264734702,0.1336953405109838,DS1_hist_gradient_boosting,3373,condition_fold,capacity_Ah_kh,capacity_horizon
D1_predicted_pulse_state,5,3,,0.6202913281745837,,,,,0.1203004677000746,,,,0.06403230942624749,0.1357551575603782,DS1_hist_gradient_boosting,3373,condition_fold,capacity_Ah_kh,capacity_horizon
