target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,prior_pulse_source_report,best_nonpulse_feature_group,best_nonpulse_source_report,best_nonpulse_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,condition_fold,0,61,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.00726997772560494,0.006774709574562975,0.0004952681510419655,84,40.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,0,65,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0727082227949013,0.07418736153668042,-0.0014791387417791152,55,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,0,68,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.034641387365436725,0.035133534366597316,-0.0004921470011605908,78,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,0,70,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.12056414008650147,0.10128396672017566,0.019280173366325815,18,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,0,72,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019800432284921392,0.021279815551924163,-0.0014793832670027714,84,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,0,73,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07520955976806357,0.05260089326087978,0.022608666507183788,34,25.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,0,75,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019729908218508025,0.013402787388693382,0.006327120829814643,84,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,condition_fold,1,3,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.003483864938632001,0.0041447409814911965,-0.0006608760428591957,84,0.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,condition_fold,1,5,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0044031383783935145,0.00480011925217965,-0.00039698087378613536,84,10.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,condition_fold,1,10,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005022083074486388,0.004935089273868495,8.699380061789278e-05,84,25.0,calendar_soc_50,0.0,calendar
