target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,0,61,-0.013151345291895301,84,40.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.00726997772560494,0.020421323017500242,best_stress
capacity_Ah_k1,condition_fold,0,65,-0.004453200915658456,55,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0727082227949013,0.07716142371055976,best_stress
capacity_Ah_k1,condition_fold,0,68,-0.021602325895002487,78,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.034641387365436725,0.05624371326043921,best_stress
capacity_Ah_k1,condition_fold,0,70,-0.00420458604965461,18,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.12056414008650147,0.12476872613615608,best_stress
capacity_Ah_k1,condition_fold,0,72,-0.007447103836832784,84,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019800432284921392,0.027247536121754175,best_stress
capacity_Ah_k1,condition_fold,0,73,-0.035923757643957124,35,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0879986983240179,0.12392245596797502,best_stress
capacity_Ah_k1,condition_fold,0,75,-0.01478136579081318,84,40.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019729908218508025,0.034511274009321205,best_stress
capacity_Ah_k1,condition_fold,1,3,-0.021473420394491252,84,0.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.003483864938632001,0.024957285333123254,best_stress
capacity_Ah_k1,condition_fold,1,5,-0.002009408258655339,84,10.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0044031383783935145,0.006412546637048854,best_stress
capacity_Ah_k1,condition_fold,1,10,-0.027677723358851887,84,25.0,calendar_soc_50,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005022083074486388,0.03269980643333827,best_stress
