target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,0,39,-0.04490957880056903,21,10.0,approx_10_90,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06499975453924967,0.1099093333398187,hgb_f4
capacity_Ah_k1,condition_fold,0,42,-0.03134671127951909,49,25.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.051369349239973966,0.08271606051949305,hgb_f4
capacity_Ah_k1,condition_fold,0,61,-0.013343643205971766,84,40.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.007077679811528477,0.020421323017500242,hgb_f4
capacity_Ah_k1,condition_fold,0,65,0.005858016554291495,55,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.08301944026485125,0.07716142371055976,hgb_f4
capacity_Ah_k1,condition_fold,0,68,-0.02255972318875512,78,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.03368399007168409,0.05624371326043921,hgb_f4
capacity_Ah_k1,condition_fold,0,70,-0.027718376775514753,18,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.09705034936064133,0.12476872613615608,hgb_f4
capacity_Ah_k1,condition_fold,0,72,-0.004865448421142993,84,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.022382087700611182,0.027247536121754175,hgb_f4
capacity_Ah_k1,condition_fold,0,73,-0.058789772942271945,35,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06513268302570308,0.12392245596797502,hgb_f4
capacity_Ah_k1,condition_fold,0,75,-0.015471664675450292,84,40.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.019039609333870913,0.034511274009321205,hgb_f4
capacity_Ah_k1,condition_fold,1,3,-0.01964063026633629,84,0.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.005316655066786966,0.024957285333123254,hgb_f4
