target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
capacity_Ah_k1,condition_fold,0,61,-0.0013206999280274126,84,40.0,approx_10_90,0.33,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.00726997772560494,0.008590677653632353
capacity_Ah_k1,condition_fold,0,65,0.004653053645306909,55,0.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0727082227949013,0.06805516914959439
capacity_Ah_k1,condition_fold,0,68,0.0020929475539183118,78,10.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.034641387365436725,0.03254843981151841
capacity_Ah_k1,condition_fold,0,70,0.018072829643154514,18,10.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.12056414008650147,0.10249131044334696
capacity_Ah_k1,condition_fold,0,72,-0.00196528535647374,84,25.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019800432284921392,0.021765717641395132
capacity_Ah_k1,condition_fold,0,73,0.012395678734061291,34,25.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07520955976806357,0.06281388103400228
capacity_Ah_k1,condition_fold,0,75,0.005192994410566259,83,40.0,approx_0_100,0.0,profile,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019736918724968997,0.014543924314402738
capacity_Ah_k1,condition_fold,1,3,-0.0008119391328195325,84,0.0,calendar_soc_90,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.003483864938632001,0.004295804071451533
capacity_Ah_k1,condition_fold,1,5,-0.0006662789231905736,84,10.0,calendar_soc_10,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0044031383783935145,0.005069417301584088
capacity_Ah_k1,condition_fold,1,10,0.000616181828233869,84,25.0,calendar_soc_50,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.005022083074486388,0.004405901246252519
