capacity_abs_residual,capacity_residual,cell_id,checkup_k,checkup_k_next,cold_c_rate_subgroup,delta_pulse_10ms_resistance,delta_pulse_1s_resistance,nominal_charge_C_rate,nominal_temperature_C,parameter_set,split_name,voltage_window_family
0.25379760017771086,0.25379760017771086,P020_1,0,1,True,0.00383,0.004786000000000002,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.14858985065568941,-0.14858985065568941,P020_1,1,2,True,0.007999,0.007965,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.24991958636509526,0.24991958636509526,P020_2,0,1,True,0.003950000000000002,0.005258000000000002,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.13824098798622286,-0.13824098798622286,P020_2,1,2,True,0.007864999999999997,0.008072,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.24312002254712306,0.24312002254712306,P020_3,0,1,True,0.004160999999999998,0.004367999999999997,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.12736537742777443,-0.12736537742777443,P020_3,1,2,True,0.007213000000000001,0.007949999999999999,1.67,0.0,20,c_rate_holdout_fold,approx_0_100
0.1577769503403259,0.1577769503403259,P024_1,0,1,True,0.0036530000000000035,0.0032499999999999994,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.14345322982970143,0.14345322982970143,P024_2,0,1,True,0.0037669999999999995,0.0039020000000000027,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.07788383247787134,-0.07788383247787134,P024_2,1,2,True,0.006857000000000002,0.007117999999999999,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.18265751133157362,0.18265751133157362,P024_3,0,1,True,0.003237999999999998,0.0034000000000000002,1.67,0.0,24,c_rate_holdout_fold,approx_10_100
0.006549827992459595,-0.006549827992459595,P028_1,0,1,True,0.0001239999999999991,-0.00038599999999999746,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.07997145410689044,0.07997145410689044,P028_1,1,2,True,0.005776,0.006926999999999999,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.009600583708301885,-0.009600583708301885,P028_1,2,3,True,0.003013000000000002,0.0025239999999999985,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.05301345910194477,-0.05301345910194477,P028_2,0,1,True,0.0018330000000000013,0.0021459999999999986,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.04770808426013451,-0.04770808426013451,P028_2,1,2,True,0.0035110000000000002,0.003882,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.0723689007378448,0.0723689007378448,P028_2,2,3,True,0.004428999999999999,0.004775999999999999,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.04664990765723262,-0.04664990765723262,P028_3,0,1,True,0.0005560000000000009,0.0006850000000000016,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.11077505803640186,0.11077505803640186,P028_3,1,2,True,0.006772999999999998,0.0066349999999999985,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.04241893992393958,-0.04241893992393958,P028_3,2,3,True,0.0020090000000000004,0.002850000000000002,1.67,0.0,28,c_rate_holdout_fold,approx_10_90
0.16181630436005756,0.16181630436005756,P032_1,0,1,True,0.002368000000000002,0.002245999999999998,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.12451155103260814,0.12451155103260814,P032_1,1,2,True,0.011040000000000001,0.010811000000000001,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.1758422351931348,0.1758422351931348,P032_2,0,1,True,0.002030999999999998,0.0017519999999999966,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.08712590374567053,0.08712590374567053,P032_2,1,2,True,0.010407,0.011296000000000004,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.13388742585034386,0.13388742585034386,P032_3,0,1,True,0.001735000000000004,0.0021080000000000022,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.13795157969884608,0.13795157969884608,P032_3,1,2,True,0.011654000000000001,0.012029000000000005,1.67,10.0,32,c_rate_holdout_fold,approx_0_100
0.042628270853946104,0.042628270853946104,P036_1,0,1,True,0.000503,0.001127999999999997,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.20957662018940404,0.20957662018940404,P036_1,1,2,True,0.010418,0.011245000000000002,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.0663213546912946,0.0663213546912946,P036_2,0,1,True,0.0015960000000000002,0.0012040000000000002,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.2455717021016205,0.2455717021016205,P036_2,1,2,True,0.011939000000000002,0.013199000000000006,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.04239016843044091,0.04239016843044091,P036_3,0,1,True,0.0012089999999999983,0.0006360000000000011,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.2390278366586861,0.2390278366586861,P036_3,1,2,True,0.011478000000000002,0.012972999999999995,1.67,10.0,36,c_rate_holdout_fold,approx_10_100
0.028121957966223077,-0.028121957966223077,P040_1,0,1,True,-0.0005780000000000056,-0.0009019999999999966,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.016223184910345967,0.016223184910345967,P040_1,1,2,True,0.0015900000000000011,0.002245999999999998,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.024932142520002615,0.024932142520002615,P040_1,2,3,True,0.0007260000000000044,0.0011350000000000006,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.21236051386198607,0.21236051386198607,P040_1,3,4,True,0.0050089999999999996,0.005017999999999998,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.18697329422985365,-0.18697329422985365,P040_1,4,5,True,0.003783999999999999,0.003962,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
0.015894482634251694,-0.015894482634251694,P040_2,0,1,True,0.0010860000000000002,0.00102,1.67,10.0,40,c_rate_holdout_fold,approx_10_90
