model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,1,0.12111337027387402,0.12509339593885777,-0.003980025664983747,0.14943589800373405,0.14255465756071545,0.006881240443018605
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,0,0.02962016993371166,0.029307102400503285,0.0003130675332083735,0.04857348064300349,0.0486742909649272,-0.0001008103219237097
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,1,0.023115943769428018,0.02226233993961442,0.0008536038298135977,0.045218921612762655,0.04412448285237414,0.0010944387603885122
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,2,0.031353830366781105,0.027052189213559813,0.004301641153221292,0.05116111869657849,0.04987021203815422,0.0012909066584242679
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,3,0.04111810693674624,0.04670154000966223,-0.0055834330729159914,0.08034627915385181,0.08758675647421503,-0.007240477320363217
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,4,0.030573608193172723,0.033692313166254144,-0.003118704973081421,0.06981425456379071,0.06737524099215783,0.0024390135716328837
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,temperature_holdout_fold,1,0.03155264326368845,0.0361621050834963,-0.004609461819807849,0.0802349384756453,0.08004456255770623,0.0001903759179390785
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,temperature_holdout_fold,2,0.035324709635141394,0.03349974575924858,0.0018249638758928155,0.053417022489462236,0.05976756866638822,-0.006350546176925986
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,voltage_window_holdout_fold,1,0.07235822266899147,0.0693423413660442,0.0030158813029472764,0.09463087599621847,0.09998149097158657,-0.005350614975368095
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,voltage_window_holdout_fold,2,0.07670858933150253,0.07640986652230887,0.0002987228091936578,0.11432314699619311,0.11554927589156766,-0.0012261288953745453
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,voltage_window_holdout_fold,3,0.013776762634584626,0.025461109038085208,-0.011684346403500582,0.013776686106726561,0.025974418211331642,-0.01219773210460508
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,1,0.12690012428420208,0.12334007540934874,0.0035600488748533388,0.16264014634352023,0.14486552308873227,0.017774623254787958
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,0,0.03314245228094028,0.04040781647567268,-0.0072653641947324,0.04915454593966934,0.05964991062710386,-0.010495364687434519
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,1,0.023025975289957867,0.022756187913709824,0.00026978737624804364,0.046397387367940114,0.047797191947563315,-0.0013998045796232012
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,2,0.023437470621677378,0.023146357714099494,0.000291112907577884,0.03954069681752236,0.04265938690690089,-0.0031186900893785258
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,3,0.04332762873539145,0.04733390946126044,-0.004006280725868991,0.09016073994063659,0.09112553848067252,-0.0009647985400359355
