bag_count,condition_mean_mae,condition_median_mae,feature_group,fold_count,mean_mae,mean_rmse,model_level,model_setting_id,run_scope,selected_variants,split_name,target,weight_strength,worst_condition_mae
1,0.12518636786777063,0.11979160891693752,F4_state_log_age_scalar,1,0.09184040307093654,0.15916538230897417,R0_reference_hgb50,R0_reference_hgb50,primary,,c_rate_holdout_fold,capacity_Ah_k1,0.0,0.2764345999580851
1,0.05392666527617392,0.04475224925416543,F4_state_log_age_scalar,5,0.030995424062215438,0.07218590001186348,R0_reference_hgb50,R0_reference_hgb50,primary,,condition_fold,capacity_Ah_k1,0.0,0.2588867309972366
1,0.08436802390070613,0.07367608976551171,F4_state_log_age_scalar,1,0.07006006630902376,0.10819020685237836,R0_reference_hgb50,R0_reference_hgb50,primary,,profile_holdout_fold,capacity_Ah_k1,0.0,0.17718560597321364
1,0.06929389733378725,0.05925269097387954,F4_state_log_age_scalar,2,0.03871997782735417,0.09228357738144016,R0_reference_hgb50,R0_reference_hgb50,primary,,temperature_holdout_fold,capacity_Ah_k1,0.0,0.2782085808786395
1,0.08441287861354206,0.07963764587076089,F4_state_log_age_scalar,3,0.06239438477866092,0.09793486716838541,R0_reference_hgb50,R0_reference_hgb50,primary,,voltage_window_holdout_fold,capacity_Ah_k1,0.0,0.3603624225203877
1,0.10113277130259181,0.08979647569805231,F4_state_log_age_scalar,1,0.08173421578436833,0.12616470780674297,R0_reference_hgb50,R0_reference_hgb50,primary,,c_rate_holdout_fold,delta_capacity_Ah,0.0,0.193505570859936
1,0.044644919626207015,0.037842726786889436,F4_state_log_age_scalar,5,0.026415232316391646,0.06338160048814606,R0_reference_hgb50,R0_reference_hgb50,primary,,condition_fold,delta_capacity_Ah,0.0,0.18312179107343562
1,0.10915767923739267,0.10635580708256355,F4_state_log_age_scalar,1,0.10086052487805526,0.13749674052456434,R0_reference_hgb50,R0_reference_hgb50,primary,,profile_holdout_fold,delta_capacity_Ah,0.0,0.17749020768298213
1,0.04857476766234761,0.04784279126059907,F4_state_log_age_scalar,2,0.02841401828990739,0.0775029685431727,R0_reference_hgb50,R0_reference_hgb50,primary,,temperature_holdout_fold,delta_capacity_Ah,0.0,0.16868537789777535
1,0.07084470672683431,0.061544839778507214,F4_state_log_age_scalar,3,0.05918880560915315,0.0807328445305194,R0_reference_hgb50,R0_reference_hgb50,primary,,voltage_window_holdout_fold,delta_capacity_Ah,0.0,0.2315662886975436
1,0.12244211150469492,0.10792304693682522,F8_timestamp_weighted_stress,1,0.08814494356804406,0.14958573796285973,R0_reference_hgb50,R0_reference_hgb50,primary,,c_rate_holdout_fold,capacity_Ah_k1,0.0,0.2539914861259202
1,0.05357260418838129,0.04404255391201638,F8_timestamp_weighted_stress,5,0.031447922865746145,0.07237443538058565,R0_reference_hgb50,R0_reference_hgb50,primary,,condition_fold,capacity_Ah_k1,0.0,0.2578082469271345
1,0.09760217173253728,0.07748000396147817,F8_timestamp_weighted_stress,1,0.07742961104185911,0.12253089131807185,R0_reference_hgb50,R0_reference_hgb50,primary,,profile_holdout_fold,capacity_Ah_k1,0.0,0.2409738886903882
1,0.06426764374153762,0.05214096446431114,F8_timestamp_weighted_stress,2,0.03714096089602312,0.08972053789283846,R0_reference_hgb50,R0_reference_hgb50,primary,,temperature_holdout_fold,capacity_Ah_k1,0.0,0.27110814311431214
1,0.17064715207936518,0.18123623277060777,F8_timestamp_weighted_stress,3,0.14981470228816207,0.19330418981753303,R0_reference_hgb50,R0_reference_hgb50,primary,,voltage_window_holdout_fold,capacity_Ah_k1,0.0,0.41067939456658337
1,0.10251578832333012,0.07764103216483734,F8_timestamp_weighted_stress,1,0.07625761784761585,0.12285078545765196,R0_reference_hgb50,R0_reference_hgb50,primary,,c_rate_holdout_fold,delta_capacity_Ah,0.0,0.21193834940315578
