split_name,1s_target,1s_condition_mean_mae,1s_best_model_level,1s_best_feature_group,10ms_target,10ms_condition_mean_mae,10ms_best_model_level,10ms_best_feature_group
c_rate_holdout_fold,delta_pulse_1s_resistance,0.0018584237602246756,L2_hist_gradient_boosting,P3_state_nominal,missing,missing,missing,missing
condition_fold,delta_pulse_1s_resistance,0.000960406687696265,L2_hist_gradient_boosting,P5_stress_v1_1,missing,missing,missing,missing
profile_holdout_fold,delta_pulse_1s_resistance,0.0009534063675410161,L2_hist_gradient_boosting,P3_state_nominal,missing,missing,missing,missing
temperature_holdout_fold,delta_pulse_1s_resistance,0.0010961036552214524,L2_hist_gradient_boosting,P5_stress_v1_1,missing,missing,missing,missing
voltage_window_holdout_fold,delta_pulse_1s_resistance,0.0011773290373227096,L2_hist_gradient_boosting,P1_state_time,missing,missing,missing,missing
