agreement_within_1_checkup,agreement_within_2_checkups,detector_a,detector_b,mean_abs_disagreement_checkups,median_abs_disagreement_checkups,n_cells,smoothing_policy,x_axis
0.11363636363636363,0.7954545454545454,capacity_threshold_60,piecewise_linear_bic,3.0113636363636362,2.0,88,none,checkup_index
0.6404494382022472,0.9438202247191011,capacity_threshold_60,slope_change_threshold,1.595505617977528,1.0,89,none,checkup_index
0.11363636363636363,0.7954545454545454,capacity_threshold_60,two_line_l_method,3.0113636363636362,2.0,88,none,checkup_index
0.33043478260869563,0.4608695652173913,capacity_threshold_70,capacity_threshold_80,4.28695652173913,3.0,115,none,checkup_index
0.5478260869565217,0.8,capacity_threshold_70,max_chord_distance,2.8173913043478263,1.0,115,none,checkup_index
0.46788990825688076,0.8256880733944955,capacity_threshold_70,piecewise_linear_bic,3.3211009174311927,2.0,109,none,checkup_index
0.808695652173913,0.9043478260869565,capacity_threshold_70,slope_change_threshold,1.382608695652174,1.0,115,none,checkup_index
0.46788990825688076,0.8256880733944955,capacity_threshold_70,two_line_l_method,3.3211009174311927,2.0,109,none,checkup_index
0.4557823129251701,0.5510204081632653,capacity_threshold_80,max_chord_distance,4.714285714285714,2.0,147,none,checkup_index
0.38848920863309355,0.49640287769784175,capacity_threshold_80,piecewise_linear_bic,5.302158273381295,3.0,139,none,checkup_index
0.3741496598639456,0.4421768707482993,capacity_threshold_80,slope_change_threshold,6.149659863945578,4.0,147,none,checkup_index
0.38848920863309355,0.49640287769784175,capacity_threshold_80,two_line_l_method,5.302158273381295,3.0,139,none,checkup_index
0.783068783068783,0.9312169312169312,max_chord_distance,piecewise_linear_bic,1.3015873015873016,1.0,189,none,checkup_index
0.46464646464646464,0.5151515151515151,max_chord_distance,slope_change_threshold,5.277777777777778,2.0,198,none,checkup_index
0.783068783068783,0.9312169312169312,max_chord_distance,two_line_l_method,1.3015873015873016,1.0,189,none,checkup_index
0.4603174603174603,0.4973544973544973,piecewise_linear_bic,slope_change_threshold,5.783068783068783,3.0,189,none,checkup_index
1.0,1.0,piecewise_linear_bic,two_line_l_method,0.0,0.0,189,none,checkup_index
0.4603174603174603,0.4973544973544973,slope_change_threshold,two_line_l_method,5.783068783068783,3.0,189,none,checkup_index
0.7415730337078652,0.9213483146067416,capacity_threshold_60,capacity_threshold_70,1.2247191011235956,1.0,89,rolling_3,checkup_index
0.15730337078651685,0.3707865168539326,capacity_threshold_60,capacity_threshold_80,5.359550561797753,4.0,89,rolling_3,checkup_index
0.033707865168539325,0.4606741573033708,capacity_threshold_60,max_chord_distance,3.359550561797753,3.0,89,rolling_3,checkup_index
0.125,0.7727272727272727,capacity_threshold_60,piecewise_linear_bic,2.840909090909091,2.0,88,rolling_3,checkup_index
0.3595505617977528,0.8202247191011236,capacity_threshold_60,slope_change_threshold,2.044943820224719,2.0,89,rolling_3,checkup_index
0.125,0.7727272727272727,capacity_threshold_60,two_line_l_method,2.840909090909091,2.0,88,rolling_3,checkup_index
0.3565217391304348,0.4782608695652174,capacity_threshold_70,capacity_threshold_80,4.156521739130435,3.0,115,rolling_3,checkup_index
0.3739130434782609,0.7739130434782608,capacity_threshold_70,max_chord_distance,2.965217391304348,2.0,115,rolling_3,checkup_index
0.5871559633027523,0.8165137614678899,capacity_threshold_70,piecewise_linear_bic,2.9724770642201834,1.0,109,rolling_3,checkup_index
0.7043478260869566,0.8956521739130435,capacity_threshold_70,slope_change_threshold,1.7652173913043478,1.0,115,rolling_3,checkup_index
0.5871559633027523,0.8165137614678899,capacity_threshold_70,two_line_l_method,2.9724770642201834,1.0,109,rolling_3,checkup_index
0.4794520547945205,0.547945205479452,capacity_threshold_80,max_chord_distance,4.5479452054794525,2.0,146,rolling_3,checkup_index
0.4057971014492754,0.4927536231884058,capacity_threshold_80,piecewise_linear_bic,5.195652173913044,3.0,138,rolling_3,checkup_index
0.3904109589041096,0.4726027397260274,capacity_threshold_80,slope_change_threshold,5.678082191780822,3.0,146,rolling_3,checkup_index
0.4057971014492754,0.4927536231884058,capacity_threshold_80,two_line_l_method,5.195652173913044,3.0,138,rolling_3,checkup_index
0.8306878306878307,0.9417989417989417,max_chord_distance,piecewise_linear_bic,1.17989417989418,1.0,189,rolling_3,checkup_index
0.494949494949495,0.5555555555555556,max_chord_distance,slope_change_threshold,4.01010101010101,2.0,198,rolling_3,checkup_index
