detector_name,knee_spread_checkups,n_replicates,n_valid_knees,parameter_set,replicate_consistent_within_2_checkups,smoothing_policy,x_axis
max_chord_distance,0.0,3,3,6,True,none,checkup_index
max_chord_distance,1.0,3,3,6,True,rolling_3,checkup_index
max_chord_distance,0.0,3,3,6,True,none,log_age_efc_cumulative
max_chord_distance,2.0,3,3,6,True,rolling_3,log_age_efc_cumulative
piecewise_linear_bic,1.0,3,3,6,True,none,calendar_days
piecewise_linear_bic,1.0,3,3,6,True,rolling_3,calendar_days
piecewise_linear_bic,1.0,3,3,6,True,none,checkup_index
piecewise_linear_bic,0.0,3,3,6,True,rolling_3,checkup_index
piecewise_linear_bic,1.0,3,3,6,True,none,log_age_efc_cumulative
piecewise_linear_bic,1.0,3,3,6,True,rolling_3,log_age_efc_cumulative
slope_change_threshold,0.0,3,3,6,True,none,calendar_days
slope_change_threshold,0.0,3,3,6,True,rolling_3,calendar_days
slope_change_threshold,4.0,3,3,6,False,none,checkup_index
slope_change_threshold,20.0,3,3,6,False,rolling_3,checkup_index
slope_change_threshold,4.0,3,3,6,False,none,log_age_efc_cumulative
slope_change_threshold,0.0,3,3,6,True,rolling_3,log_age_efc_cumulative
two_line_l_method,1.0,3,3,6,True,none,calendar_days
two_line_l_method,1.0,3,3,6,True,rolling_3,calendar_days
two_line_l_method,1.0,3,3,6,True,none,checkup_index
two_line_l_method,0.0,3,3,6,True,rolling_3,checkup_index
two_line_l_method,1.0,3,3,6,True,none,log_age_efc_cumulative
two_line_l_method,1.0,3,3,6,True,rolling_3,log_age_efc_cumulative
capacity_threshold_60,,3,0,7,False,none,calendar_days
capacity_threshold_60,,3,0,7,False,rolling_3,calendar_days
capacity_threshold_60,,3,0,7,False,none,checkup_index
capacity_threshold_60,,3,0,7,False,rolling_3,checkup_index
capacity_threshold_60,,3,0,7,False,none,log_age_efc_cumulative
capacity_threshold_60,,3,0,7,False,rolling_3,log_age_efc_cumulative
capacity_threshold_70,,3,0,7,False,none,calendar_days
capacity_threshold_70,,3,0,7,False,rolling_3,calendar_days
capacity_threshold_70,,3,0,7,False,none,checkup_index
capacity_threshold_70,,3,0,7,False,rolling_3,checkup_index
capacity_threshold_70,,3,0,7,False,none,log_age_efc_cumulative
capacity_threshold_70,,3,0,7,False,rolling_3,log_age_efc_cumulative
capacity_threshold_80,,3,0,7,False,none,calendar_days
capacity_threshold_80,,3,0,7,False,rolling_3,calendar_days
capacity_threshold_80,,3,0,7,False,none,checkup_index
capacity_threshold_80,,3,0,7,False,rolling_3,checkup_index
